rank	username	minecraft:mined/minecraft:coal_ore
1	joethahobo	90881
2	gcaisawesome	65943
3	Spacewardharpy7	60245
4	pintsizedrogue	49506
5	TheShyPig	40736
6	Werbe	35565
7	Miko_Fullbuster	33405
8	Smoke____	32655
9	HellsSponge	32527
10	EMC_	32109
11	PigDab	25420
12	Blaiku	22457
13	Di_infiri	22454
14	YungMaki	22090
15	Ezekson	21185
16	noam464	19498
17	livingdaydreams	19186
18	lordpipe	18652
19	EcksD	17604
20	PhantomsGhost_	17458
21	Zythose	17416
22	thewindmillman	16698
23	BobDeBouwer1337	16282
24	EveryonesUncle	15556
25	Steelynan	15457
26	FallenCorps	15249
27	vandmanden	14971
28	m_be9	14910
29	12Magner05	13987
30	Menthas	13441
31	beeperbeeper5	13236
32	Snowflowe	13211
33	Mewar	12929
34	Enderslayerxz3	12148
35	MyNameIsJobo	11775
36	Deathkob	11773
37	yulgur1	11315
38	Hyp3rion_	11149
39	TheThomas69	10799
40	Kakolbus	10755
41	Akoot_	10653
42	Cowison	10584
43	Skippeh	10413
44	kekhon	10020
45	RebelAndroid	9753
46	Windo_licker	9719
47	500am	9384
48	PlasticOtari	9333
49	T045RTY	9259
50	masskedman	8608
51	Blackberry1310	8568
52	Bumpy419	8292
53	oxfordschool	8195
54	TheSecondLord	8135
55	Freak_Genius	7957
56	Vetral1	7811
57	TechnoNinja64	7792
58	Skylord_Luke	7738
59	Mahoose	7631
60	cedric72	7529
61	Lutres_Torane	7149
62	Njensen7	6737
63	Ecplosive	6734
64	Rumpletaezer	6666
65	AuroraValkyrie	6555
66	censorsheep	6494
67	El_Jalapeno	6330
68	Legendosh	6271
69	Dedalus36	6226
70	Corbsman	6197
71	obzii	6186
72	Jiminie	6180
73	rarrq	6087
74	ROY4LE	6025
75	Bandito_Roamer	5994
76	Frozil20	5965
77	TheDankPlatypus	5964
78	ApophisNova	5949
78	MyNamaSheff	5949
80	SaucyDark	5947
81	RedcatVII	5916
82	eviltunix	5859
83	Inbefour	5817
84	Xclax101	5778
85	Zaridey	5691
86	Franco093	5638
87	Sral7	5627
88	set67	5589
89	Kubelz	5573
90	eitanzaki	5542
91	Malorn_Aetherius	5541
92	bigstankyy	5501
93	ProfessorBee	5477
94	Lord_Jord	5377
95	SuperPooch06	5224
96	SkateboardR6	5104
97	GlitchyPlate810	5096
98	Cocoamallows	5044
99	Toriankel	5016
100	jnp_gaming	5005
101	NoChumpChange	4987
102	MeetTheWollo	4906
103	awesomeoneme	4898
104	mwrty	4793
105	Arceus1975	4764
106	Hisiste	4679
107	Fullut	4674
108	Inchef	4579
109	h2p_emrld	4473
110	Groundler	4443
111	ImpavidArcher	4411
112	Groovy_MoonBird	4334
113	Jimi7hits	4311
114	Razzgriz	4299
115	TheSeismicDuck	4151
116	MightyWertu	4150
117	Onennon	4127
118	SSytex_X	4093
119	Soap_Bender	4068
120	fred870d	4065
121	Merv__	4048
122	The11thDoctor	4024
123	audiocracked	3977
124	SingedBread	3936
125	_TCARREIRA_	3868
126	SammiWolfGirl	3844
127	Megarboh	3832
128	sp00ky_ghost977	3806
129	Soplight	3777
130	Jovaphobic	3769
131	Kowcio_	3753
132	Fuhrer_Teemo	3720
133	CoffeeNoir	3706
134	Comma__	3683
135	thescout7	3679
136	ImDisconnected_	3617
137	lotarp	3594
138	Flores991	3580
139	G1ldor	3533
140	Marbz_	3451
141	ElectricDragon81	3440
142	FelixPSY375	3438
143	ooga47	3433
144	TheBiggestFeller	3411
145	jewbacaman	3381
146	soundad	3367
147	Meatlaugh	3350
148	anbbang	3310
149	07shiny	3283
150	WyngGoy	3258
151	q_wq	3227
152	alderban107	3211
153	amkold	3202
154	PegLegPete93	3192
155	eiC_	3173
155	Blu3beast	3173
157	wezzzi	3163
158	corvidpartyfor6	3152
159	Mattesco	3128
160	silverpopcorn	3126
161	_Nuf	3050
162	Kim_Jong_eel	3048
163	Decaying_Lotus	2982
164	UncreativeArtist	2968
165	Awyrlas	2957
166	KeruNatsema	2945
167	Lukeee33	2923
168	RodSerlingCringe	2917
169	intropass	2910
170	Racengan	2872
171	Barlycorn	2860
171	PlzNoBM	2860
173	TooManyDuck	2843
174	fade_emerge78823	2818
175	DanTheBuilderino	2816
176	Shogunite	2815
177	__Fanda__	2804
178	_Karmaa	2775
179	Winklepicker279	2744
180	Russiancat1	2729
181	Rocco_Lane	2689
182	Vizzoid	2677
182	M_Patata	2677
184	BodaciousCake	2658
185	FishyBoy3811	2637
186	2Stout	2602
187	MilleGrug	2585
188	picardred	2572
189	MasterNueve	2543
190	Euclidoris	2538
191	SpaceGrenadier	2532
192	Rasmanden	2525
193	wwwwinnebagoooo	2522
194	ShedJr_	2509
195	non089	2502
196	Spenduh	2469
197	SvenskaHugo	2460
198	Jackattack53	2429
199	6king6colt6	2411
200	Hiryu27	2402
201	mariominejedi	2381
202	crying_wolf_13	2311
203	Factoroni	2305
204	Harotio	2263
204	Airem_Core	2263
206	__tomato	2251
207	RefluxRatio	2244
208	Tolhart	2226
209	Quotary	2215
210	lcvezra	2214
211	djancak	2213
212	Kamflame10	2211
212	Hoid_the_Roamer	2211
214	Historical_Sand	2200
215	Reamdin	2193
216	slkiey	2191
217	jacxhadow	2185
218	Soul_Atreus	2180
219	_8man	2164
220	Segotep999	2156
221	Maenara	2152
222	bloomkieren	2151
223	XboxPanda	2149
224	Kouridragon	2122
224	Nicserso	2122
226	OverallConcept	2109
227	Quincannon	2105
228	_3Stump_	2097
229	wobn	2089
230	Myszoaz	2070
231	NameGenerat0r	2063
232	DarlaMeow	2060
232	Zoeyfortnite	2060
234	Xalithia	2055
235	Zedducius	2050
236	KnightmareD	2016
237	EngagedGrub41	2009
238	claivin	2008
239	Hermanni__	1997
240	teslawolf38	1990
241	MustaLoordi	1966
242	Deodorante	1957
243	MyNameIsDakar	1956
244	burbankbuilder28	1955
245	ExtraDumb	1954
246	CharlieButt	1953
247	RatatJuice	1950
248	gabriels543	1941
248	Darkgon	1941
250	GoofyBread	1933
251	TheTrueClipse	1930
252	xxPipperDipperxx	1929
253	00000000-0000-0000-0009-01ff0c3e5e4f	1926
254	bloodbiter	1914
255	Gary_	1908
256	I_Am_Mushkin	1900
257	BumbleBeever	1898
258	BigCronkin	1890
259	tobinwilliams	1885
260	Z3braYTIL	1871
261	BlankityMcBlank	1863
262	RadarHz	1860
263	Valoth	1856
264	jcool7	1847
265	AvaRosey	1845
266	MelodyGaysharks	1844
267	toj__	1829
268	SUN_DREAM	1823
269	TheOnlyRake	1818
270	Vorlice	1816
271	_czarny	1815
272	cytotoxaint	1814
273	301851	1806
274	KarlKaek	1802
275	SpacesickPrism	1795
276	Ssor69	1785
277	_Virify_	1770
278	valkam13	1747
278	Dreamdbr14	1747
280	starbits140	1745
281	radioactv_jelly	1741
282	H72l9w	1731
283	Jonafrog99	1727
284	chipklip	1725
285	Nyxiom_	1720
286	Smiguli_	1719
287	Powowowow	1713
288	MunkaKris	1708
289	JESS_THE_RERE	1696
290	underscore_2	1691
291	nut_e	1681
292	CollinMH06	1679
293	1442	1675
294	Omar_Alone	1656
295	KG1999	1655
296	Scathra	1652
297	sufjanlover	1651
298	DemTechAlpha	1647
299	stahouo	1642
300	surfinggiraffejp	1624
