rank	username	minecraft:mined/minecraft:dark_prismarine
1	joethahobo	3272
2	Spaghettatron	2341
3	Fullut	1754
4	NameGenerat0r	1528
5	Ezekson	1381
6	12Magner05	1177
7	Bumpy419	1065
8	TheShyPig	1039
9	Comma__	1026
10	lizardfightclub	988
11	Snowflowe	920
12	_witch_craft_	916
13	PigDab	835
14	Spacewardharpy7	792
15	SingedBread	763
16	EngagedGrub41	748
17	powercas_gamer	721
18	pintsizedrogue	698
19	thewindmillman	686
20	doublemaki	673
21	Yamdalorian	671
22	beeperbeeper5	669
23	PlasticOtari	667
24	Iagoku	629
25	Barlycorn	622
26	Marbz_	545
27	Merv__	535
28	Frozil20	491
29	noam464	488
30	xDraggin	474
31	livingdaydreams	472
32	HellsSponge	453
33	MattieHD	434
34	corvidpartyfor6	420
35	eitanzaki	415
36	EveryonesUncle	414
37	Legendosh	411
38	Winklepicker279	406
38	MilleGrug	406
40	Rebytre	404
41	Maenara	391
42	MightyWertu	373
43	Blaiku	370
44	CaptainDeadBread	368
45	diamondgolem35	363
46	EcksD	361
47	voiding_	351
48	Apollo_993	329
49	EMC_	311
50	Vorlice	306
51	robertsnose	305
52	Hahaa_0	298
53	PhantomsGhost_	294
54	Tyrannosplart	291
55	rarrq	290
56	djancak	275
57	Mahoose	274
58	Rumpletaezer	267
59	I_Am_Mushkin	257
60	blackeemperor	240
61	dimondking777	236
61	Enderxz3	236
63	weabis	235
64	MAns_44	233
65	AuroraValkyrie	230
66	gcaisawesome	228
67	AstreaTSS	216
68	Tersea_	205
69	excelsionprime	187
70	Fuad_R	184
70	MakeHistory157	184
72	Cryptacity	178
73	legal_tax_evader	176
74	Powowowow	156
75	Z3braYTIL	155
76	ImpavidArcher	153
77	eiC_	151
78	Steelynan	150
79	Blu3beast	148
80	DairyNickel756	147
81	Mr_Byzantine	143
82	Groundler	142
83	MyMawgDonaldsGon	139
84	Paintz	138
85	k_ce	133
86	Niklas20114552	127
86	OfficerAnvil	127
88	Azmodan_246	125
88	Hiryu27	125
90	Skippeh	119
91	goldyx	118
92	Hyp3rion_	112
93	oscminus	110
94	Segotep999	109
95	CliffEmAll	107
95	_Karmaa	107
97	Zythose	106
97	El_Jalapeno	106
99	PazinGaming	105
100	Kowcio_	104
101	TheSecondLord	100
102	mihimihimihi	93
103	LittleBug562	92
103	DarlaMeow	92
105	groofles	89
106	PortlyPete69	88
107	claivin	87
108	Caribouse	86
109	monky_irl	84
109	taengoos	84
111	Galactic_Badger	83
111	Druid95	83
113	Lord_Jord	81
114	Jackattack53	79
115	Kakolbus	77
116	stavgod	76
116	SammiWolfGirl	76
118	luseis	74
118	LetsDoItLive	74
120	bl1ss0	71
121	Zaridey	68
121	UrbanPlanningEx	68
123	ougstur	65
124	TechnoNinja64	63
125	CLG_Kata	61
125	Mattesco	61
127	WyngGoy	58
128	Lez_	56
128	pixelviolin	56
130	Blackberry1310	54
131	SolarKar	49
132	Eraxa	43
133	Bandito_Roamer	42
133	m_be9	42
135	DarkS0L	40
135	TheSandwhich_	40
137	shineh10	38
138	Chrisdeadeye	37
139	obzii	35
140	craaaash	33
141	Onennon	32
142	Jovaphobic	30
142	diggydog67	30
144	Incinere	29
144	Arceus1975	29
144	BumbleBeever	29
147	whoaluv	28
148	ShedJr_	27
148	Soplight	27
150	master9067	26
150	calamariclam_I	26
152	Inbefour	25
152	FreakGenius	25
152	Racengan	25
152	xzvu	25
156	Chromary	23
156	jnp_gaming	23
158	royal_2	22
158	jcool7	22
160	Tongon	21
160	M_Patata	21
160	ooga47	21
160	Buuck_	21
160	MasterNueve	21
165	MinttyFressh	20
165	Hetti301	20
165	Guillemet	20
165	Jekyll	20
165	1442	20
170	Manaateee	19
170	TwinTowerV2	19
172	SvenskaHugo	18
172	Eczbek	18
174	500am	17
174	Di_infiri	17
176	ssleepless	16
176	DinoDoctor_	16
176	wx4z	16
179	J4k__	15
179	SpacesickPrism	15
181	titanlax	14
181	Secret_Canary	14
181	ROY4LE	14
181	_Duckery	14
181	F_Uhre	14
181	JESS_THE_RERE	14
181	Hisiste	14
181	SexcMf	14
189	_Huge_Male_	13
189	QueenShuvi	13
189	Pumpkin_P_Patch	13
189	2blox_	13
193	hm947	12
193	Fizznut909	12
195	ECstardust	11
195	skroobiez	11
195	TheDankPlatypus	11
195	Avrelion	11
195	Werbe	11
195	Iamthejo	11
201	Spenduh	10
201	_TCARREIRA_	10
201	Dogcorn69420	10
204	thescout7	9
204	TheSeismicDuck	9
204	fkGrim	9
204	vandmanden	9
208	NinjaKnifeKill	8
208	Sleepy_Evelyn	8
208	Awyrlas	8
208	Xalithia	8
208	The_slideV3	8
208	Gus2005	8
214	_Virify_	7
214	ratglock	7
214	John6970	7
214	iSammael	7
214	Vellu21	7
219	Napoleonpancake	6
219	milltesco	6
219	thgrocks	6
219	masskedman	6
219	little_dUki	6
224	Huwulling	5
224	Moyd_	5
224	SteveCraftBlocks	5
224	crying_wolf_13	5
224	surfinggiraffejp	5
224	NomadicRobin_	5
224	MrShojo	5
224	KamFurnace	5
232	akap47	4
232	_Dean_123	4
232	CollinMH06	4
232	WET_WET_WET	4
232	hoaimi	4
232	audiocracked	4
232	LazySupport00	4
232	Nicserso	4
232	Jimb0nat0r	4
241	gren_ben	3
241	MrKrabOnCoke	3
241	Sleepy_Time_	3
241	Tiberonus	3
241	xambsam	3
241	Rocco_Lane	3
241	Skylord_Luke	3
241	Skomo	3
241	TheImperial	3
241	non089	3
241	ConnorDanky_	3
241	Biites	3
253	q_wq	2
253	bigstankyy	2
253	RebelAndroid	2
253	Humpcat	2
253	Alteriity	2
253	Vensterbankje	2
253	NieToksikpl	2
253	knarian	2
253	Roenfire	2
253	drunkeeez	2
253	shadowthemonkey	2
253	ElementalHeroGJH	2
253	out1s	2
253	RobotMinion101	2
253	HyperCave	2
253	Mr_Froxy	2
253	Samificator	2
253	The_Quack_Dealer	2
253	yoitsabdel	2
253	the__Reaper4999	2
253	IdeallyGrey	2
253	__tomato	2
253	BeardBois	2
253	TheOuterCore	2
253	Physics_Breaker	2
253	HesDemonPants	2
253	TheWickedBird	2
280	elicobnoah	1
280	Ryan_GEMS	1
280	Sabby65	1
280	MSK__	1
280	Historical_Sand	1
280	Rani_R	1
280	Masssonnn	1
280	Scathra	1
280	Blammm	1
280	eviltunix	1
280	LittleIan365	1
280	platinumzero	1
280	IamCL4SSY	1
280	EdGalbraith	1
280	yulgur1	1
280	XxCookiequeenxX	1
280	RexzMC_	1
280	NumbaOneMunch	1
280	jake314810	1
280	ATurtle4936	1
280	_flud	1
