rank	username	minecraft:mined/minecraft:cobblestone
1	EcksD	68661
2	HellsSponge	45939
3	TheShyPig	23881
4	AdmiralSmoke	23027
5	burbankbuilder28	20785
6	SlayerCrypto	20145
7	beeperbeeper5	19896
8	Legendosh	16274
9	eitanzaki	15753
10	Franco093	14903
11	Di_infiri	14165
12	_Dean_123	13741
13	noam464	13031
14	rarrq	12786
15	thescout7	11984
16	thewindmillman	10528
17	Manaateee	9551
18	PigDab	9441
19	Snowflowe	9436
20	Enderxz3	9174
21	Xclax101	9097
22	El_Jalapeno	8978
23	MightyWertu	8874
24	Lord_Jord	8552
25	lordpipe	7726
26	pintsizedrogue	7402
27	YungMaki	7064
28	Spacewardharpy7	7039
29	EMC_	6891
30	Mahoose	6758
31	joethahobo	6686
32	Xalithia	6628
33	Ezekson	6403
34	Racengan	6377
35	Mr_Byzantine	6354
36	Njensen7	6352
37	ApophisNova	6335
37	MyNamaSheff	6335
39	luseis	6175
40	MyNameIsJobo	6164
41	Nicky_H225	6047
42	Bumpy419	5928
43	non089	5787
44	m_be9	5716
45	Onennon	5662
46	fffMike	5651
47	TheDankPlatypus	5539
48	Blackberry1310	5484
49	Jackattack53	5323
50	Kowcio_	5284
51	eiC_	5187
52	kekhon	5150
53	TechnoNinja64	5117
54	Frozil20	5033
55	FreakGenius	4883
56	obzii	4796
57	xolstoi	4760
58	SuperPooch06	4683
59	Airem_Core	4623
60	Groovy_MoonBird	4501
61	Rumpletaezer	4460
62	fxiryglitch	4450
63	RoskobiOne	4411
64	Blu3beast	4254
65	Akoot_	4243
66	soundad	4206
67	mwrty	4161
68	SkateboardR6	4021
69	ShedJr_	3968
70	MirielThePastor	3917
71	BlankityMcBlank	3880
72	Skippeh	3745
73	500am	3715
74	12Magner05	3606
75	Strangemonkey71	3580
76	PlasticOtari	3571
77	SteveCraftBlocks	3459
78	Ryan_GEMS	3402
79	Arceus1975	3382
80	NatalieTW	3360
81	Warlord324	3357
82	AuroraValkyrie	3289
83	EveryonesUncle	3239
84	Touched_Bread	3230
85	Deodorante	3227
86	h2p_emrld	3226
87	Maenara	3195
88	vandmanden	3167
89	DanTheBuilderino	3158
90	Hiryu27	3131
91	slkiey	3120
92	Sral7	3113
93	Hermanni__	3087
94	Kakolbus	3076
95	robotemo	3071
96	Lez_	3044
97	impossibleteapot	3035
98	Inbefour	3011
99	mihimihimihi	3001
100	PortlyPete69	2989
101	teslawolf38	2938
102	Prodiginus	2915
103	FishyBoy3811	2841
104	Mattesco	2819
105	Comma__	2807
106	ayamefag	2722
106	xzvu	2722
108	RebelAndroid	2624
109	CoffeeNoir	2614
