rank	username	minecraft:mined/minecraft:spruce_leaves
1	Jimi7hits	41891
2	beeperbeeper5	32994
3	Ezekson	21460
4	Yamdalorian	13254
5	Blackberry1310	13179
6	Manaateee	12419
7	Snowflowe	10519
8	Zythose	8991
9	TheShyPig	8899
10	Kowcio_	7378
11	Mahoose	7297
12	SpacesickPrism	6811
13	pintsizedrogue	6741
14	k_ce	6678
15	Spacewardharpy7	6542
16	xxPipperDipperxx	6340
17	FreakGenius	6300
18	m_be9	6106
19	PlasticOtari	5870
20	luseis	5741
21	TechnoNinja64	5240
22	500am	4830
23	CoffeeNoir	4649
24	_Dean_123	4515
25	Mattesco	4446
26	Enderxz3	4425
27	Skippeh	4280
28	lordpipe	4069
29	pretty_pink_reno	4064
30	F_Uhre	3948
31	oscminus	3945
32	j5ylim	3797
33	rotten_mango	3772
33	El_Jalapeno	3772
35	Mistruth	3733
36	Mr_Byzantine	3729
37	Segotep999	3701
38	q_wq	3628
39	ApophisNova	3619
40	MyNamaSheff	3567
41	M_Patata	3520
42	nut_e	3500
43	Arceus1975	3474
44	set67	3378
45	EcksD	3356
46	MasterNueve	3254
47	Niklas20114552	3232
48	Frozil20	3188
49	Eraxa	3184
50	Merv__	3060
51	PazinGaming	2972
52	ee_echo_oo	2867
53	LordSpeed37	2739
54	_Huge_Male_	2730
55	skitzxo	2553
56	pixelviolin	2504
57	wwwwinnebagoooo	2456
58	claivin	2389
59	Bumpy419	2344
60	Werbe	2288
61	TheSecondLord	2237
62	Inchef	2197
63	XxCookiequeenxX	2187
64	EveryonesUncle	2185
65	Lez_	2135
66	HesDemonPants	2085
67	eitanzaki	2038
68	catandmoose	1992
69	diamondgolem35	1969
70	Rumpletaezer	1968
71	Groundler	1907
72	noam464	1887
73	KarlKaek	1856
74	EdGalbraith	1839
75	NebulousBadger	1776
76	Nicserso	1758
77	rarrq	1751
78	Fizznut909	1737
79	Legendosh	1709
80	ewpunk	1635
81	2blox_	1615
82	miramyu	1610
83	royal_2	1603
84	ROY4LE	1598
85	crashomon	1574
86	Flores991	1570
87	FormulaNewt3627	1564
88	_3Stump_	1558
89	Fakiuss	1526
