rank	username	minecraft:mined/minecraft:dark_oak_trapdoor
1	HellsSponge	3572
2	Mahoose	1349
3	pintsizedrogue	795
4	EveryonesUncle	550
5	Ezekson	462
6	Historical_Sand	446
7	kekhon	421
8	m_be9	413
9	thescout7	397
10	FishyBoy3811	389
11	MyNameIsJobo	380
12	luseis	357
13	PlasticOtari	344
14	xolstoi	335
15	TheShyPig	320
16	Legendosh	297
17	thewindmillman	286
18	FreakGenius	264
19	ApophisNova	263
19	MyNamaSheff	263
21	IamCL4SSY	212
22	beeperbeeper5	208
23	Lez_	193
24	500am	179
25	Snowflowe	174
26	burbankbuilder28	171
27	NieToksikpl	169
28	Onennon	168
29	weabis	162
30	TheSecondLord	160
31	emrekn	157
32	Jij0	152
33	SvenskaHugo	148
34	Eraxa	147
35	Soplight	135
36	fffMike	125
37	bearlystraight	119
38	djancak	118
38	CalebDHawk	118
40	Merv__	108
40	jcool7	108
42	6king6colt6	107
43	lcvezra	103
44	Spacewardharpy7	100
45	joethahobo	99
45	Mattesco	99
47	cheerytomato	94
47	__tomato	94
49	rarrq	92
50	jnp_gaming	90
51	Hiryu27	89
52	EMC_	88
53	Fullut	87
54	groofles	86
55	MustaLoordi	82
56	Jackattack53	81
56	Enderxz3	81
58	KarlKaek	79
59	Manaateee	78
60	Kowcio_	76
61	legal_tax_evader	74
61	Zythose	74
61	xzvu	74
64	Hisiste	72
65	fade_emerge78823	71
66	Inbefour	70
67	Ryan_GEMS	68
67	xxPipperDipperxx	68
69	Smashic	67
69	Winklepicker279	67
71	MattieHD	65
71	Maenara	65
71	Meatlaugh	65
74	benediktine1	63
74	PortlyPete69	63
76	Werbe	62
76	MineMaster0012	62
78	Elastiq	60
78	Xclax101	60
80	RatatJuice	59
81	ImpavidArcher	58
81	Jakobo1337	58
81	Kakolbus	58
84	H72l9w	57
85	Frozil20	54
85	ProfessorBee	54
85	noam464	54
88	eitanzaki	49
88	Rebytre	49
88	AdmiralSmoke	49
91	_TCARREIRA_	48
92	himak1	46
93	jacxhadow	44
93	Hyp3rion_	44
93	MightyWertu	44
93	Warlord324	44
93	Druid95	44
98	Mr_Byzantine	43
98	NameGenerat0r	43
100	YungMaki	42
101	eviltunix	41
102	Prismyst	40
102	Blackberry1310	40
102	Awyrlas	40
105	k_ce	39
105	Stiar	39
105	Skylord_Luke	39
108	r123moore	38
109	peach0s	37
110	SDMNAEK	35
111	teslawolf38	34
111	XboxPanda	34
111	lillips	34
111	ConnorDanky_	34
115	NomadicRobin_	33
115	iSammael	33
117	Hyugo	32
118	Deathkob	30
119	Optiprimus	29
119	Kyrum2169	29
121	SuperPooch06	28
121	TechnoNinja64	28
123	Groovy_MoonBird	27
123	Blu3beast	27
123	Racengan	27
126	Cowison	26
126	Chromary	26
126	Skippeh	26
129	T045RTY	25
129	LeauVox4921	25
129	KeruNatsema	25
129	1442	25
129	The_slideV3	25
134	Ryker	24
135	TheDankPlatypus	23
135	audiocracked	23
135	Groundler	23
135	tsitrawhy	23
135	_i_ERROR_i_	23
135	anbbang	23
141	Motsaro	22
141	Dakar_	22
141	Eczbek	22
141	Hermanni__	22
145	Huwulling	21
145	JETrotter	21
147	AngalexikCZ	20
147	Xalithia	20
147	RobotMinion101	20
147	dartwaffle	20
147	Conrad139	20
