rank	username	minecraft:mined/minecraft:fire
1	RadarHz	8889
2	rarrq	3536
3	joethahobo	3524
4	PlasticOtari	2999
5	noam464	2602
6	RebelAndroid	2506
7	07shiny	2367
8	beeperbeeper5	2344
9	Smoke____	2269
10	Kowcio_	2219
11	RealGroot	2038
12	Mahoose	1969
13	PigDab	1870
14	Alteriity	1867
15	Zythose	1710
16	DarkS0L	1622
17	500am	1603
18	Eraxa	1571
19	IdeallyGrey	1555
20	Ryker	1550
21	CharlieButt	1256
22	Luigipunch989	1206
23	Sheldor097	1170
24	RoskobiOne	1122
24	pappaberg	1122
26	EveryonesUncle	1044
27	Hermanni__	1014
28	Deathkob	982
29	FirsTimeGamingTV	959
30	TheSecondLord	940
31	pintsizedrogue	938
32	eitanzaki	925
33	Blackberry1310	912
33	Soplight	912
35	FreakGenius	869
36	Chromary	777
37	bloodbiter	770
38	DemTechAlpha	764
39	Racengan	735
40	4774	712
41	Jimb0nat0r	711
42	SvenskaHugo	704
43	AlexxO_o	692
44	Spacewardharpy7	666
45	jushykins	650
46	Hyp3rion_	619
46	TheEnderMan548	619
48	Groovy_MoonBird	610
49	thescout7	552
50	Rebytre	547
51	CoffeeNoir	541
52	fw3xywashere	537
53	Xalithia	533
54	thewindmillman	525
55	NATE_the_HALO	516
55	Quotary	516
57	MyNameIsDakar	512
58	MirielThePastor	445
59	Sleek_Storm_721	438
60	TheDankPlatypus	411
60	gusstationwerker	411
62	ReverendSmith	400
63	ShedJr_	381
64	Fullut	380
65	anbbang	370
66	Ezekson	368
67	djancak	360
68	_Virify_	355
69	kekhon	351
70	Arceus1975	348
71	Frozil20	344
72	Enderxz3	335
73	sp00ky_ghost977	330
74	SyntheticSurgeon	326
74	12Magner05	326
74	Nycteus_	326
77	Blaiku	317
78	NinjaKnifeKill	305
79	MattieHD	302
80	MightyWertu	297
81	Iamthejo	289
82	luseis	280
83	ZA07	268
84	DarlaMeow	267
85	2bolx_	258
86	HellsSponge	255
87	F_Uhre	254
88	groofles	252
89	NomadicRobin_	251
90	mwrty	236
91	EMC_	232
92	fffMike	231
93	Kekoo	229
94	mariominejedi	228
95	SmashingPump	227
96	SammiWolfGirl	220
97	MAns_44	217
98	fade_emerge78823	216
99	Lord_Jord	211
100	ConnorDanky_	206
101	YungMaki	203
102	Esme_1	201
103	_Boipl_	200
104	LeDuctTape	196
104	xolstoi	196
106	Cowison	195
107	Merv__	193
108	Historical_Sand	183
109	Quaintster	181
110	SvenskaAlvar	179
111	FishisTTV	175
112	Biites	172
113	Akoot_	169
114	masskedman	163
115	teslawolf38	158
116	pixelviolin	155
116	Kubeusz2010	155
116	EcksD	155
119	ogoa	150
120	XboxPanda	146
121	Touched_Bread	142
122	ganyuganyu	139
122	monky_irl	139
124	Snowflowe	137
124	CattSoup	137
126	ReSynced	136
127	BobDeBouwer1337	133
128	xxPipperDipperxx	132
129	SingedBread	127
130	hm947	126
130	T045RTY	126
132	_Dean_123	125
133	set67	122
134	Kakolbus	121
134	00000000-0000-0000-0009-01f073f37a91	121
136	Winklepicker279	120
137	binman420	116
138	Myszoaz	115
139	diamondgolem35	114
140	CloroxBleach385	112
141	NotMeowMix	110
142	Hpdinosaur	107
143	Paint	104
143	SquadMonster	104
143	Eczbek	104
146	AltnumberF4	102
147	stevewithclout	100
147	BiggieDawg	100
149	MangoTheFish	99
150	Killercatty78	98
151	Inchef	97
152	diggydog67	95
153	Jackattack53	94
154	whoaluv	93
155	lordpipe	85
156	calamariclam_I	84
157	SkateboardR6	83
158	gren_ben	81
159	mihimihimihi	78
160	KliBeast21	75
161	ROY4LE	74
162	AuroraValkyrie	73
163	Prismyst	72
164	Prodiginus	70
