rank	username	minecraft:mined/minecraft:spruce_sapling
1	TheShyPig	843
2	rotten_mango	330
3	FreakGenius	284
4	Fullut	237
5	set67	202
6	Onennon	194
7	BlancoFlaco	189
8	Di_infiri	179
9	El_Jalapeno	177
10	ApophisNova	173
10	MyNamaSheff	173
12	kekhon	166
13	Ezekson	157
14	rarrq	150
15	Smoke____	129
16	Werbe	113
17	_Dean_123	111
18	nut_e	110
19	OfficerAnvil	108
20	Akoot_	105
21	Snowflowe	104
22	beeperbeeper5	101
23	Blackberry1310	98
24	SaintJosie	96
25	Tommhh	94
26	Rumpletaezer	88
27	2bolx_	87
28	Mahoose	82
29	Hermanni__	79
30	m_be9	73
31	Zythose	65
32	IamCL4SSY	64
33	q_wq	63
33	lordpipe	63
35	Bumpy419	56
36	eitanzaki	53
37	pixelviolin	52
38	luseis	51
39	500am	50
39	xolstoi	50
41	XxCookiequeenxX	48
41	xzvu	48
43	Racengan	46
44	Frozil20	45
45	joethahobo	44
46	RoofTyler	42
47	thewindmillman	41
47	ADEXTV	41
49	Arceus1975	40
50	Deathkob	39
51	anbbang	38
52	bloodbiter	37
53	Merv__	36
53	Eraxa	36
53	laron58	36
56	thescout7	34
56	Chromary	34
56	EveryonesUncle	34
59	ImpavidArcher	33
59	2Stout	33
59	Kakolbus	33
62	SvenskaSara	32
62	Lord_Jord	32
64	Malorn_Aetherius	31
64	Hanselhoof	31
66	fkGrim	30
67	gcaisawesome	29
67	_Cloverbelle_	29
67	Groundler	29
67	HesDemonPants	29
71	catandmoose	28
71	zToasty69z	28
71	Soplight	28
71	lcvezra	28
75	TheBiggestFeller	27
75	Legendosh	27
77	Foof13	26
77	Mythic1130	26
77	CalebDHawk	26
77	TechnoNinja64	26
77	00000000-0000-0000-0009-01ff0c3e5e4f	26
82	TheSecondLord	25
82	Enigma0251	25
82	HAIRYCLOUD626	25
82	ZoomieZoomie	25
86	Natty	24
86	Xclax101	24
86	cytotoxaint	24
86	Burge_r	24
86	stellarjay	24
91	Inchef	23
91	FlashMigma	23
93	bigstankyy	22
93	Comma__	22
93	BartekB19	22
93	Majonezzon	22
93	obzii	22
93	Quotary	22
99	RoskobiOne	21
99	Jahara	21
99	xxPipperDipperxx	21
99	purpolepickle	21
99	_Karmaa	21
99	claivin	21
99	MineMaster0012	21
106	SaucyDark	20
106	ThiccExotic	20
106	Historical_Sand	20
106	pappaberg	20
106	wwwwinnebagoooo	20
111	FroggoTheDoggo	19
111	Azmodan_246	19
111	Moofyman	19
111	Optiprimus	19
115	pintsizedrogue	18
115	Crowvens	18
115	Meepcraft	18
115	The_slideV3	18
119	SuperPooch06	17
119	Smiguli_	17
121	noam464	16
121	Steelynan	16
123	Pelbo	15
123	Bobby808	15
123	ehunt54	15
123	F_Uhre	15
123	Dusk_95	15
128	Firecracker320	14
128	mennorovers	14
128	jacxhadow	14
128	PegLegPete93	14
128	Septemb3r	14
128	SonicRainBow_	14
128	RobotMinion101	14
128	GoofySilly	14
128	LordSpeed37	14
128	TheGameArchitect	14
128	PlasticOtari	14
139	Sleepy_Time_	13
139	ProfessorBee	13
139	Fuhrer_Teemo	13
142	Louiis123	12
142	IWorkAtIkea	12
142	ThePoliteG	12
142	breadbowlgamer	12
142	Ristebraaten	12
142	CrateOfBoxes	12
142	CaptainDeadBread	12
142	_Bguette_	12
142	Fuad_R	12
142	PortlyPete69	12
142	monolu	12
142	Skippeh	12
154	Mr_Byzantine	11
154	Esme_1	11
154	Tolhart	11
154	RebelAndroid	11
154	hcb238	11
154	Kubelz	11
154	legal_tax_evader	11
154	AJplaysMC_	11
154	TheMiddayMoon	11
163	Groovy_MoonBird	10
163	baboonlord400	10
163	TinMaster	10
163	Cryptacity	10
163	potato292	10
163	Xalithia	10
163	TakeThis2UrGrave	10
163	Sheellky	10
163	ooga47	10
163	CaptainAvenger7	10
163	ogoa	10
163	Soap_Bender	10
163	NebulousBadger	10
163	robotemo	10
177	Cowison	9
177	nattybears	9
177	CoffeeNoir	9
177	lordofthelight95	9
177	corpsecity	9
177	Hyp3rion_	9
177	Smussa	9
177	layabout100	9
177	RealGroot	9
186	Harotio	8
186	ShedJr_	8
186	Swexti	8
186	Valoth	8
186	NoxxxxiS	8
186	eiC_	8
186	Winklepicker279	8
186	MyNameIsJobo	8
186	_Boipl_	8
186	seramalen	8
186	Jiminbub	8
186	MinuteMira	8
186	jaimshae	8
199	Jovaphobic	7
199	PazinGaming	7
199	MattieHD	7
199	redikul	7
199	Drewen24	7
199	Inbefour	7
199	Meatlaugh	7
199	MyNameIsDakar	7
199	marumochis	7
199	EngagedGrub41	7
199	EcksD	7
199	Enderxz3	7
211	_Razaria	6
211	ewsophie	6
211	actuallysadie	6
211	Sparky_KT	6
211	wiqor	6
211	SPUDonSTEROIDS	6
211	r123moore	6
211	John6970	6
211	Zaridey	6
211	SlayerCrypto	6
211	PartyPhoenix	6
211	Quaintster	6
211	Hisiste	6
211	yatsuta	6
211	__tomato	6
211	SSytex_X	6
211	Chuglyfe	6
211	annoyingenderman	6
211	Slapface522	6
211	ThisUserIsStump	6
231	Apollo_993	5
231	TastyPorkchop	5
231	Ravenbie	5
231	Resner	5
231	IceYoung	5
231	UncleDanDan	5
231	DermeinUser	5
231	M_Patata	5
231	Ecplosive	5
231	PeteO1995	5
231	fr_ser	5
231	whoaluv	5
231	impossibleteapot	5
231	cedric72	5
231	DTwenty	5
231	avalan64	5
231	GigaSl	5
231	Renchi19	5
231	Barlycorn	5
231	LazySupport00	5
231	SkateboardR6	5
231	MasterNueve	5
231	Ze_BaronKrigler	5
231	SammiWolfGirl	5
231	c0la_c0ca	5
231	Nicserso	5
231	JayToe	5
258	Jorrdi	4
258	squigglybones	4
258	boredishbear	4
258	T045RTY	4
258	Huwulling	4
258	chlorinex	4
258	TheThomas69	4
258	himak1	4
258	Covalents	4
258	HoltGrim	4
258	Bucscw24	4
258	Studyhallsaver	4
258	Shavrin	4
258	groofles	4
258	Leyna3	4
258	valkam13	4
258	Typadopoulos	4
258	Matorz	4
258	Paigefly	4
258	PabloGonza02	4
258	07shiny	4
258	SvenskaHugo	4
258	ButterBuns_	4
258	fffMike	4
258	LeeMcGee30	4
258	BurgerKnight	4
258	KingMatthew506	4
258	_KuruKuru	4
258	ConnorDanky_	4
258	_AAZAR	4
258	QueenOfDirt	4
258	jnp_gaming	4
258	Teebone15	4
258	diggydog67	4
258	00000000-0000-0000-0009-01f16526f034	4
293	2xil2	3
293	Lukeee33	3
293	H72l9w	3
293	Da_Boss_Rani	3
293	Yellowpowr	3
293	titanlax	3
293	Smashic	3
293	Touched_Bread	3
