rank	username	minecraft:mined/minecraft:oak_sapling
1	TheShyPig	328
2	Onennon	210
3	TheFlfthHorseman	188
4	Blackberry1310	174
5	FreakGenius	143
6	Spacewardharpy7	100
7	eitanzaki	93
8	Mr_Byzantine	89
9	WET_WET_WET	85
10	cedric72	83
11	rarrq	80
12	PeteO1995	79
13	TheThomas69	76
14	Malorn_Aetherius	74
15	AdmiralSmoke	67
16	hcb238	66
17	burbankbuilder28	64
18	MyNameIsJobo	60
18	Werbe	60
18	Hermanni__	60
21	Mahoose	56
22	PhantomsGhost_	55
23	Legendosh	53
24	PortlyPete69	51
25	Di_infiri	50
26	CharlieButt	45
26	Warlord324	45
28	ehunt54	43
29	wezzzi	42
30	ZaneABrain	40
31	WarHammer3	39
31	GLLogan2	39
31	Snowflowe	39
34	Matemax	38
35	masskedman	37
36	Quotary	36
37	2Stout	35
37	ReyTheLegend	35
39	kekhon	34
40	mwrty	33
40	EcksD	33
42	eiC_	31
42	Skylord_Luke	31
42	Njensen7	31
45	Lord_Jord	30
46	Akoot_	29
47	thescout7	28
48	Fullut	27
48	Ecplosive	27
48	TechnoNinja64	27
51	Soplight	26
52	gcaisawesome	25
52	Winklepicker279	25
52	Kouridragon	25
52	EveryonesUncle	25
52	_Karmaa	25
57	beeperbeeper5	24
57	titanlax	24
59	_Virify_	23
59	XHectorSalamanca	23
59	ThePoliteG	23
62	Rumpletaezer	22
62	Lutres_	22
62	CalebDHawk	22
62	PlasticOtari	22
66	Wooptey	21
66	Hiryu27	21
66	jaimshae	21
66	SpacesickPrism	21
70	Merv__	20
70	anbbang	20
72	ECstardust	19
72	bloodbiter	19
72	SlayerCrypto	19
75	ShedJr_	18
75	cheerytomato	18
75	set67	18
75	Invisie	18
75	Drewen24	18
75	El_Jalapeno	18
81	fr0stss	17
81	IWorkAtIkea	17
81	Inchef	17
81	luseis	17
81	PixelatedBoss	17
81	__tomato	17
81	Steelynan	17
81	Nicserso	17
89	jacxhadow	16
89	m_be9	16
89	wiqor	16
89	DataHawk2	16
89	TableTim	16
89	prizm_	16
89	Karetoko	16
89	AstreaTSS	16
89	MAns_44	16
98	Jovaphobic	15
98	Gamergirl420628	15
98	dinothedinosaur1	15
98	ori0le	15
98	_Mythic____	15
98	Ezekson	15
104	ssleepless	14
104	youhjjhhhjj	14
104	GingerNeutron	14
104	seramalen	14
104	HellsSponge	14
104	kyouma777	14
104	Sheldor097	14
104	KingMatthew506	14
112	moertymoertan	13
112	_Nuf	13
112	excelsionprime	13
112	xxPipperDipperxx	13
112	noam464	13
112	fenkuu	13
112	HAIRYCLOUD626	13
112	ApophisNova	13
112	Blaiku	13
112	stellarjay	13
112	MyNamaSheff	13
123	ColeSnyder	12
123	AES784	12
123	Historical_Sand	12
123	Vizzoid	12
123	ProfessorBee	12
123	JETrotter	12
123	MinuteMira	12
123	BumbleBeever	12
123	__hinterland__	12
132	pintsizedrogue	11
132	heckface	11
132	_Dean_123	11
132	Pelbo	11
132	UncreativeArtist	11
132	PegLegPete93	11
132	Bucscw24	11
