rank	username	minecraft:mined/minecraft:netherrack
1	Zythose	498335
2	PigDab	417542
3	EcksD	416381
4	HellsSponge	388236
5	gcaisawesome	359557
6	Esme_1	342542
7	Spacewardharpy7	319380
8	thewindmillman	315098
9	NomadicRobin_	247698
10	Smoke____	236358
11	noam464	225123
12	Di_infiri	224352
13	Enderxz3	221037
14	500am	184025
15	Fullut	165384
16	joethahobo	163407
17	Deerfoot	157428
18	Frozil20	124948
19	mihimihimihi	113664
20	Iamthejo	111754
21	beeperbeeper5	111336
22	Smashic	98324
23	censorsheep	89261
24	YungMaki	86583
25	_Virify_	85374
26	TheShyPig	84183
27	m_be9	83220
28	Hyp3rion_	80970
29	fw3xywashere	80429
30	EveryonesUncle	79933
31	RealGroot	76474
32	pintsizedrogue	72938
33	eitanzaki	71045
34	Blaiku	66694
35	NatalieTW	65620
36	mwrty	64227
37	set67	63884
38	Winklepicker279	63160
39	SingedBread	60445
40	lordpipe	58730
41	NinjaKnifeKill	58225
42	Yatitay	55912
43	Mythic1130	55903
44	Legendosh	55522
45	bigstankyy	54684
46	_Yonk_	53120
47	Snowflowe	52789
48	rarrq	52442
49	fluddd	50943
50	Alteriity	50292
51	thescout7	50185
52	Rebytre	49848
53	Eraxa	49054
54	Dusk_95	47684
55	luseis	47486
56	ZA07	47169
57	tuckerdoodle	46782
58	Bumpy419	46269
59	F_Uhre	46005
60	trexgb	45523
61	kekhon	44775
62	00000000-0000-0000-0009-01ff0c3e5e4f	44356
63	TheSecondLord	44182
64	PlasticOtari	43807
65	Skylord_Luke	43445
66	Luminad3	43119
67	RebelAndroid	42145
68	Soplight	41898
69	gusstationwerker	41125
70	Touched_Bread	41085
71	Kakolbus	40589
72	Werbe	39833
73	MightyWertu	39196
74	jacxhadow	39097
75	fade_emerge78823	38655
76	Merv__	37972
77	claivin	37727
78	Megarboh	37271
79	Hermanni__	37208
80	ImpavidArcher	36900
81	T045RTY	36419
82	livingdaydreams	36186
83	diamondgolem35	36050
84	MyNameIsJobo	35743
85	BlancoFlaco	35020
86	AltnumberF4	34722
87	M_Patata	34197
88	MasterNueve	33795
89	PuFY	33530
90	Xalithia	33527
91	r123moore	33165
92	Wooptey	32912
93	MAns_44	32201
94	Razzgriz	32035
95	KartivGal	31996
96	Myszoaz	31390
97	cedric72	31345
98	FreakGenius	30980
99	Wolf_Mauler_73	30793
100	Ezekson	30540
101	301851	30122
102	LeEricc	30007
103	PhantomsGhost_	29876
104	RoBe__	29219
105	Groovy_MoonBird	28863
106	Lutres_Torane	28704
107	MinttyFressh	28279
108	MirielThePastor	28277
109	CadenSteele	27662
110	Jackattack53	27073
111	Fuad_R	26870
112	PortlyPete69	26119
113	striker90333	25787
114	Blackberry1310	25253
115	NieToksikpl	25090
116	Hisiste	25042
117	Njensen7	25006
118	UltraZombie	24885
