rank	username	minecraft:mined/minecraft:gray_stained_glass
1	thescout7	2905
2	joethahobo	1330
3	mwrty	1233
4	cog	970
5	MixerDixer	823
6	noam464	558
7	Mahoose	454
8	Zoeyfortnite	356
9	Di_infiri	181
10	Smoke____	175
11	Deathkob	171
12	Blackberry1310	157
13	Merv__	147
14	jnp_gaming	130
15	Blaiku	104
16	Dedalus36	101
17	_Virify_	100
18	eitanzaki	94
19	Spacewardharpy7	91
20	beeperbeeper5	87
21	Soplight	85
22	oreee	74
23	Groundler	65
24	500am	49
25	Arceus1975	38
26	TheSecondLord	37
27	MyNameIsJobo	36
28	NomadicRobin_	28
28	pixelviolin	28
30	KG1999	26
31	thewindmillman	24
32	stahouo	21
33	Inchef	20
33	ZeroKraken	20
35	Skippeh	18
36	Historical_Sand	16
36	the__Reaper4999	16
38	ImpavidArcher	14
38	PigDab	14
40	HyperCave	13
41	pintsizedrogue	11
42	PlasticOtari	10
43	Stynxy	9
44	XxCookiequeenxX	8
44	Xclax101	8
44	Spenduh	8
47	Werbe	7
47	Akoot_	7
49	Grimme	6
50	egglapras	5
50	fred870d	5
50	Frozil12	5
53	CliffEmAll	4
53	zombierieger	4
53	emrekn	4
53	ogoa	4
53	fffMike	4
53	MeetTheWollo	4
59	kekhon	3
59	zStriqe	3
59	EveryonesUncle	3
59	lillips	3
59	LexMakesHistory	3
59	Eraxa	3
59	lcvezra	3
59	SammiWolfGirl	3
67	susbakaimpostor	2
67	Ailmast	2
67	teslawolf38	2
67	Hpdinosaur	2
67	FS0L0	2
67	Han75	2
67	rarrq	2
67	sick_nubs	2
67	xxPipperDipperxx	2
67	Chromary	2
67	Maenara	2
67	HellsSponge	2
67	claivin	2
67	Blu3beast	2
67	TheTommyGun63	2
67	SexcMf	2
67	YungMaki	2
67	FelixPSY375	2
85	Jorrdi	1
85	jushykins	1
85	MinttyFressh	1
85	SteveCraftBlocks	1
85	_Dean_123	1
85	Awyrlas	1
85	Hoid_the_Roamer	1
85	ApophisNova	1
85	MonitorLizards	1
85	YahooScreen9000	1
85	Sky_light_KING	1
85	Inbefour	1
85	AgentMeatCandy	1
85	jologsimp	1
85	Nagasaki_Riku	1
85	magnimalt	1
85	Slapface522	1
85	EcksD	1
85	Quotary	1
85	MyNamaSheff	1
85	EcksDofficial	1
85	h2p_emrld	1
