rank	username	minecraft:mined/minecraft:yellow_carpet
1	Xclax101	1157
2	joethahobo	524
3	beeperbeeper5	360
4	Skylord_Luke	210
5	EveryonesUncle	154
6	HellsSponge	113
7	IWorkAtIkea	106
8	Lord_Jord	95
9	dezxalo	68
10	NotMeanttoChange	63
11	Spacewardharpy7	60
12	diamondgolem35	58
12	Legendosh	58
14	xxPipperDipperxx	55
15	MattieHD	44
16	jnp_gaming	36
17	Alphanzt99	35
18	lordpipe	34
19	kekhon	31
20	EcksD	26
21	__tomato	25
21	Soplight	25
23	Eraxa	24
24	teslawolf38	20
24	CaptainBadKid	20
24	Jackattack53	20
27	Kowcio_	19
27	Skippeh	19
27	Smoke____	19
30	burbankbuilder28	18
30	Freak_Genius	18
32	mwrty	16
33	_NieToksikpl_	15
33	awesomeoneme	15
33	lcvezra	15
36	dopplexd	14
36	Blackberry1310	14
36	Akoot_	14
36	Ezekson	14
36	PlasticOtari	14
36	EcksDofficial	14
42	rarrq	13
43	Swexti	12
43	BilboBaggins23	12
45	Sleek_Storm_721	10
45	Kubeusz2010	10
47	Mahoose	9
48	Tommhh	8
48	FishyBoy3811	8
48	Factoroni	8
51	GlitchyPlate810	7
52	bloodbiter	6
52	Werbe	6
52	TheShyPig	6
52	AssEatrAndLicker	6
52	Aezekial	6
52	Nekomin0	6
58	SaltineDream	5
58	Merv__	5
58	Ozixar	5
58	Z3braYTIL	5
58	Di_infiri	5
58	NomadicRobin_	5
58	Zoeyfortnite	5
65	RebelAndroid	4
65	Megarboh	4
65	NotTrixi	4
65	ROY4LE	4
65	LexMakesHistory	4
65	DanTheBuilderino	4
65	Racengan	4
65	MakeHistory157	4
65	YungMaki	4
65	sebastiensaborio	4
75	Mr_Byzantine	3
75	eitanzaki	3
75	ShedJr_	3
75	Ao_Ken	3
75	heckface	3
75	pr33tu	3
75	SteveCraftBlocks	3
75	AJplaysMC_	3
75	LilLizardWizard	3
75	Godspirit249	3
75	Njensen7	3
86	fullyrawfuzz	2
86	Rumpletaezer	2
86	El_Jalapeno	2
86	sadvavilloso	2
86	TechnoNinja64	2
91	heysushii	1
91	Froste131	1
91	T045RTY	1
91	titanlax	1
91	Fullut	1
91	zylanzagreat	1
91	theonlymagikarp	1
91	fr_ser	1
91	RobotMinion101	1
91	Syropatathe	1
91	lillips	1
91	claivin	1
91	TheTommyGun63	1
91	Tina_x	1
91	djancak	1
91	PortlyPete69	1
91	KingMatthew506	1
91	cichy096	1
91	The_SlideV5	1
