rank	username	minecraft:mined/minecraft:lime_wool
1	beeperbeeper5	1564
2	Smoke____	1381
3	SyK7	706
4	stavgod	499
5	EMC_	485
6	Legendosh	416
7	eitanzaki	406
8	jcool7	230
8	oxfordschool	230
10	EcksDofficial	198
11	oreee	179
12	500am	176
13	Groovy_MoonBird	175
14	PlasticOtari	153
15	Ezekson	137
16	PortlyPete69	135
17	mwrty	112
18	KingMatthew506	105
19	Rebytre	104
20	teslawolf38	77
21	Wooptey	68
22	Blackberry1310	63
23	MattieHD	62
24	Werbe	61
25	PeteO1995	60
26	Kamflame10	54
27	diamondgolem35	51
27	egglapras	51
27	Inbefour	51
30	ManlyAdjective	48
30	Hoid_the_Roamer	48
32	PhantomsGhost_	47
33	Fuhrer_Teemo	44
34	Smashic	43
35	EcksD	37
36	NameGenerat0r	31
37	PigDab	29
38	Eraxa	28
39	noam464	26
39	proxivitoid	26
41	kekhon	22
42	PlzNoBM	20
43	Karetoko	19
43	lordpipe	19
45	heckface	18
45	Blaiku	18
45	Enderslayerxz3	18
48	pintsizedrogue	17
48	YungMaki	17
48	Soplight	17
51	WET_WET_WET	16
52	Dusk_95	15
53	Drlzyy	13
53	xxPipperDipperxx	13
53	gabriels543	13
53	fw3xywashere	13
57	TechnoNinja64	12
58	Fullut	11
58	pixelviolin	11
60	6king6colt6	10
60	Frozil12	10
62	ShedJr_	9
62	TheSecondLord	9
62	Sky_light_KING	9
65	T045RTY	8
65	joethahobo	8
65	zylanzagreat	8
65	Blu3beast	8
65	Spacewardharpy7	8
65	ZeroKraken	8
65	jnp_gaming	8
72	RebelAndroid	7
72	Shogunite	7
72	El_Jalapeno	7
75	XboxPanda	6
75	Lord_Jord	6
75	Jiminie	6
75	mafiKiwi	6
75	UCP_TheKingK	6
80	Xclax101	5
80	Kekoo	5
80	Hermanni__	5
83	Rumpletaezer	4
83	Hyp3rion_	4
83	HolyVenom	4
83	Lutres_Torane	4
83	HellsSponge	4
83	Nycteus_	4
83	WyngGoy	4
90	I_Am_Mushkin	3
90	Mahoose	3
90	Freak_Genius	3
93	jacxhadow	2
93	CruncyIsTaken	2
93	FishyBoy3811	2
93	AuroraSkies	2
93	NomadicRobin_	2
93	EveryonesUncle	2
93	DarlaMeow	2
93	claivin	2
101	nataliecool	1
101	ProbablyNick	1
101	Merv__	1
101	ColeSnyder	1
101	pr33tu	1
101	ROY4LE	1
101	Chromary	1
101	The11thDoctor	1
101	_Karmaa	1
101	Steelynan	1
