rank	username	minecraft:mined/minecraft:terracotta
1	YungMaki	177588
2	TheSecondLord	79350
3	Jonafrog99	72053
4	Rumpletaezer	66549
5	Spacewardharpy7	62399
6	MilleGrug	47953
7	Kowcio_	43794
8	lordpipe	43594
9	Frozil20	34979
10	Inbefour	30868
11	mariominejedi	29979
12	Sral7	28985
13	TheShyPig	26545
14	Hyp3rion_	23425
15	PazinGaming	22376
16	joethahobo	20339
17	Huwulling	19824
18	Marbz_	18619
19	kekhon	17751
20	ApophisNova	17473
20	MyNamaSheff	17473
22	Blaiku	16289
23	DarlaMeow	16282
24	ConnorDanky_	16007
25	EveryonesUncle	15786
26	lunathelemon	15746
27	Hoid_the_Roamer	15191
28	QuiCreans	14887
29	AdmiralSmoke	14724
30	Alteriity	12360
31	xolstoi	12351
32	CoffeeNoir	11806
33	EMC_	10817
34	Blackberry1310	10246
35	Karbl	10118
36	EcksD	10063
37	Snowflowe	9212
38	Werbe	8799
39	thewindmillman	8697
40	RatatJuice	8543
41	Deerfoot	8270
42	beeperbeeper5	8219
43	yheece	7863
44	CattSoup	7564
45	cog	7364
46	Jackattack53	6894
47	Merv__	6612
48	PlasticOtari	6515
49	lillips	6416
50	RebelAndroid	6379
51	oscminus	6327
52	SellyZ	6232
53	Steelynan	6114
54	yulgur1	5946
55	FreakGenius	5903
56	Nicserso	5788
57	MirielThePastor	5566
58	Onennon	5333
59	Kakolbus	5112
60	SvenskaHugo	5075
61	ROY4LE	5055
62	AltnumberF4	4997
63	noam464	4848
64	Jimb0nat0r	4786
65	Mr_Byzantine	4764
66	rarrq	4745
67	KingMatthew506	4739
68	Crowman1	4676
69	KingEgg1	4618
70	pintsizedrogue	4528
71	_Nuf	4140
72	XxCookiequeenxX	4123
73	Druid95	4121
74	PigDab	3990
75	SDMNAEK	3860
76	mwrty	3851
77	the_russell1611	3747
78	500am	3679
79	_Karmaa	3614
80	Quincannon	3599
81	excelsionprime	3554
82	Barlycorn	3543
83	Jovaphobic	3495
84	Weepingbiel	3332
85	Di_infiri	3251
86	Notta	3227
87	Legendosh	3192
88	Hermanni__	3169
89	__tomato	3097
90	Nycteus_	2712
91	Eraza	2693
92	AlexxO_o	2649
93	PhantomsGhost_	2573
94	diggydog67	2526
95	Steve897	2378
96	Mahoose	2181
97	Skylord_Luke	2050
98	groofles	1930
99	lorywithay	1777
100	QueenShuvi	1775
101	claivin	1748
102	Awyrlas	1727
103	MovingFish7	1707
104	Blu3beast	1685
105	_8man	1636
106	xxPipperDipperxx	1582
107	set67	1558
108	StinkyDiplomat	1493
109	SuperPooch06	1465
110	ooga47	1450
111	Tyrannosplart	1448
112	UrbanPlanningEx	1425
113	Deathkob	1392
114	yatsuta	1380
115	epiksk8erduck	1328
116	AuroraValkyrie	1305
117	titanlax	1300
118	sxc_	1284
119	Manaateee	1279
120	TechnoNinja64	1271
121	NomadicRobin_	1257
122	legal_tax_evader	1214
123	eitanzaki	1189
124	F_Uhre	1168
125	Kouridragon	1162
126	shineh10	1153
127	Swexti	1139
128	iHuBlack	1108
129	wirelesstree	1102
130	HAIRYCLOUD626	1093
131	djancak	1082
132	Enderxz3	1051
133	Hiryu27	1011
134	Groovy_MoonBird	996
135	Wooptey	990
136	livingdaydreams	978
137	StarCookiees_	977
138	j5ylim	963
139	The_SlideV5	951
140	gcaisawesome	949
141	Parcc	903
142	Kim_Jong_eel	870
143	EngagedGrub41	864
144	_Bguette_	816
145	Rebytre	796
146	TooManyDuck	787
147	Blamphe	780
148	PaperCanvas	778
149	XboxPanda	744
150	theonlymagikarp	715
151	PortlyPete69	705
152	audiocracked	685
153	00000000-0000-0000-0009-01ff0c3e5e4f	654
154	MightyWertu	653
155	MyNameIsJobo	636
156	soundad	614
157	Dakar_	591
158	Lez_	585
159	Soplight	579
160	PegLegPete93	546
161	_Huge_Male_	520
162	CarltheCuck	498
163	Nyxiom_	491
164	Natty	470
165	Kamflame10	463
166	Reamdin	456
166	El_Jalapeno	456
168	RefluxRatio	453
169	Ezekson	449
170	natajimi	437
171	Fullut	430
172	SteveCraftBlocks	420
173	BobDeBouwer1337	411
174	asspharte	406
175	RobotMinion101	402
176	ZeroKraken	397
177	H72l9w	393
178	Zaridey	363
179	trexgb	351
180	k_ce	348
181	ougstur	341
182	Iagoku	313
183	abramgray	305
184	Historical_Sand	303
185	StylesK	302
186	ProfessorBee	283
187	stavgod	264
188	MustardSquid	256
189	Skippeh	242
190	ZoomieZoomie	236
191	homeofmew	228
192	bloodbiter	226
193	fade_emerge78823	224
194	ImDisconnected_	219
195	chipklip	211
196	ActualPatbaf	207
197	heckface	206
198	AnnieBathory	200
199	ReflexCode	197
200	RohnJosin	195
201	MAns_44	192
202	THEKINGLyric10	182
203	dabloons	180
204	RoskobiOne	178
205	TheSeismicDuck	173
206	AgressiveEggdog	171
207	wobn	166
208	SpaceTurtleOX	164
209	lorpus	154
210	J4k__	141
211	Mattesco	134
212	bearlystraight	130
213	Prismyst	129
213	drompje	129
213	NameGenerat0r	129
216	fanofbands101	127
217	Hyugo	123
218	m_be9	122
218	jcool7	122
220	ShedJr_	114
221	_Boipl_	111
222	thescout7	104
223	tuckerdoodle	103
224	thgrocks	100
225	Pearlplatinum	98
226	_Virify_	96
227	Juk3b0x	95
228	MrMeisterProper	94
229	ImpavidArcher	88
230	The_slideV3	83
231	Krowuss	81
232	Vizzoid	78
233	DepressedCubic	76
233	TheDankPlatypus	76
235	lcvezra	75
236	Avocadogerms	74
237	Fuad_R	73
238	pixelviolin	70
239	Apollo_993	68
239	_Razaria	68
239	MineMaster0012	68
242	Jellybean1312	67
243	Lord_Jord	65
244	UncleDanDan	64
245	Dogbound	60
246	LilLizardWizard	59
247	prizm_	57
247	SexcMf	57
249	Da_Boss_Rani	56
