rank	username	minecraft:mined/minecraft:stripped_crimson_stem
1	Legendosh	433
2	Lutres_Torane	315
3	Snowflowe	154
4	lillips	129
5	egglapras	65
5	noam464	65
7	Smoke____	58
8	MyNameIsDakar	51
9	EveryonesUncle	50
10	Hermanni__	41
11	EcksD	37
12	sebastiensaborio	36
13	pintsizedrogue	34
14	kekhon	30
15	oxfordschool	29
16	PlasticOtari	28
17	KarlKaek	17
18	Eon_57	14
19	set67	12
19	Awyrlas	12
21	Kowcio_	11
21	KingMatthew506	11
23	Mahoose	9
24	_Razar	8
24	Blackberry1310	8
26	rarrq	7
27	r123moore	6
27	HellsSponge	6
29	Deathkob	5
29	YungMaki	5
31	AuroraValkyrie	4
31	himak1	4
31	Blaiku	4
31	Luigipunch989	4
35	PigDab	3
35	Akoot_	3
35	Freak_Genius	3
35	Spacewardharpy7	3
35	CalebDHawk	3
40	livingdaydreams	2
40	ShedJr_	2
40	joethahobo	2
40	Historical_Sand	2
40	beeperbeeper5	2
40	jacxhadow	2
40	12Magner05	2
40	cwartzo	2
40	Dusk_95	2
40	TheEnderman548	2
40	RadarHz	2
51	Cowison	1
51	Merv__	1
51	Yatitay	1
51	Jackattack53	1
51	SuperPooch06	1
51	whoaluv	1
51	fred870d	1
51	Lord_Jord	1
51	MightyWertu	1
51	lordpipe	1
51	kyouma777	1
51	Soplight	1
51	Kubeusz2010	1
51	anbbang	1
