rank	username	minecraft:mined/minecraft:seagrass
1	thewindmillman	13782
2	noam464	6424
3	Di_infiri	5349
4	Blu3beast	4269
5	joethahobo	2479
6	12Magner05	1674
7	Mahoose	968
8	EcksD	952
9	ImpavidArcher	938
10	Enderslayerxz3	859
11	EveryonesUncle	826
12	Ezekson	822
13	pintsizedrogue	813
14	YungMaki	795
15	Skippeh	754
16	EMC_	737
17	HellsSponge	734
18	TheOnlyRake	680
19	ItsColin11	670
20	Smoke____	649
21	Legendosh	630
22	Arceus1975	612
23	Eraxa	571
24	beeperbeeper5	569
25	Zoeyfortnite	542
26	Fullut	528
27	ApophisNova	517
27	MyNamaSheff	517
29	Xalithia	502
30	gcaisawesome	494
31	Bumpy419	457
32	SuperPooch06	434
33	TheShyPig	412
34	eitanzaki	409
35	PigDab	386
36	TechnoNinja64	380
37	Kubeusz2010	378
38	Lord_Jord	362
39	Drlzyy	354
39	SaucyDark	354
41	Chromary	352
42	_Dean_123	347
43	lordpipe	338
44	Blackberry1310	329
45	500am	325
46	Nicky_H225	324
47	h2p_emrld	323
48	Racengan	320
49	awesomeoneme	318
50	SingedBread	308
51	Paintz	299
51	claivin	299
53	El_Jalapeno	295
54	vandmanden	288
54	Sral7	288
56	RebelAndroid	284
57	Franco093	280
57	walll	280
59	Frozil12	278
60	kekhon	276
61	jnp_gaming	275
62	SSytex_X	273
63	Hyp3rion_	271
63	fluddd	271
65	Blaiku	262
66	T045RTY	259
67	Maenara	249
68	Zaridey	244
69	Comma__	242
70	Spacewardharpy7	240
71	Nagasaki_Riku	235
72	eviltunix	230
73	Onennon	229
74	jcool7	228
75	picardred	227
76	TheSecondLord	222
77	Kouridragon	221
78	AuroraValkyrie	216
78	cedric72	216
80	loveseeker	209
81	NameGenerat0r	200
82	jambvds	198
83	Marbz_	192
84	Jackattack53	190
85	LordSpeed37	189
86	SammiWolfGirl	187
87	Freak_Genius	183
88	thescout7	177
89	mwrty	175
90	Fizznut909	171
91	obzii	167
92	MilleGrug	162
93	Deathkob	161
94	Fuhrer_Teemo	155
95	Groovy_MoonBird	149
96	Rasmanden	146
97	m_be9	145
97	Drawgirll	145
99	Huic_ostiarius	139
100	Hyugo	138
100	rarrq	138
102	egglapras	136
103	Zythose	130
104	Voxin2K	129
104	chipklip	129
106	imaginek1d	128
107	FishyBoy3811	126
107	MightyWertu	126
109	Inbefour	125
110	Luigipunch989	124
111	Froste131	123
111	bigstankyy	123
113	Merv__	122
113	Xclax101	122
115	Ssor69	121
115	EcksDofficial	121
117	lcvezra	117
118	hm947	113
118	Covalents	113
118	Segotep999	113
121	ratglock	112
122	Mewar	111
123	PhantomsGhost_	110
124	diamondgolem35	109
125	RoskobiOne	108
126	Snowflowe	105
127	Ardennes	103
128	Rumpletaezer	100
128	PortlyPete69	100
130	stavgod	99
131	IAmTheWalrus910	96
132	ssleepless	95
132	Werbe	95
134	youhjjhhhjj	92
135	reaperface123	91
136	BumbleBeever	90
137	burbankbuilder28	89
138	_TCARREIRA_	88
139	Spenduh	87
140	bloodbiter	86
141	diggydog67	85
142	M_Patata	84
142	MasterNueve	84
144	Iagoku	83
145	Hisiste	82
145	__tomato	82
145	Nicserso	82
148	wezzzi	80
148	DanTheBuilderino	80
150	eiC_	79
150	lizardfightclub	79
150	Dogcorn69420	79
153	Soplight	77
154	Kakolbus	75
155	CoffeeNoir	74
155	Skylord_Luke	74
157	MinttyFressh	73
158	Reamdin	72
158	ProfessorBee	72
158	set67	72
161	H72l9w	71
161	Hermanni__	71
161	oxfordschool	71
164	Steelynan	69
165	TheSeismicDuck	68
166	surfinggiraffejp	67
167	livingdaydreams	65
168	beeleg	64
168	Moetis	64
170	YungJakobo	61
170	MangoTheFish	61
170	Pickel_Lord	61
173	Jovaphobic	59
173	djancak	59
175	KomputerDude	58
175	BlueZabu	58
175	CollinMH06	58
175	MeetTheWollo	58
179	Stynxy	57
180	ShedJr_	56
181	Rebytre	55
181	theofiel	55
181	KingMatthew506	55
184	xxPipperDipperxx	54
184	Jiminie	54
184	DarlaMeow	54
187	KeruNatsema	53
188	error10101	52
188	Dnulgreb	52
188	The11thDoctor	52
188	SpookyDraggin	52
188	XxCookiequeenxX	52
188	Nekomin0	52
188	Quotary	52
195	Atroxes	51
196	Leyna3	50
196	gustarbite	50
196	IdeallyGrey	50
199	Dedalus36	49
199	Awyrlas	49
199	Sky_light_KING	49
199	Barlycorn	49
199	WyngGoy	49
199	Powowowow	49
205	I_Am_Mushkin	48
205	Kyrum2169	48
207	ReyTheLegend	47
208	titanlax	46
209	MyNameIsJobo	45
209	robotemo	45
211	aikabot	44
211	RodSerlingCringe	44
211	QueenShuvi	44
214	MissCeleste7	43
215	XboxPanda	42
215	RoboTramp7865	42
217	TheDiamondCG	41
217	Syropatathe	41
217	DarkLawD	41
220	Inchef	40
220	fr_ser	40
220	TheEnderman548	40
223	Bandito_Roamer	39
223	Paint	39
223	Euclidoris	39
223	Hiryu27	39
223	AuroraSkies	39
228	ThePoliteG	38
228	PegLegPete93	38
228	HolyVenom	38
228	alddd	38
228	Dusk_95	38
233	Tobias0113	37
233	Sheldor097	37
235	sandmire	36
235	Akoot_	36
235	2blox	36
235	YoshikageBites	36
239	KarlKaek	35
239	CrateOfBoxes	35
239	fred870d	35
239	AssFullaCum	35
243	ROY4LE	34
243	Typadopoulos	34
245	RobotMinion101	32
245	NomadicRobin_	32
247	6king6colt6	31
247	ExtraDumb	31
247	Kamflame10	31
247	emrekn	31
247	John6970	31
247	Fildyr	31
247	Mr_Don_Costello	31
254	ItsAki_	30
254	_Karmaa	30
254	Winston_Ingram	30
257	Erased_Identity	29
258	TooManyDuck	28
258	DemTechAlpha	28
258	JayToe	28
261	Resner	27
261	OverallConcept	27
261	fffMike	27
261	AskewCap	27
261	OfficerAnvil	27
266	himak1	26
266	smogfrog	26
268	heckface	25
268	Z3braYTIL	25
268	censorsheep	25
271	Western_1	24
271	UrbanPlanner1978	24
273	FemboyFwuit	23
273	gabriels543	23
273	TTNG	23
276	Menthas	22
276	q_wq	22
276	Da_Boss_Rani	22
276	sufjanlover	22
276	cytotoxaint	22
276	kinas45y5	22
282	cowgirlkasia	21
282	r123moore	21
282	Vetral1	21
282	LokisCharredFace	21
282	pixelviolin	21
287	Kubelz	20
287	Winklepicker279	20
287	Jiminbub	20
287	EfficientC52	20
287	Optiprimus	20
292	purpolepickle	19
292	Kynigito	19
292	Kim_Jong_eel	19
292	markaus77	19
292	Jij0	19
292	Wolverine4302	19
292	FishisTTV	19
299	ivorico	18
299	AnnieBathory	18
