rank	username	minecraft:mined/minecraft:cut_sandstone
1	Steelynan	4500
2	Merv__	4240
3	stahouo	3694
4	Kim_Jong_eel	2124
5	Freak_Genius	2040
6	TheShyPig	1542
7	Jackattack53	1408
8	500am	1318
9	thgrocks	1290
10	El_Jalapeno	1146
11	Frozil12	1031
12	Euclidoris	1016
13	Di_infiri	951
14	loveseeker	911
15	NameGenerat0r	773
16	Fullut	705
17	2Stout	704
18	ImpavidArcher	649
19	YungMaki	642
20	TheDankPlatypus	566
21	Soplight	551
22	_Karmaa	520
23	Doom_melon	512
24	Legendosh	507
25	gcaisawesome	485
26	kekhon	448
27	Enderslayerxz3	430
28	Mahoose	425
29	pintsizedrogue	416
30	eviltunix	393
30	Werbe	393
32	_naturell	377
33	thewindmillman	370
34	beeperbeeper5	367
35	Ajax6	363
36	KarlKaek	350
37	RodSerlingCringe	345
38	KingFaenor	314
39	lOlmantschi	303
40	Optiprimus	293
41	Eczbek	292
42	ROY4LE	285
43	Smoke____	283
44	ShedJr_	276
45	Blackberry1310	269
46	epiksk8erduck	249
47	Deodorante	248
48	burbankbuilder28	244
49	Hyugo	240
50	SuperPooch06	232
51	Bumpy419	216
52	SkateboardR6	215
53	SaucyDark	214
54	SteveCraftBlocks	213
54	Sheldor097	213
56	CoffeeNoir	209
57	Groovy_MoonBird	204
58	_stets	198
59	chipklip	193
60	DarlaMeow	187
61	SwooshBoi	185
62	Freeman666	181
63	Eraxa	179
64	joethahobo	170
65	John6970	161
66	claivin	156
67	TheMilkerOfCats	155
68	__tomato	154
69	Arceus1975	147
70	Hyp3rion_	146
71	EcksDofficial	140
72	WyngGoy	139
73	ZeroKraken	135
74	Hpdinosaur	130
75	PA_Tech_Gaming	114
76	ApophisNova	112
76	MyNamaSheff	112
78	MustardDrinker	111
79	Cryptacity	110
80	eitanzaki	107
81	Kyrum2169	105
82	xXTheWolfmanXx	97
82	Malorn_Aetherius	97
82	GLLogan2	97
85	Ezekson	96
86	G1ldor	95
87	SpookyDraggin	93
88	AnnieBathory	90
89	himak1	88
90	Sral7	86
