rank	username	minecraft:mined/minecraft:end_stone_bricks
1	YungMaki	2902
2	mwrty	2408
3	eiC_	2371
4	PigDab	2297
5	masskedman	1785
6	500am	1550
7	12Magner05	1536
8	PhantomsGhost_	1264
9	m_be9	1261
10	MightyWertu	1244
11	claivin	1136
12	Blu3beast	903
13	Ecplosive	866
14	Bandito_Roamer	834
15	NameGenerat0r	708
16	Smoke____	692
17	Mewar	683
18	NomadicRobin_	678
19	Ezekson	673
20	xzvu	589
21	Comma__	557
21	Fullut	557
23	El_Jalapeno	542
24	WET_WET_WET	524
25	bigstankyy	503
26	Noah_Bez	469
27	noam464	458
28	ThiccExotic	426
29	thescout7	410
30	yulgur1	401
31	Frozil20	389
32	mihimihimihi	360
33	Inbefour	351
34	Mahoose	337
35	Arceus1975	325
36	HellsSponge	319
37	TheSecondLord	318
37	surfinggiraffejp	318
37	Kowcio_	318
40	TechnoNinja64	313
41	Historical_Sand	311
42	Jackattack53	303
43	6king6colt6	299
43	FreakGenius	299
45	Maenara	294
46	jnp_gaming	286
47	r123moore	278
48	Blaiku	274
49	audiocracked	260
50	MilleGrug	258
51	elicobnoah	252
52	thewindmillman	250
53	Elastiq	249
54	striker90333	247
55	Marbz_	241
56	F_Uhre	234
57	brofrickcheaters	233
58	lcvezra	222
59	avalan64	206
60	Hisiste	204
61	Dogcorn69420	203
62	Werbe	201
63	Covalents	191
63	_TCARREIRA_	191
65	Rich_Kat	184
66	Lepthymo	183
67	gcaisawesome	182
68	RoofTyler	180
69	OG_Songsee	175
70	eitanzaki	174
71	TheDankPlatypus	169
72	AuroraValkyrie	167
73	Hermanni__	164
74	TheShyPig	162
75	gabriels543	158
76	Iagoku	157
77	Awyrlas	156
78	MissCeleste7	154
79	Sral7	151
80	ROY4LE	142
80	Bumpy419	142
82	TheEnderMan548	139
83	set67	138
84	beeperbeeper5	134
85	Groundler	132
85	Jij0	132
87	ShedJr_	131
88	Di_infiri	130
88	PlasticOtari	130
90	Steelynan	125
91	EcksD	121
92	epiksk8erduck	120
93	Rasmanden	119
94	ImpavidArcher	116
95	Winston_Ingram	110
95	Enderxz3	110
97	RoboTramp7865	108
98	UrbanPlanningEx	107
99	lizardfightclub	106
99	sxc_	106
101	Racengan	105
102	TheSeismicDuck	104
102	Nicserso	104
104	TooManyDuck	99
104	MustaLoordi	99
106	AuroraSkies	93
107	laron58	92
108	MovingFish7	90
109	burbankbuilder28	89
109	00000000-0000-0000-0009-01ff0c3e5e4f	89
111	Blackberry1310	88
112	SellyZ	87
112	Rumpletaezer	87
114	Onennon	86
115	LazySupport00	80
116	fluddd	76
116	NotMeowMix	76
118	Ender_Souls	74
119	Ailmast	70
119	MyNameIsJobo	70
121	Shogunite	67
122	Xclax101	63
123	Spacewardharpy7	61
124	EveryonesUncle	57
125	iSammael	53
126	Houstonion	52
126	Hpdinosaur	52
126	Zythose	52
129	Myszoaz	51
129	JayToe	51
131	Esme_1	48
131	SvenskaHugo	48
133	jushykins	47
133	Skippeh	47
135	Inchef	46
135	33sudo	46
137	DTwenty	43
138	MinttyFressh	40
138	LeGold	40
140	pappaberg	39
140	Dusk_95	39
142	Zaridey	37
142	jcool7	37
144	mariominejedi	34
144	MAns_44	34
146	pintsizedrogue	32
147	MangoTheFish	31
147	Eczbek	31
149	AlexxO_o	30
150	_Karmaa	29
151	Afinnity	28
152	BodaciousCake	27
152	Donutt	27
152	Gab4101	27
155	T045RTY	26
155	__TheNorseMan__	26
155	bladeefan2009	26
158	SuperPooch06	25
158	Snowflowe	25
158	Sheldor097	25
158	HesDemonPants	25
162	Akoot_	24
162	501g	24
164	Tyrannosplart	19
164	SwooshBoi	19
164	TheDumbHuman	19
164	ElectricDragon81	19
168	shyshyannne	18
168	ItsJWolff	18
170	Secret_Canary	17
170	LilyNova	17
170	Warlord324	17
170	RealGroot	17
170	ConnorDanky_	17
175	Touched_Bread	16
175	Kakolbus	16
175	parodypatient	16
175	Mythic1130	16
175	djancak	16
180	SaucyDark	15
180	kekhon	15
180	crying_wolf_13	15
180	lillips	15
180	Quincannon	15
180	Nycteus_	15
186	ssleepless	14
186	tuckerdoodle	14
186	rarrq	14
186	legal_tax_evader	14
186	binman420	14
186	Deodorante	14
186	vandmanden	14
193	TheTrueClipse	13
193	MrQuanQuan	13
193	Barlycorn	13
193	wwwwinnebagoooo	13
193	SkateboardR6	13
198	Whiterooster001	12
198	FishyBoy3811	12
198	Razzgriz	12
198	LeEricc	12
198	FishisTTV	12
203	CoffeeNoir	11
203	fw3xywashere	11
203	stavgod	11
206	Incinere	10
206	Hyp3rion_	10
206	SingedBread	10
206	ayamefag	10
206	Fizznut909	10
206	diggydog67	10
212	Merv__	9
212	_Razaria	9
212	Quotary	9
215	ExtraDumb	8
215	zorin123	8
215	okCrypto	8
215	domagawha	8
215	_k2x	8
215	Strangemonkey71	8
215	tartanboy	8
222	PuustaKauasPdnt	7
222	Charmyboi	7
222	ApophisNova	7
222	wezzzi	7
222	lordpipe	7
222	MyNamaSheff	7
222	Legendosh	7
222	2bolx_	7
230	SailiXX	6
230	ougstur	6
230	fkGrim	6
230	Quaintster	6
230	geekbird	6
235	Moyd_	5
235	catandmoose	5
235	CollinMH06	5
235	zToasty69z	5
235	Kura2218	5
235	gusstationwerker	5
235	Physics_Breaker	5
242	teslawolf38	4
242	RebelAndroid	4
242	Motsaro	4
242	theonlymagikarp	4
242	ClemenPine	4
242	voiding_	4
242	CalebDHawk	4
242	Zoeyfortnite	4
250	Groovy_MoonBird	3
250	dabloons	3
250	livingdaydreams	3
250	Swexti	3
250	JuuustYeet	3
250	picardred	3
250	Karbl	3
250	__tomato	3
250	ProbsNotNova	3
250	Aryamanee	3
250	Powowowow	3
261	FazeObama69	2
261	LeDuctTape	2
261	hm947	2
261	wickedword	2
261	SpaceGrenadier	2
261	FirsTimeGamingTV	2
261	Megarboh	2
261	himak1	2
261	Xalithia	2
261	XboxPanda	2
261	SamZombie	2
261	seramalen	2
261	Smussa	2
261	IamCL4SSY	2
261	luseis	2
261	1442	2
261	GravitySaint	2
261	BumbleBeever	2
261	OffWithTheirHead	2
261	WyngGoy	2
261	Eraxa	2
261	non089	2
261	PortlyPete69	2
261	xof_on_microwave	2
261	anbbang	2
286	H0UNDFRMH3LL	1
286	seanitoo	1
286	SyntheticSurgeon	1
286	Seyaboy	1
286	_Nuf	1
286	lorpus	1
286	John6970	1
286	Corbsman	1
286	TheWildMateo	1
286	ooga47	1
286	bpmm	1
286	Fuhrer_Teemo	1
286	DemTechAlpha	1
286	Fuad_R	1
286	weabis	1
