rank	username	minecraft:mined/minecraft:end_stone_bricks
1	YungMaki	2902
2	mwrty	2408
3	eiC_	2371
4	PigDab	2297
5	masskedman	1785
6	500am	1550
7	12Magner05	1536
8	PhantomsGhost_	1264
9	m_be9	1261
10	MightyWertu	1244
11	claivin	1136
12	Blu3beast	903
13	Ecplosive	866
14	Bandito_Roamer	834
15	NameGenerat0r	708
16	Smoke____	692
17	Mewar	683
18	NomadicRobin_	678
19	Ezekson	673
20	xzvu	589
21	Comma__	557
21	Fullut	557
23	El_Jalapeno	542
24	WET_WET_WET	524
25	bigstankyy	503
26	Noah_Bez	469
27	noam464	458
28	ThiccExotic	426
29	thescout7	410
30	yulgur1	401
31	Frozil20	389
32	mihimihimihi	360
33	Inbefour	351
34	Mahoose	337
35	Arceus1975	325
36	Kowcio_	322
37	HellsSponge	319
38	TheSecondLord	318
38	surfinggiraffejp	318
40	TechnoNinja64	313
41	Historical_Sand	311
42	Jackattack53	305
43	6king6colt6	299
43	FreakGenius	299
45	Maenara	294
46	jnp_gaming	286
47	r123moore	278
48	Blaiku	274
49	audiocracked	260
50	MilleGrug	258
51	elicobnoah	252
52	thewindmillman	250
53	Elastiq	249
54	striker90333	247
55	Marbz_	241
56	F_Uhre	234
57	brofrickcheaters	233
58	lcvezra	222
59	avalan64	206
60	Hisiste	204
61	Dogcorn69420	203
62	Werbe	201
63	Covalents	191
63	_TCARREIRA_	191
65	Rich_Kat	184
66	Lepthymo	183
67	gcaisawesome	182
68	RoofTyler	180
69	OG_Songsee	175
70	eitanzaki	174
71	TheDankPlatypus	169
72	AuroraValkyrie	167
73	Hermanni__	164
74	TheShyPig	162
75	gabriels543	158
76	Iagoku	157
77	Awyrlas	156
78	MissCeleste7	154
79	Sral7	151
80	ROY4LE	142
80	Bumpy419	142
82	TheEnderMan548	139
83	set67	138
84	beeperbeeper5	134
85	Groundler	132
85	Jij0	132
87	ShedJr_	131
88	Di_infiri	130
88	PlasticOtari	130
90	Steelynan	125
91	EcksD	121
92	epiksk8erduck	120
93	Rasmanden	119
94	ImpavidArcher	116
95	Winston_Ingram	110
95	Enderxz3	110
97	RoboTramp7865	108
98	UrbanPlanningEx	107
99	lizardfightclub	106
99	sxc_	106
101	Racengan	105
102	TheSeismicDuck	104
102	Nicserso	104
104	TooManyDuck	99
104	MustaLoordi	99
106	AuroraSkies	93
107	laron58	92
108	MovingFish7	90
109	burbankbuilder28	89
109	00000000-0000-0000-0009-01ff0c3e5e4f	89
111	Blackberry1310	88
112	SellyZ	87
112	Rumpletaezer	87
114	Onennon	86
115	LazySupport00	80
116	H0UNDFRMH3LL	77
117	fluddd	76
117	NotMeowMix	76
119	Ender_Souls	74
120	Ailmast	70
120	MyNameIsJobo	70
122	Shogunite	67
123	Xclax101	63
124	Spacewardharpy7	61
125	EveryonesUncle	57
126	iSammael	53
127	Houstonion	52
127	Hpdinosaur	52
127	Zythose	52
130	Myszoaz	51
130	JayToe	51
132	Esme_1	48
132	SvenskaHugo	48
134	jushykins	47
134	Skippeh	47
136	Inchef	46
136	33sudo	46
138	DTwenty	43
139	MinttyFressh	40
139	LeGold	40
141	pappaberg	39
141	Dusk_95	39
143	Zaridey	37
143	jcool7	37
145	mariominejedi	34
145	MAns_44	34
147	pintsizedrogue	32
148	MangoTheFish	31
148	Eczbek	31
150	AlexxO_o	30
151	_Karmaa	29
152	Afinnity	28
153	BodaciousCake	27
153	Donutt	27
153	Gab4101	27
156	T045RTY	26
156	__TheNorseMan__	26
156	bladeefan2009	26
159	SuperPooch06	25
159	Snowflowe	25
159	Sheldor097	25
159	HesDemonPants	25
163	Akoot_	24
163	501g	24
165	Tyrannosplart	19
165	SwooshBoi	19
165	TheDumbHuman	19
165	ElectricDragon81	19
169	shyshyannne	18
169	ItsJWolff	18
171	Secret_Canary	17
171	LilyNova	17
171	Warlord324	17
171	RealGroot	17
171	ConnorDanky_	17
176	Touched_Bread	16
176	Kakolbus	16
176	parodypatient	16
176	Mythic1130	16
176	djancak	16
181	SaucyDark	15
181	kekhon	15
181	crying_wolf_13	15
181	lillips	15
181	Quincannon	15
181	Nycteus_	15
187	ssleepless	14
187	tuckerdoodle	14
187	rarrq	14
187	legal_tax_evader	14
187	binman420	14
187	Deodorante	14
187	vandmanden	14
194	TheTrueClipse	13
194	MrQuanQuan	13
194	Barlycorn	13
194	wwwwinnebagoooo	13
194	SkateboardR6	13
199	Whiterooster001	12
199	FishyBoy3811	12
199	Razzgriz	12
199	LeEricc	12
199	FishisTTV	12
204	CoffeeNoir	11
204	fw3xywashere	11
204	stavgod	11
207	Apollo_993	10
207	Incinere	10
207	Hyp3rion_	10
207	SingedBread	10
207	ayamefag	10
207	Fizznut909	10
207	diggydog67	10
214	Merv__	9
214	_Razaria	9
214	Quotary	9
217	ExtraDumb	8
217	zorin123	8
217	okCrypto	8
217	domagawha	8
217	_k2x	8
217	Strangemonkey71	8
217	tartanboy	8
224	PuustaKauasPdnt	7
224	Charmyboi	7
224	ApophisNova	7
224	wezzzi	7
224	lordpipe	7
224	MyNamaSheff	7
224	Legendosh	7
224	2bolx_	7
232	SailiXX	6
232	ougstur	6
232	fkGrim	6
232	Quaintster	6
232	geekbird	6
237	Moyd_	5
237	catandmoose	5
237	CollinMH06	5
237	zToasty69z	5
237	Kura2218	5
237	gusstationwerker	5
237	Physics_Breaker	5
244	teslawolf38	4
244	RebelAndroid	4
244	Motsaro	4
244	theonlymagikarp	4
244	ClemenPine	4
244	voiding_	4
244	CalebDHawk	4
244	Zoeyfortnite	4
252	Groovy_MoonBird	3
252	dabloons	3
252	livingdaydreams	3
252	Swexti	3
252	JuuustYeet	3
252	picardred	3
252	Karbl	3
252	__tomato	3
252	ProbsNotNova	3
252	Aryamanee	3
252	Powowowow	3
263	Mr_Byzantine	2
263	FazeObama69	2
263	LeDuctTape	2
263	hm947	2
263	wickedword	2
263	SpaceGrenadier	2
263	FirsTimeGamingTV	2
263	Megarboh	2
263	Smashic	2
263	himak1	2
263	Xalithia	2
263	XboxPanda	2
263	SamZombie	2
263	seramalen	2
263	Smussa	2
263	IamCL4SSY	2
263	luseis	2
263	1442	2
263	GravitySaint	2
263	BumbleBeever	2
263	OffWithTheirHead	2
263	WyngGoy	2
263	Eraxa	2
263	non089	2
263	PortlyPete69	2
263	xof_on_microwave	2
263	anbbang	2
290	seanitoo	1
290	SyntheticSurgeon	1
290	Seyaboy	1
290	_Nuf	1
290	lorpus	1
290	John6970	1
290	Corbsman	1
290	TheWildMateo	1
290	ooga47	1
290	bpmm	1
290	Fuhrer_Teemo	1
