rank	username	minecraft:mined/minecraft:ladder
1	HellsSponge	566
2	beeperbeeper5	447
3	joethahobo	400
4	EMC_	362
5	Blackberry1310	349
6	Mr_Byzantine	282
7	Legendosh	281
8	FreakGenius	280
9	pintsizedrogue	203
10	AdmiralSmoke	192
11	Onennon	190
12	thewindmillman	183
13	Bumpy419	177
14	MustaLoordi	167
15	zToasty69z	162
15	AstreaTSS	162
17	xxPipperDipperxx	161
18	noam464	160
19	djancak	158
20	Mahoose	145
21	cedric72	143
22	Kubeusz2010	131
23	Racengan	130
24	Rebytre	128
25	KingFaenor	122
25	El_Jalapeno	122
27	Lukeee33	118
28	TheShyPig	116
29	Kakolbus	115
30	PlasticOtari	114
31	thescout7	113
32	Snowflowe	109
33	Btabtab	108
34	NatalieTW	105
34	Enderxz3	105
36	TechnoNinja64	104
37	Xclax101	103
38	Kubelz	102
39	selectrix	97
40	Ryan_GEMS	90
40	YungMaki	90
42	Soplight	88
43	eviltunix	87
44	burbankbuilder28	84
44	Steelynan	84
46	Manaateee	83
47	SmashingPump	82
47	fluddd	82
49	_stets	80
49	Voxin2K	80
51	RatatJuice	79
52	Hyugo	78
53	fffMike	76
53	Zoeyfortnite	76
55	Warlord324	75
56	layabout100	74
56	SvenskaHugo	74
58	CliffEmAll	73
58	Groundler	73
58	Eraxa	73
61	Franco093	72
62	sp00ky_ghost977	71
63	kalzor	69
63	OfficerAnvil	69
65	q_wq	68
65	Rumpletaezer	68
67	Gryglu583	66
68	Historical_Sand	65
68	MattieHD	65
68	SingedBread	65
71	bitsplease	63
71	HesDemonPants	63
73	Di_infiri	62
74	m_be9	61
75	lordpipe	60
76	PeteO1995	59
77	Lez_	58
78	kekhon	57
78	DermeinUser	57
78	Maenara	57
81	Moofyman	56
81	pixelviolin	56
83	Arceus1975	55
83	Njensen7	55
85	_Buffo	54
86	diamondgolem35	53
86	BodaciousCake	53
86	Paintz	53
86	CaptainDeadBread	53
90	BlankityMcBlank	52
91	Z3braYTIL	51
91	luseis	51
91	WyngGoy	51
91	cichy096	51
95	o0z	50
