rank	username	minecraft:mined/minecraft:yellow_banner
1	SteveCraftBlocks	119
2	Smashic	52
3	TheKingK_	37
4	pintsizedrogue	31
5	beeperbeeper5	15
6	Groovy_MoonBird	14
6	Kowcio_	14
8	Fullut	13
9	WyngGoy	12
10	Historical_Sand	8
10	luseis	8
12	AspenLightVT	6
12	cuddlyMonster	6
12	lunkuku	6
12	Legendosh	6
16	k_ce	5
16	Lez_	5
16	EveryonesUncle	5
16	jnp_gaming	5
16	Yamdalorian	5
21	Kakolbus	4
21	Werbe	4
21	TheShyPig	4
24	Huwulling	3
24	MattieHD	3
24	Arceus1975	3
24	Mattesco	3
24	HellsSponge	3
24	SammiWolfGirl	3
30	CLG_Kata	2
30	PhantomsGhost_	2
30	Merv__	2
30	Gregward_Smith	2
30	_witch_craft_	2
30	whoaluv	2
30	hanaryheatwave	2
30	thewindmillman	2
30	Hyp3rion_	2
30	Snowflowe	2
30	Colmer94	2
41	Mr_Byzantine	1
41	BPTY4618	1
41	Frozil20	1
41	Sleek_Storm_721	1
41	ImpavidArcher	1
41	Mahoose	1
41	nevywop	1
41	titanlax	1
41	Blackberry1310	1
41	Ecplosive	1
41	craaaash	1
41	Hiryu27	1
41	Lord_Jord	1
41	yulgur1	1
41	BinChickenBrine	1
41	Quaintster	1
41	Blaiku	1
41	lordpipe	1
41	Eraxa	1
41	starbits140	1
41	robonya_	1
41	88Hazza88	1
41	Jimb0nat0r	1
