rank	username	minecraft:mined/minecraft:kelp
1	Spacewardharpy7	6879
2	Smoke____	3555
3	Ezekson	2886
4	Fuhrer_Teemo	2418
5	ItsColin11	2303
6	PhantomsGhost_	2028
7	TechnoNinja64	1567
8	500am	1547
9	thewindmillman	1518
10	Arceus1975	1464
11	obzii	1378
12	HellsSponge	1271
13	YungMaki	1228
14	himak1	1142
15	Blu3beast	1091
16	Freak_Genius	1050
17	noam464	997
18	joethahobo	956
19	beeperbeeper5	942
20	Drawgirll	923
21	eviltunix	909
22	DemTechAlpha	902
23	_Dean_123	897
24	12Magner05	890
25	Soplight	843
26	TheShyPig	804
27	Enderslayerxz3	774
28	_Karmaa	773
29	Di_infiri	761
30	thescout7	755
31	pintsizedrogue	730
32	ImpavidArcher	724
33	awesomeoneme	718
34	Lord_Jord	677
35	Skippeh	672
36	EcksD	634
37	EMC_	609
38	Blaiku	564
39	Hyp3rion_	543
40	TheSecondLord	538
40	mwrty	538
42	pixelviolin	496
43	sandmire	491
44	Zoeyfortnite	490
45	Rumpletaezer	480
46	Xalithia	454
47	Blackberry1310	447
48	eitanzaki	417
49	Cocoamallows	393
50	MilleGrug	388
51	Jackattack53	384
52	07shiny	370
53	MightyWertu	367
54	Dedalus36	342
55	PortlyPete69	334
56	fluddd	328
57	Kakolbus	317
58	Bumpy419	293
59	T045RTY	283
59	heckface	283
61	33sudo	279
62	robotemo	272
63	Snowflowe	261
64	Comma__	258
65	Chromary	255
66	Franco093	253
67	gcaisawesome	251
68	Mahoose	250
69	jnp_gaming	248
70	AuroraValkyrie	245
71	SammiWolfGirl	242
72	EveryonesUncle	241
73	bigstankyy	237
74	Spenduh	235
75	Iagoku	233
75	NameGenerat0r	233
77	Barlycorn	225
78	picardred	224
79	Onennon	211
80	Teebone15	206
81	PigDab	203
82	burbankbuilder28	193
83	Maenara	192
84	El_Jalapeno	187
85	GLLogan2	186
86	Legendosh	185
87	SlayerCrypto	180
87	IAmTheWalrus910	180
89	AssFullaCum	176
90	BlankityMcBlank	174
91	KingFaenor	170
92	KingMatthew506	167
93	rarrq	165
94	BumbleBeever	164
95	Njensen7	163
96	lordpipe	160
97	Fullut	157
98	Inbefour	155
99	Russiancat1	151
100	Ssor69	150
100	yaboo88	150
102	ProfessorBee	148
103	Kijiki	146
103	PlasticOtari	146
105	Werbe	144
106	WET_WET_WET	142
107	Powowowow	141
108	Fildyr	140
108	Warlord324	140
110	NomadicRobin_	137
110	Jiminie	137
110	Hermanni__	137
113	chipklip	135
113	djancak	135
115	seramalen	133
116	Hisiste	130
117	RebelAndroid	128
118	Weepingbiel	127
119	kekhon	125
120	Loveablerose12	123
121	ShedJr_	122
122	MeetTheWollo	119
123	Sky_light_KING	116
124	FishyBoy3811	114
125	lizardfightclub	113
126	Cowison	112
126	_TCARREIRA_	112
128	ApophisNova	111
128	Groundler	111
128	WyngGoy	111
128	MyNamaSheff	111
132	RadarHz	109
133	cedric72	107
134	I_Am_Mushkin	106
134	Awyrlas	106
136	alddd	105
136	Ze_BaronKrigler	105
138	Segotep999	104
139	SaucyDark	103
139	Zythose	103
141	ssleepless	101
141	wezzzi	101
143	epiksk8erduck	99
144	BodaciousCake	97
144	Dnulgreb	97
146	Hiryu27	96
147	Typadopoulos	94
148	Optiprimus	92
149	DSYisDizzy	91
150	XboxPanda	90
151	ooga47	89
152	Paintz	85
152	Skylord_Luke	85
152	NebulousBadger	85
155	Historical_Sand	84
155	KartivGal	84
157	mawileite	83
158	Ardennes	82
158	Voxin2K	82
160	ROY4LE	79
160	CrateOfBoxes	79
160	thgrocks	79
163	Kamflame10	78
163	Cambo5000	78
163	spencersolberg	78
166	M_Patata	77
166	MasterNueve	77
168	Swexti	76
169	Notta	75
169	loveseeker	75
169	fred870d	75
169	UrbanPlanner1978	75
173	Mewar	74
173	stuy9	74
175	error10101	72
175	Eraxa	72
177	Marbz_	69
178	xxPipperDipperxx	68
178	Ecplosive	68
178	Parcc	68
181	titanlax	67
181	Zaridey	67
181	Dogcorn69420	67
184	Frozil12	66
184	GravitySaint	66
186	Jalvajar	64
186	Natty	64
186	FirsTimeGamingTV	64
186	Nagasaki_Riku	64
190	IWorkAtIkea	63
190	Nekomin0	63
192	Merv__	62
192	ItsDeltaMC	62
192	smogfrog	62
195	Jovaphobic	61
195	Quincannon	61
195	Kubeusz2010	61
198	__tomato	59
199	Kowcio_	58
200	MattieHD	57
200	The_slideV3	57
202	Luigipunch989	56
202	laron58	56
202	EcksDofficial	56
205	Froste131	55
205	RoboTramp7865	55
205	FishisTTV	55
208	Nicky19	54
208	OfficerAnvil	54
208	Sral7	54
208	diggydog67	54
212	PegLegPete93	53
212	Rocco_Lane	53
214	Drlzyy	52
214	CoffeeNoir	52
214	SpookyDraggin	52
217	KarlKaek	51
217	hm947	51
217	Xclax101	51
220	ZaneABrain	49
220	AnnieBathory	49
220	sxc_	49
223	Paleshield	48
223	ThePoliteG	48
223	IdeallyGrey	48
226	Groovy_MoonBird	47
227	H72l9w	46
227	ebanana	46
229	Racengan	45
230	ExtraDumb	43
230	englandlondon	43
230	ediballbearings	43
233	_Nuf	42
233	set67	42
233	LetsDoItLive	42
233	jcool7	42
237	Jaccob_satorius	40
238	SwooshBoi	39
239	Inchef	38
239	sebastiensaborio	38
241	stahouo	37
241	CalebDHawk	37
241	h2p_emrld	37
244	Frankb	36
244	Euclidoris	36
244	Covalents	36
247	Claw262	35
247	Jackster03	35
247	Clemscalibur	35
247	proxivitoid	35
247	_k2x	35
247	markaus77	35
247	NotMeowMix	35
254	diamondgolem35	34
254	Nicky_H225	34
254	walll	34
254	MyNameIsJobo	34
254	SokaOtaku	34
254	2blox	34
260	6king6colt6	33
260	andy_rex	33
260	Tobias0113	33
260	Nicserso	33
264	Purplehere	32
264	fw3xywashere	32
266	HolyVenom	31
266	Seashimi	31
266	krutas2000	31
266	K_a__a_n	31
266	FlagsAreBad	31
271	teslawolf38	30
271	KomputerDude	30
271	SuperPooch06	30
271	Phoenix_Diacou	30
271	Poppy235	30
276	Incinere	29
276	Batman922	29
276	SomeWanderer	29
276	TheDankPlatypus	29
276	mariominejedi	29
276	PuFY	29
276	fkGrim	29
276	Omar_Alone	29
284	q_wq	28
284	Matek_	28
284	selectrix	28
284	censorsheep	28
284	oxfordschool	28
289	Seyaboy	27
289	ratglock	27
289	Megarboh	27
289	crying_wolf_13	27
289	MangoTheFish	27
289	The11thDoctor	27
289	claivin	27
289	silverpopcorn	27
289	stellarjay	27
298	dudcreeper	26
298	Alendral	26
298	SSytex_X	26
