rank	username	minecraft:mined/minecraft:polished_andesite_stairs
1	PlasticOtari	831
2	500am	431
3	Xclax101	428
4	EveryonesUncle	357
5	beeperbeeper5	305
6	Inchef	303
7	DemTechAlpha	277
8	burbankbuilder28	269
9	Ezekson	237
10	the_fireminer	228
11	Lord_Jord	217
12	himak1	200
13	Cowison	185
14	Maenara	163
15	kekhon	158
15	El_Jalapeno	158
17	rarrq	150
18	Spacewardharpy7	142
19	Ardennes	119
20	m_be9	116
20	VentiHilton	116
22	SquadMonster	114
23	Quotary	111
24	CalebDHawk	109
25	EcksD	98
26	DarkS0L	94
27	Smoke____	87
28	Mahoose	85
29	lcvezra	82
30	Groovy_MoonBird	73
31	TheShyPig	71
32	eviltunix	69
33	Arceus1975	66
34	Sleek_Storm_721	64
34	sp00ky_ghost977	64
36	The_slideV3	63
36	layabout100	63
38	diamondgolem35	55
39	Steelynan	54
40	_Dean_123	53
40	mawileite	53
42	Gooberkid223	52
43	Legendosh	51
44	CharlieButt	50
45	AlphaWolfPlaysMC	49
46	Megarboh	47
46	Onennon	47
46	Fuhrer_Teemo	47
46	pixelviolin	47
50	pintsizedrogue	43
50	Meatlaugh	43
52	Dedalus36	40
52	Jackattack53	40
54	jimintyy	39
55	Kowcio_	37
56	_Karmaa	36
57	MyNameIsJobo	32
57	Frozil12	32
59	Skippeh	29
60	youhjjhhhjj	28
60	joethahobo	28
62	Merv__	27
63	Jamstroxian	26
63	Enderslayerxz3	26
65	Comma__	25
65	proxivitoid	25
67	6king6colt6	24
67	thewindmillman	24
67	seramalen	24
70	ROY4LE	21
70	XboxPanda	21
70	Ajax6	21
73	TheSecondLord	20
73	Warlord324	20
73	TheRealHi	20
76	Otto_chan	19
76	Motsaro	19
76	Deathkob	19
76	07shiny	19
80	Historical_Sand	18
81	titanlax	17
81	YungJakobo	17
81	Eraxa	17
81	Soplight	17
85	yulgur1	16
85	jnp_gaming	16
87	UncreativeArtist	15
87	impossibleteapot	15
89	eitanzaki	14
90	RoskobiOne	13
90	Ailmast	13
90	Tommhh	13
90	AlazelTheReal	13
90	valkam13	13
90	alderban107	13
96	xxPipperDipperxx	12
96	Jiminie	12
96	lordpipe	12
96	Princesse_Louise	12
100	Akoot_	11
100	cog	11
102	SteveCraftBlocks	10
102	NotMeanttoChange	10
102	Kazekage	10
102	ooga47	10
102	Matorz	10
102	MakeHistory157	10
108	platinumzero	9
108	Chaotic1s	9
110	soundad	8
110	teslawolf38	8
110	Cartoonmaniac	8
110	Cryptacity	8
110	MattieHD	8
110	dedgt	8
110	ItsAki_	8
110	Inbefour	8
110	EcksDofficial	8
119	SyK7	7
119	littlesophiagirl	7
119	Lukeee33	7
119	fkndweeb	7
119	MyNameIsDakar	7
119	PortlyPete69	7
125	noam464	6
125	YungMaki	6
125	TechnoNinja64	6
125	_Dri_	6
129	Myszoaz	5
129	TheThomas69	5
129	HellsSponge	5
129	Racengan	5
129	Lowjinx	5
134	LotusProject	4
134	PegLegPete93	4
134	Di_infiri	4
134	NarwhalTaco	4
134	RobotMinion101	4
134	brycepants	4
134	HolyVenom	4
134	Soap_Bender	4
142	Incinere	3
142	awesomeoneme	3
142	Blackberry1310	3
142	Smashic	3
142	Awyrlas	3
142	NoxxxxiS	3
142	SuperPooch06	3
142	PigDab	3
142	LetsDoItLive	3
151	ryan521	2
151	Winklepicker279	2
151	Hyp3rion_	2
151	Snowflowe	2
151	Zythose	2
151	_Boipl_	2
151	Truckoss	2
151	jcool7	2
151	Nicserso	2
151	Zoeyfortnite	2
161	seanitoo	1
161	q_wq	1
161	Houstonion	1
161	featherflyy	1
161	MrExplorer	1
161	egglapras	1
161	NotTrixi	1
161	Tjhodskins19	1
161	Xalithia	1
161	dendydoom	1
161	Felenov	1
161	The11thDoctor	1
161	k1ngGilgamesh	1
161	HyperCave	1
161	XxCookiequeenxX	1
161	NameGenerat0r	1
161	claivin	1
161	MovingFish7	1
161	Airem_Core	1
161	SexcMf	1
161	kyouma777	1
161	Dreamdbr14	1
161	KingMatthew506	1
161	bitsplease	1
