rank	username	minecraft:mined/minecraft:orange_wool
1	beeperbeeper5	7084
2	thewindmillman	1948
3	PazinGaming	1140
4	hermmm_	868
5	luseis	853
6	Yamdalorian	787
7	SpacesickPrism	772
8	TheKingK_	669
9	Ezekson	541
10	mwrty	462
11	FreakGenius	406
12	skitzxo	373
13	500am	293
14	lordpipe	259
15	SkateboardR6	213
16	joethahobo	207
17	Mattesco	197
18	TheSecondLord	196
19	Lez_	186
19	Di_infiri	186
21	Soplight	175
22	eclipseboi	164
23	xxPipperDipperxx	151
24	PeteO1995	146
25	HellsSponge	136
26	lunkuku	125
27	Blackberry1310	110
28	k_ce	103
29	Smashic	94
30	Mr_Byzantine	93
31	YungMaki	89
32	Crowman1	72
33	Enderxz3	67
34	Cowison	65
35	IvarEXE	62
36	_Huge_Male_	60
37	Typadopoulos	58
38	pintsizedrogue	57
39	Mahoose	54
39	PigDab	54
41	pixelviolin	53
41	Legendosh	53
43	Alteriity	50
44	Jimb0nat0r	44
45	T045RTY	42
45	ProbsNotNova	42
47	Fullut	38
48	burbankbuilder28	36
49	Quaintster	34
50	Snowflowe	33
51	NameGenerat0r	32
52	Quotary	31
52	h2p_emrld	31
54	TechnoNinja64	30
55	Huwulling	28
56	El_Jalapeno	27
57	AlexxO_o	25
58	Cruncy_	22
59	EMC_	21
59	TheShyPig	21
61	Wooptey	20
61	Onennon	20
61	jnp_gaming	20
64	Hyp3rion_	18
65	r123moore	17
65	noam464	17
67	Rumpletaezer	16
67	hanaryheatwave	16
69	eitanzaki	15
70	oscminus	14
71	Werbe	13
71	claivin	13
71	Njensen7	13
74	6king6colt6	12
74	RebelAndroid	12
74	LeauVox4921	12
74	NomadicRobin_	12
74	EveryonesUncle	12
79	teslawolf38	11
79	ShedJr_	11
79	Xclax101	11
79	PortlyPete69	11
83	Merv__	10
83	theonlymagikarp	10
83	Hoid_the_Roamer	10
83	ApophisNova	10
83	MyNamaSheff	10
88	jspwn	9
88	Reneedium	9
88	Akoot_	9
91	SteveCraftBlocks	8
91	Lord_Jord	8
91	Blaiku	8
94	Frozil20	7
94	yheece	7
94	ConnorDanky_	7
97	CLG_Kata	6
98	Tommhh	5
98	PlzNoBM	5
98	CattSoup	5
101	diamondgolem35	4
101	Jackattack53	4
101	Manaateee	4
101	MakeHistory157	4
101	ZoomieZoomie	4
101	EcksD	4
101	Zoeyfortnite	4
108	ImpavidArcher	3
108	CoffeeNoir	3
108	Stynxy	3
108	fragrantmonke444	3
108	Groundler	3
108	WyngGoy	3
108	PA_Tech_Gaming	3
115	SmashingPump	2
115	Kamflame	2
115	Zaridey	2
115	Kakolbus	2
115	blackeemperor	2
115	Seashimi	2
115	StarCookiees_	2
115	Kowcio_	2
115	SammiWolfGirl	2
124	MixerDixer	1
124	dabloons	1
124	SaucyDark	1
124	titanlax	1
124	kekhon	1
124	shadowthemonkey	1
124	Zythose	1
124	Skylord_Luke	1
124	Fuad_R	1
124	Blu3beast	1
124	Spacewardharpy7	1
124	miramyu	1
124	KingMatthew506	1
124	annebolyn	1
124	The_SlideV5	1
