rank	username	minecraft:mined/minecraft:light_gray_carpet
1	joethahobo	3161
2	noam464	740
3	Swexti	572
3	Quotary	572
5	Mahoose	285
6	FreakGenius	260
7	kekhon	235
8	non089	180
9	Sral7	131
10	Historical_Sand	122
11	Groovy_MoonBird	120
12	Merv__	118
12	YungMaki	118
14	Huwulling	113
15	SkateboardR6	108
16	Akoot_	100
17	pintsizedrogue	89
18	Groundler	86
19	titanlax	82
20	500am	81
21	EcksD	79
22	EveryonesUncle	77
23	cedric72	72
24	Onennon	70
25	Blackberry1310	67
26	ConnorDanky_	65
27	luseis	56
28	HellsSponge	55
29	TheShyPig	50
30	CattSoup	47
31	m_be9	46
32	SpaceGrenadier	45
33	Quaintster	44
34	Snowflowe	43
34	MovingFish7	43
36	Smoke____	42
37	Eraxa	41
38	IamCL4SSY	38
38	Blu3beast	38
38	Legendosh	38
41	thescout7	37
42	alderban107	34
43	Blaiku	33
44	Enderxz3	32
45	RoskobiOne	31
45	ApophisNova	31
45	MyNamaSheff	31
48	r123moore	28
49	Scathra	27
50	beeperbeeper5	26
51	RoofTyler	25
52	Spacewardharpy7	24
53	Lord_Jord	23
53	mihimihimihi	23
55	MattieHD	22
55	Rumpletaezer	22
57	rarrq	21
58	lcvezra	19
59	eitanzaki	18
59	Cortexia	18
61	MinuteMira	16
62	mwrty	15
62	Mattesco	15
64	xzvu	14
65	Kyrum2169	13
66	Di_infiri	12
66	Tyrannosplart	12
68	ItsColin11	11
68	6king6colt6	11
68	Arceus1975	11
68	El_Jalapeno	11
68	jcool7	11
73	FazeObama69	10
73	Hoid_the_Roamer	10
73	epiksk8erduck	10
73	NameGenerat0r	10
77	Mr_Byzantine	9
77	Cowison	9
77	ewpunk	9
80	RebelAndroid	8
80	bloodbiter	8
80	FishyBoy3811	8
80	Kowcio_	8
80	Eczbek	8
80	ZoomieZoomie	8
86	Bandito_Roamer	7
86	Crowman1	7
86	TheSecondLord	7
86	Jokerman369	7
86	binman420	7
86	Nycteus_	7
86	RealGroot	7
86	PlasticOtari	7
94	chipklip	6
94	Harotio	6
94	SmashingPump	6
94	Frozil20	6
94	KomputerDude	6
94	Da_Boss_Rani	6
94	thewindmillman	6
94	Deathkob	6
94	Warlord324	6
94	lordpipe	6
94	Njensen7	6
94	Ezekson	6
94	xolstoi	6
107	Xalithia	5
107	M_Patata	5
107	AnnieBathory	5
107	fluddd	5
107	MasterNueve	5
107	Optiprimus	5
107	gusstationwerker	5
107	vandmanden	5
107	00000000-0000-0000-0009-01ff0c3e5e4f	5
116	squigglybones	4
116	ITDV	4
116	MrKrabOnCoke	4
116	IWorkAtIkea	4
116	SteveCraftBlocks	4
116	Masssonnn	4
116	gcaisawesome	4
116	Marbz_	4
116	Doom_melon	4
116	Werbe	4
116	ougstur	4
116	claivin	4
116	Steelynan	4
116	athereall	4
116	TechnoNinja64	4
131	blissnya	3
131	_stets	3
131	AuroraValkyrie	3
131	KarlKaek	3
131	T045RTY	3
131	Alteriity	3
131	Swalt	3
131	Sleepy_Time_	3
131	ratglock	3
131	Ardennes	3
131	Tmb1	3
131	Kamflame10	3
131	set67	3
131	Kreany	3
131	TheDankPlatypus	3
131	nitram49b	3
131	Chromary	3
131	Kim_Jong_eel	3
131	Jimi7hits	3
131	wezzzi	3
131	EfficientC52	3
131	__tomato	3
131	ediballbearings	3
131	Hermanni__	3
131	coobert42	3
131	diggydog67	3
157	fanofbands101	2
157	diamondgolem35	2
157	_themselves	2
157	heckface	2
157	pr33tu	2
157	NotKaden_	2
157	Rebytre	2
157	jewbacaman	2
157	MonitorLizards	2
157	Maenara	2
157	ogoa	2
157	Meatlaugh	2
157	weabis	2
157	SwooshBoi	2
157	Racengan	2
157	Kura2218	2
157	2bolx_	2
174	gary_	1
174	k_ce	1
174	dabloons	1
174	teslawolf38	1
174	Sleek_Storm_721	1
174	TooManyDuck	1
174	Croqu_	1
174	Jahara	1
174	Natty	1
174	ZaneABrain	1
174	Jackster03	1
174	Ssor69	1
174	FirsTimeGamingTV	1
174	MinttyFressh	1
174	Megarboh	1
174	Secret_Canary	1
174	Kkanot	1
174	Zopir	1
174	olliebollie48	1
174	XboxPanda	1
174	Arsinic7	1
174	Winklepicker279	1
174	Zythose	1
174	RyuNeko932000	1
174	LilyNova	1
174	Donutt	1
174	The11thDoctor	1
174	k1ngGilgamesh	1
174	RobotMinion101	1
174	PigDab	1
174	bearlystraight	1
174	Wowful	1
174	NoChumpChange	1
174	WarpRanger	1
174	The_slideV3	1
174	Xclax101	1
174	LazySupport00	1
174	Hisiste	1
174	WyngGoy	1
174	Cocoamallows	1
174	BlueWyvern16	1
174	FadedSpade82	1
174	UCP_TheKingK	1
174	EtherealEspresso	1
174	LeEricc	1
174	SammiWolfGirl	1
174	Drawgirl	1
174	CalebDHawk	1
174	fffMike	1
174	Winston_Ingram	1
174	OfficerAnvil	1
174	Iamthejo	1
