rank	username	minecraft:mined/minecraft:tnt
1	EcksD	1802
2	noam464	1216
3	eitanzaki	1173
4	Di_infiri	768
5	joethahobo	645
6	thewindmillman	629
7	lordpipe	627
8	HellsSponge	470
9	YungMaki	449
10	Enderslayerxz3	316
11	Werbe	300
11	AssEatrAndLicker	300
13	jcool7	293
14	Winklepicker279	277
15	Spenduh	275
16	beeperbeeper5	232
17	PigDab	224
18	chipklip	222
19	Freak_Genius	220
20	TheSecondLord	215
21	PlzNoBM	203
22	bigstankyy	198
23	Drlzyy	189
24	Blu3beast	188
25	Spacewardharpy7	186
26	claivin	184
27	SingedBread	164
28	Blaiku	159
29	ApophisNova	157
29	MyNamaSheff	157
31	Ezekson	153
31	Smoke____	153
33	kekhon	152
34	Strangemonkey71	150
35	Hyp3rion_	143
36	Akoot_	140
37	TechnoNinja64	130
38	jnp_gaming	129
39	Dedalus36	128
40	Bumpy419	123
41	Chromary	116
42	fffMike	115
43	mwrty	114
44	KG1999	106
45	HolyVenom	104
46	AlphaWolfPlaysMC	103
47	SuperPooch06	99
48	__tomato	92
49	ZeroKraken	90
50	egglapras	85
51	elicobnoah	83
52	Zaridey	82
53	SyK7	80
53	PortlyPete69	80
55	Groovy_MoonBird	78
55	censorsheep	78
57	kinas45y5	77
58	T045RTY	74
59	error10101	72
60	pintsizedrogue	71
60	FreddyFart	71
60	Eraxa	71
63	JEWISHBadenBeele	66
63	DarlaMeow	66
65	vandmanden	64
66	gabriels543	63
66	TheShyPig	63
68	sebastiensaborio	62
69	12Magner05	61
70	Blackberry1310	60
71	NoChumpChange	59
71	_Karmaa	59
73	Jackattack53	58
74	_Virify_	57
75	set67	56
75	fr_ser	56
75	Zythose	56
78	wezzzi	55
79	BlancoFlaco	54
79	Kim_Jong_eel	54
79	Skippeh	54
82	_NieToksikpl_	52
82	Historical_Sand	52
84	mariominejedi	50
85	InfernalMound	48
85	Racengan	48
85	HesDemonPants	48
88	WET_WET_WET	47
88	MakeHistory157	47
90	Nycteus_	46
90	sp00ky_ghost977	46
92	PhantomsGhost_	45
92	500am	45
94	Merv__	44
94	EveryonesUncle	44
94	SkateboardR6	44
97	r123moore	42
97	Frozil12	42
99	MSK__	40
100	rarrq	39
100	DeGodz4life	39
100	djancak	39
100	obzii	39
104	gcaisawesome	37
104	Dusk_95	37
106	EcksDofficial	36
107	MattieHD	35
107	natajimi	35
109	fluddd	34
110	Ibrahim00	33
110	Xclax101	33
110	diggydog67	33
113	EMC_	32
113	KarlKaek	32
113	lcvezra	32
116	Mahoose	30
116	fkGrim	30
116	2blox	30
119	Rumpletaezer	29
119	selectrix	29
119	Kowcio_	29
119	MilleGrug	29
123	Xalithia	28
123	Kakolbus	28
123	Kubeusz2010	28
123	Legendosh	28
127	Thaumatarge	27
127	Natofthese	27
127	H72l9w	27
127	301851	27
127	Kouridragon	27
127	lillips	27
127	_TCARREIRA_	27
127	KingMatthew506	27
135	pr33tu	26
135	KnightmareD	26
137	ImpavidArcher	25
137	ItzWqlfy	25
139	thescout7	24
139	Onennon	24
139	fred870d	24
139	Nagasaki_Riku	24
143	bloodbiter	23
144	SammiWolfGirl	21
144	cichy096	21
146	jushykins	20
146	Soplight	20
148	ROY4LE	19
148	CollinMH06	19
148	whoaluv	19
148	pixelviolin	19
148	Luigipunch989	19
153	Bandito_Roamer	18
153	ExtraDumb	18
153	Valoth	18
153	SDMNAEK	18
153	G1ldor	18
153	Tmb1	18
153	Z3braYTIL	18
153	_naturell	18
153	CarryLine	18
153	lizardfightclub	18
153	DTwenty	18
153	Deathkob	18
153	Hisiste	18
153	AssFullaCum	18
153	ediballbearings	18
153	GlitchyPlate810	18
153	DennyKai	18
153	SpaceTurtleOX	18
171	hm947	17
171	SteveCraftBlocks	17
171	Fullut	17
171	benediktine1	17
171	pappaberg	17
176	nataliecool	15
176	Arceus1975	15
176	_3Stump_	15
176	Nicserso	15
176	MeetTheWollo	15
181	TooManyDuck	14
181	IdeallyGrey	14
181	Dogcorn69420	14
184	SaucyDark	13
184	Flores991	13
184	MinttyFressh	13
184	ProfessorBee	13
184	noodlepack	13
184	Joestra	13
190	Inchef	12
190	mimbo1211	12
190	OtariCharlie	12
190	NomadicRobin_	12
190	gustarbite	12
190	NameGenerat0r	12
190	07shiny	12
190	Kyrum2169	12
190	AltnumberF4	12
190	Sral7	12
190	h2p_emrld	12
201	diamondgolem35	11
201	Myszoaz	11
201	Ardennes	11
201	Nicky19	11
201	_Bguette_	11
201	starbits140	11
201	Kateesaur	11
208	angwla	10
208	strongman951753	10
208	soundad	10
208	teslawolf38	10
208	lotarp	10
208	Bowba123	10
208	FirsTimeGamingTV	10
208	Awyrlas	10
208	Mewar	10
208	Hiryu27	10
208	TheSeismicDuck	10
208	MovingFish7	10
208	IvarEXE	10
208	TheOuterCore	10
222	SugarMyNuggets	9
222	Jovaphobic	9
222	fanofbands101	9
222	Lotheburgh	9
222	Ailmast	9
222	Wolf_Mauler_73	9
222	youhjjhhhjj	9
222	IWorkAtIkea	9
222	nocturne78	9
222	uhm__okay	9
222	Rorrofighter	9
222	Stynxy	9
222	dopplexd	9
222	Cryptacity	9
222	Comma__	9
222	m_be9	9
222	lordsaladito	9
222	CrookedKaptain	9
222	PegLegPete93	9
222	eviltunix	9
222	TheDankPlatypus	9
222	AJplaysMC_	9
222	_8man	9
222	andy_rex	9
222	Donutt	9
222	TTNG	9
222	MousePlays	9
222	SullivanNephew	9
222	aec9	9
222	sammidk	9
222	ADEXTV	9
222	Serenqeti	9
222	_Crimson_Legate	9
222	XxCookiequeenxX	9
222	majlin16	9
222	DanTheBuilderino	9
222	EfficientC52	9
222	deerm	9
222	NotMeowMix	9
222	Factoroni	9
222	ayamefag	9
222	stellarjay	9
222	alderban107	9
222	oxfordschool	9
222	Quotary	9
222	Weepingbiel	9
222	Lowjinx	9
222	Serval2000	9
270	LilyNova	8
270	__Auspicious	8
270	stahouo	8
270	Xi_J1nping	8
274	ooga47	7
274	LexMakesHistory	7
274	ebanana	7
274	El_Jalapeno	7
274	Powowowow	7
279	Mowelan	6
279	Hpdinosaur	6
279	Euclidoris	6
279	Chickenchaser2	6
279	Leonidas2k17	6
279	Meatlaugh	6
279	Quaintster	6
279	MightyWertu	6
279	Wanjibon	6
288	emrekn	5
288	LAVA129	5
288	k1ngGilgamesh	5
288	sxc_	5
288	ILoveCarrot	5
288	monky_irl	5
288	WyngGoy	5
288	CalebDHawk	5
288	Dreamdbr14	5
288	Mr_Teddiursa_K	5
288	Sorins	5
288	PA_Tech_Gaming	5
300	dabloons	4
