rank	username	minecraft:mined/minecraft:cyan_stained_glass_pane
1	Awyrlas	601
2	Ezekson	384
3	Fullut	133
4	beeperbeeper5	121
5	joethahobo	106
6	pintsizedrogue	65
7	Smoke____	60
8	ImpavidArcher	58
9	Frozil12	56
10	Eraxa	46
11	NameGenerat0r	35
12	abramgray	30
12	Steelynan	30
14	Mahoose	26
15	r123moore	23
16	Diavri	22
17	SkateboardR6	18
18	heckface	15
18	Blackberry1310	15
20	Marbz_	10
20	TheShyPig	10
22	Sky_light_KING	9
23	2Stout	8
23	PlasticOtari	8
25	Blaiku	7
26	Dusk_95	6
27	Chrisdeadeye	5
27	jnp_gaming	5
29	Crafter45	4
29	500am	4
29	noam464	4
29	burbankbuilder28	4
29	lordpipe	4
34	RobotMinion101	3
34	El_Jalapeno	3
36	SlayerCrypto	2
36	Spacewardharpy7	2
36	Godspirit249	2
36	YungMaki	2
36	CalebDHawk	2
41	ShedJr_	1
41	Di_infiri	1
41	Zythose	1
41	Akoot_	1
41	The_slideV3	1
41	Legendosh	1
