rank	username	minecraft:mined/minecraft:acacia_sign
1	beeperbeeper5	174
2	Smoke____	56
3	Mahoose	20
4	ProfessorBee	19
5	ImpavidArcher	15
6	Kynigito	13
6	jcool7	13
8	Hoid_the_Roamer	12
9	Soplight	11
10	TheShyPig	10
11	Powowowow	9
12	eitanzaki	8
12	thescout7	8
12	eviltunix	8
12	Werbe	8
12	h2p_emrld	8
17	Di_infiri	7
17	Hyp3rion_	7
17	Steelynan	7
17	xolstoi	7
21	PhantomsGhost_	6
21	Merv__	6
21	Euclidoris	6
21	Flapjacker687	6
21	ROY4LE	6
21	Blu3beast	6
21	Blaiku	6
21	Dreamdbr14	6
29	Frozil20	5
29	Batman922	5
29	TheSecondLord	5
29	Karetoko	5
29	Meatlaugh	5
29	xzvu	5
29	xX_Stalin69_Xx	5
29	KingMatthew506	5
29	smogfrog	5
38	KarlKaek	4
38	ThiccExotic	4
38	ShedJr_	4
38	joethahobo	4
38	hzs91	4
38	dopplexd	4
38	12Magner05	4
38	2Stout	4
38	r123moore	4
38	Kakolbus	4
38	KlausVonStiglitz	4
38	DarlaMeow	4
38	Eraxa	4
38	YungMaki	4
52	baxteerr	3
52	T045RTY	3
52	Blackberry1310	3
52	kekhon	3
52	Fullut	3
52	Awyrlas	3
52	ChillenChiggen	3
52	Jackattack53	3
52	Arceus1975	3
52	Hiryu27	3
52	jewbacaman	3
52	Njensen7	3
52	ConnorDanky_	3
65	CadenSteele	2
65	6king6colt6	2
65	youhjjhhhjj	2
65	CEOofSHINS	2
65	_Dean_123	2
65	noam464	2
65	AnnieBathory	2
65	Bumpy419	2
65	ApophisNova	2
65	Onennon	2
65	wrinkledpiglet	2
65	Akoot_	2
65	audiocracked	2
65	Gryglu583	2
65	FreakGenius	2
65	560cool	2
65	lordpipe	2
65	Soul_Atreus	2
65	SammiWolfGirl	2
65	tartanboy	2
65	EcksD	2
65	MyNamaSheff	2
65	jnp_gaming	2
88	Groovy_MoonBird	1
88	Mocha_Mug	1
88	xXTheWolfmanXx	1
88	SaucyDark	1
88	RebelAndroid	1
88	Franco093	1
88	CoffeeNoir	1
88	Rox_The_Box	1
88	Malorn_Aetherius	1
88	jushykins	1
88	pr33tu	1
88	Smashic	1
88	Masssonnn	1
88	mariominejedi	1
88	legal_tax_evader	1
88	fr_ser	1
88	Skylord_Luke	1
88	Maenara	1
88	Nicky19	1
88	Lord_Jord	1
88	LexMakesHistory	1
88	Tyrannosplart	1
88	The_slideV3	1
88	NameGenerat0r	1
88	Quaintster	1
88	Racengan	1
88	IAmTheWalrus910	1
88	sp00ky_ghost977	1
88	underscore_2	1
88	starbits140	1
88	gusstationwerker	1
88	PlzNoBM	1
88	ZeroKraken	1
88	Kubeusz2010	1
88	erkada	1
88	FelixPSY375	1
88	Legendosh	1
88	TechnoNinja64	1
88	PlasticOtari	1
88	Sral7	1
88	camando92	1
