rank	username	minecraft:mined/minecraft:sweet_berry_bush
1	luseis	3021
2	Legendosh	941
3	Mr_Byzantine	936
4	KingMatthew506	660
5	bloodbiter	636
6	jnp_gaming	621
7	FreakGenius	599
8	ShedJr_	527
9	Lez_	494
10	not_a_duck_23	491
11	The_slideV3	486
12	Sqwishy	440
13	thgrocks	389
14	pintsizedrogue	349
15	Merv__	346
16	kekhon	337
17	weabis	327
18	UncreativeArtist	297
19	Enderxz3	271
20	TheShyPig	258
21	lordpipe	242
22	Smoke____	223
23	Akoot_	220
24	MovingFish7	213
25	Ezekson	184
26	jcool7	175
27	UrbanPlanningEx	166
28	PlasticOtari	165
29	Killercatty78	156
29	Mahoose	156
31	SammiWolfGirl	155
32	beeperbeeper5	152
33	500am	150
34	Hiryu27	148
35	KGTV	146
36	Fullut	141
37	Spacewardharpy7	140
38	Blackberry1310	137
39	_Boipl_	134
40	_Dean_123	132
41	NomadicRobin_	131
42	crying_wolf_13	130
43	EcksD	127
44	_Bguette_	124
45	xxPipperDipperxx	120
46	HellsSponge	119
47	Optiprimus	114
48	Luigipunch989	112
49	burbankbuilder28	111
50	EveryonesUncle	107
51	MyNameIsDakar	106
51	Burge_r	106
53	jushykins	104
53	SuperPooch06	104
55	ratglock	102
56	BlancoFlaco	99
57	SaintJosie	97
58	corvidpartyfor6	96
59	TechnoNinja64	94
60	Hyp3rion_	91
60	Quincannon	91
62	joethahobo	90
63	set67	87
63	Kubeusz2010	87
65	Di_infiri	86
66	thewindmillman	84
67	eitanzaki	83
68	Rebytre	78
68	iElijah	78
70	Soplight	75
71	diggydog67	72
72	drunkeeez	70
73	Arceus1975	69
74	ChampPog_	66
75	sandmire	64
75	NoChumpChange	64
77	ooga47	63
77	Eraxa	63
79	rarrq	61
79	The11thDoctor	61
81	H72l9w	60
81	Studyhallsaver	60
81	halfwayup	60
84	cheerytomato	58
84	Corran_Dahgus	58
84	hdtpm	58
87	legal_tax_evader	56
88	ImpavidArcher	55
88	Blamphe	55
88	Joestra	55
88	lillips	55
92	Bandito_Roamer	54
92	thescout7	54
94	Wotters7	53
94	Cocoamallows	53
94	SvenskaHugo	53
97	T045RTY	52
97	claivin	52
99	SteveCraftBlocks	50
99	Maenara	50
99	MightyWertu	50
102	6king6colt6	49
102	YungMaki	49
104	TheWildMateo	47
105	Malorn_Aetherius	45
105	00000000-0000-0000-0009-01ff0c3e5e4f	45
107	MonitorLizards	44
108	PigDab	43
109	SyntheticSurgeon	42
109	Kubelz	42
109	Vetral1	42
109	ori0le	42
109	balin55	42
114	EMC_	41
114	BRRRN179	41
114	Earlesstrain4	41
117	Historical_Sand	40
117	Chromary	40
117	Onennon	40
117	wezzzi	40
117	RoofTyler	40
122	fr_ser	39
122	CalebDHawk	39
124	eiC_	38
124	M_Patata	38
126	Louiis123	37
126	Frozil20	37
126	m_be9	37
126	ApophisNova	37
126	lolpoottoot	37
126	MasterNueve	37
126	MyNamaSheff	37
133	_stets	36
133	Sloths_Ender	36
133	Felenov	36
133	rotten_mango	36
133	BuildTheGondola	36
133	07shiny	36
139	TheSecondLord	35
139	420BreadLizard	35
139	fkGrim	35
142	MattieHD	34
142	Klerick	34
142	DarlaMeow	34
142	bladeefan2009	34
146	PhantomsGhost_	33
146	TooManyDuck	33
146	Blu3beast	33
146	plato2066	33
150	TheDiamondCG	32
150	ROY4LE	32
150	Paintz	32
150	nut_e	32
150	anbbang	32
155	Jakobo1337	31
155	CharlieButt	31
155	Zythose	31
155	gusstationwerker	31
159	livingdaydreams	30
159	dimitri0s	30
159	whoaluv	30
162	ItsColin11	29
162	Hpdinosaur	29
162	MoistEggo	29
162	ProfessorBee	29
162	binman420	29
162	QueenShuvi	29
168	w3nd3lbo3	28
168	aldplaysmc	28
168	fluddd	28
168	LordAurum	28
172	NatalieTW	27
172	Flrffy	27
172	NotMeowMix	27
172	MakeHistory157	27
176	masskedman	26
176	mediumBev	26
178	LeauVox4921	25
178	Marbz_	25
178	valiSW	25
178	robotemo	25
178	SSytex_X	25
178	VentiHilton	25
184	AuroraSkies	24
184	Groundler	24
184	Kowcio_	24
184	Juh1s	24
184	lcvezra	24
184	Moetis	24
190	Prismyst	23
190	TheMaster972	23
190	breadbowlgamer	23
190	ItsMrRamen	23
190	thebaddruid	23
190	Morphowolf	23
190	xolstoi	23
197	soundad	22
197	Jeteight	22
197	Bumpy419	22
197	IAmTheWalrus910	22
197	_JrTurtle_	22
197	Pundehoo	22
197	c0la_c0ca	22
197	PortlyPete69	22
197	Sheldor097	22
197	trexgb	22
207	PazinGaming	21
207	Sparky_KT	21
207	Smashic	21
207	olliebollie48	21
207	Warlord324	21
212	H0UNDFRMH3LL	20
212	KarlKaek	20
212	Inchef	20
212	ImDisconnected_	20
212	MyNameIsJobo	20
212	NameGenerat0r	20
212	StinkyDiplomat	20
212	Kura2218	20
212	RealGroot	20
221	AuroraValkyrie	19
221	Cryptacity	19
221	wiqor	19
221	Z3braYTIL	19
221	Skylord_Luke	19
221	GigaSl	19
221	wwwwinnebagoooo	19
221	WyngGoy	19
221	Steelynan	19
221	cichy096	19
231	FazeObama69	18
231	zobeytheoctopus	18
231	ccwildfire1	18
231	titanlax	18
231	Jokerman369	18
231	d91k	18
231	Touched_Bread	18
231	Moofyman	18
231	J4ko8_	18
