rank	username	minecraft:mined/minecraft:black_wool
1	thewindmillman	19250
2	pintsizedrogue	7201
3	Sral7	1752
4	ConnorDanky_	1604
5	kekhon	1431
6	Snowflowe	1052
7	HellsSponge	933
8	TheShyPig	759
9	xxPipperDipperxx	749
10	beeperbeeper5	680
11	Hyp3rion_	636
12	weabis	614
13	Ezekson	544
14	PlzNoBM	517
15	The_slideV3	467
16	TheSecondLord	438
17	MattieHD	429
18	FreakGenius	427
19	PazinGaming	394
20	YungMaki	362
21	joethahobo	334
22	AdmiralSmoke	330
23	Spacewardharpy7	309
24	Nycteus_	288
25	Eraxa	277
26	NameGenerat0r	275
27	Hermanni__	243
28	Werbe	210
29	AlexxO_o	208
30	Smashic	204
31	Blu3beast	199
32	Fullut	187
33	jnp_gaming	182
34	Alteriity	178
35	Lez_	173
36	SammiWolfGirl	172
36	Winston_Ingram	172
38	Ssor69	164
39	Xclax101	158
40	oscminus	157
41	claivin	155
42	rarrq	152
43	PlasticOtari	144
44	_Karmaa	142
45	Blackberry1310	132
46	500am	129
47	luseis	123
48	DarlaMeow	120
49	ShedJr_	118
50	fluddd	117
51	fffMike	110
52	Skylord_Luke	107
52	TechnoNinja64	107
54	Groundler	105
55	Rumpletaezer	101
56	seanitoo	97
57	Quaintster	94
58	k_ce	92
59	Minimize501	86
60	Motsaro	84
60	Mattesco	84
62	ImpavidArcher	81
63	heckface	79
63	PigDab	79
65	PortlyPete69	77
66	UrbanPlanningEx	72
67	eitanzaki	70
68	__tomato	64
69	bigstankyy	63
70	jcool7	61
71	mariominejedi	60
72	H72l9w	58
73	lordpipe	56
74	Steelynan	55
75	theonlymagikarp	52
76	Apollo_993	51
77	Mahoose	48
78	Btabtab	45
79	The_Cruncy	43
80	Wowful	41
81	SaucyDark	40
81	CuzIm2Kev	40
81	Blaiku	40
81	Racengan	40
81	Soplight	40
86	Lord_Jord	38
86	DolphinLaugh	38
88	eiC_	37
88	MAns_44	37
88	KingMatthew506	37
91	Archsam	35
91	Syropatathe	35
93	6king6colt6	34
93	handsome_strong	34
95	TheWildMateo	29
96	Bumpy419	28
97	noam464	27
97	shrimp_flips	27
99	SvenskaHugo	26
99	Jimb0nat0r	26
101	Kowcio_	25
102	Enderxz3	24
103	Di_infiri	23
104	ECstardust	22
104	CattSoup	22
104	Legendosh	22
104	skrongus	22
108	Huwulling	21
108	ZigzagLily43042	21
108	Jackattack53	21
111	burbankbuilder28	20
111	xolstoi	20
113	Marbz_	19
114	titanlax	18
114	MineMaster0012	18
116	Spenduh	17
117	RebelAndroid	16
117	thescout7	16
117	Onennon	16
120	EcksD	14
121	Smuggly_McWeed	13
121	ApophisNova	13
121	StinkyDiplomat	13
121	WyngGoy	13
121	MyNamaSheff	13
126	Merv__	12
126	Frozil20	12
126	AnnieBathory	12
126	_Mythic____	12
130	Tjhodskins19	11
130	Manaateee	11
130	lcvezra	11
133	I_Am_Mushkin	10
133	Winklepicker279	10
133	_Boipl_	10
136	Groovy_MoonBird	9
136	12Magner05	9
136	set67	9
139	drunkeeez	8
139	legal_tax_evader	8
139	Shogunite	8
139	SpacesickPrism	8
143	Akoot_	7
143	LeonelSalamanca	7
145	Foof13	6
145	r123moore	6
145	Zaridey	6
145	kars0n	6
145	The11thDoctor	6
145	Moofyman	6
151	MixerDixer	5
151	olliebollie48	5
151	Tyrannosplart	5
151	El_Jalapeno	5
151	JoCoLi	5
151	CalebDHawk	5
151	vandmanden	5
158	Mr_Byzantine	4
158	ITDV	4
158	Cryptacity	4
158	Kakolbus	4
158	Arceus1975	4
158	EveryonesUncle	4
158	Fuad_R	4
158	Dooinfe	4
158	geekbird	4
158	_Tannu_Tuva_	4
168	Tommhh	3
168	M_Patata	3
168	fxiryglitch	3
168	HolyVenom	3
168	ogoa	3
168	SpouHn	3
168	DrGrant	3
168	ewpunk	3
168	Hisiste	3
168	MasterNueve	3
168	Segotep999	3
168	MilleGrug	3
168	Skippeh	3
181	dabloons	2
181	T045RTY	2
181	Vizzoid	2
181	jushykins	2
181	bloodbiter	2
181	o0z	2
181	excelsionprime	2
181	mwrty	2
181	SuperPooch06	2
181	QueenCamilla	2
181	UMosDiesIrae	2
181	RobotMinion101	2
181	Kynigito	2
181	LordAurum	2
181	Lunkuku	2
181	ItsDeltaMC	2
181	KujikawaRisechi	2
181	_i_ERROR_i_	2
181	Eczbek	2
181	Quotary	2
181	calamariclam_I	2
202	Boliipop	1
202	1ochi	1
202	Skyler_Diablo	1
202	q_wq	1
202	Houstonion	1
202	Creativebuilder2	1
202	youhjjhhhjj	1
202	MoistMicrowave	1
202	Sebaschan__	1
202	Valoth	1
202	Crowman1	1
202	MinttyFressh	1
202	ProfessorBee	1
202	SteveCraftBlocks	1
202	Groyperbuscus	1
202	lorpus	1
202	Awyrlas	1
202	Inchef	1
202	SpicyMeatballs	1
202	fr_ser	1
202	nitram49b	1
202	AJplaysMC_	1
202	WET_WET_WET	1
202	Armattillo	1
202	Eczbox	1
202	Krowuss	1
202	HAIRYCLOUD626	1
202	F_Uhre	1
202	Zoniak1	1
202	Kryktal	1
202	Maenara	1
202	IamCL4SSY	1
202	NomadicRobin_	1
202	fkGrim	1
202	LexMakesHistory	1
202	Renchi19	1
202	KermitTheKripple	1
202	Vorlice	1
202	Cocoamallows	1
202	ayamefag	1
202	pixelviolin	1
202	Kyrum2169	1
202	xzvu	1
202	ZoomieZoomie	1
202	blimpeey	1
