rank	username	minecraft:mined/minecraft:bamboo_sapling
1	Invisie	121
2	Hyp3rion_	83
3	cedric72	64
4	Werbe	60
5	PhantomsGhost_	57
6	EveryonesUncle	50
7	fkGrim	44
8	Thaumatarge	43
9	LexMakesHistory	42
10	Smoke____	39
11	eitanzaki	35
11	MrExplorer	35
13	Di_infiri	34
14	UncreativeArtist	31
15	ImpavidArcher	30
16	Ezekson	23
17	kekhon	21
18	bloodbiter	20
19	Blackberry1310	19
19	Lord_Jord	19
21	pintsizedrogue	18
21	fallingemma	18
21	NebulousBadger	18
21	Legendosh	18
25	valiSW	17
25	epiksk8erduck	17
27	Mahoose	16
27	HellsSponge	16
27	Freak_Genius	16
27	Racengan	16
31	Arceus1975	15
31	Hiryu27	15
31	Moetis	15
31	Steelynan	15
35	Prodiginus	14
35	chipklip	14
35	_Karmaa	14
38	mwrty	13
39	Bandito_Roamer	12
39	dabloons	12
39	Historical_Sand	12
39	CaptainAvenger7	12
39	WyngGoy	12
44	Azorathum	11
44	dopplexd	11
44	Malorn_Aetherius	11
44	thescout7	11
44	Shiirazuku	11
49	peachfuzz1267	10
49	Swexti	10
49	LetsDoItLive	10
49	MakeHistory157	10
49	CSG_Haru	10
49	djancak	10
49	Nicserso	10
56	H72l9w	9
56	MattieHD	9
56	SourPapaSmurf	9
56	fred870d	9
56	NotMeowMix	9
61	Mr_Byzantine	8
61	Hpdinosaur	8
61	QuakerOatsGod	8
61	Hamsanders	8
61	M_Patata	8
61	TheShyPig	8
61	rotten_mango	8
61	Lutres_Torane	8
61	proxivitoid	8
61	NameGenerat0r	8
61	Groundler	8
61	Luigipunch989	8
73	ShedJr_	7
73	titanlax	7
73	SteveCraftBlocks	7
73	Fullut	7
73	crying_wolf_13	7
73	yaboo88	7
73	thewindmillman	7
73	TJawesome09	7
73	Frozil12	7
73	Soul_Atreus	7
73	Eraxa	7
73	__tomato	7
73	SammiWolfGirl	7
73	EcksD	7
73	trexgb	7
88	Merv__	6
88	maliraspberry	6
88	Digcove	6
88	heckface	6
88	Stynxy	6
88	Sparky_KT	6
88	ProfessorBee	6
88	GLLogan2	6
88	eviltunix	6
88	Kakolbus	6
88	SuperPooch06	6
88	Rumpletaezer	6
88	LAVA129	6
88	thgrocks	6
88	Leyna3	6
88	Poppy235	6
88	Zoeyfortnite	6
88	00000000-0000-0000-0009-01f898304150	6
106	6king6colt6	5
106	error10101	5
