rank	username	minecraft:mined/minecraft:purple_glazed_terracotta
1	lordpipe	370
2	alderban107	56
3	PortlyPete69	39
4	Soplight	29
5	Bumpy419	27
6	monky_irl	26
6	YungMaki	26
8	Bandito_Roamer	20
8	Werbe	20
10	RobotMinion101	18
10	EcksD	18
12	SaucyDark	17
13	Inbefour	14
13	obzii	14
15	Tyrannosplart	13
16	youhjjhhhjj	11
16	Mahoose	11
18	TheShyPig	9
19	beeperbeeper5	8
19	wezzzi	8
19	QueenShuvi	8
19	_TCARREIRA_	8
23	Apollo_993	7
24	Zaridey	5
24	thewindmillman	5
24	AdmiralSmoke	5
27	abramgray	4
27	Merv__	4
27	Jahara	4
27	Huwulling	4
27	ThePoliteG	4
27	StanceTB	4
27	Fullut	4
27	himak1	4
27	Mewar	4
27	r123moore	4
27	Winklepicker279	4
27	whoaluv	4
27	Rumpletaezer	4
27	oscminus	4
27	Muffindrake	4
27	ougstur	4
27	lizardfightclub	4
27	claivin	4
27	StinkyDiplomat	4
27	El_Jalapeno	4
27	Druid95	4
27	Steelynan	4
27	Skippeh	4
27	PlasticOtari	4
51	ApophisNova	3
51	Akoot_	3
51	TheSeismicDuck	3
51	Spacewardharpy7	3
51	WyngGoy	3
51	__tomato	3
51	Njensen7	3
51	MyNamaSheff	3
59	ImpavidArcher	2
59	MrKrabOnCoke	2
59	SaintJosie	2
59	natajimi	2
59	luseis	2
59	Manaateee	2
59	Nycteus_	2
59	Vellu21	2
59	sea_otter_h	2
68	bigstankyy	1
68	NotP0tato	1
68	boog4loo	1
68	thescout7	1
68	noam464	1
68	bean__salad	1
68	Spenduh	1
68	JasmineGK	1
