rank	username	minecraft:mined/minecraft:tube_coral_block
1	Legendosh	1692
2	TheShyPig	509
3	ImpavidArcher	446
4	Kouridragon	415
5	mihimihimihi	358
6	_Dean_123	351
7	pintsizedrogue	325
8	Hyp3rion_	249
9	YungMaki	248
10	h2p_emrld	208
11	EcksD	200
12	Di_infiri	195
13	Enderxz3	194
14	ApophisNova	167
14	MyNamaSheff	167
16	500am	165
17	thewindmillman	155
18	12Magner05	147
19	HellsSponge	139
20	Kura2218	136
21	AuroraValkyrie	129
21	Iagoku	129
23	Vetral1	128
24	RoskobiOne	126
25	djancak	111
26	Merv__	110
27	Blackberry1310	93
28	Cryptacity	92
29	Mewar	86
30	Maenara	79
31	Fullut	78
31	Xalithia	78
31	Nicserso	78
34	Karbl	76
35	eiC_	70
36	RobotMinion101	68
37	r123moore	67
38	livingdaydreams	66
39	Lez_	65
40	TheDankPlatypus	62
41	__tomato	59
42	burbankbuilder28	53
43	Inchef	52
44	Marbz_	51
45	SuperPooch06	50
46	Powowowow	48
47	aec9	47
48	ConnorDanky_	46
49	Onennon	45
50	Inbefour	44
50	PortlyPete69	44
52	Groovy_MoonBird	38
52	ZoharGoldMine	38
54	stellarjay	37
55	Deathkob	36
56	Arceus1975	34
56	NameGenerat0r	34
58	Noah_Bez	33
58	lordpipe	33
60	Ssor69	32
60	binman420	32
60	TheSeismicDuck	32
60	Xclax101	32
64	hcb238	31
64	Rumpletaezer	31
66	SaucyDark	29
67	joethahobo	27
67	urbeans	27
69	Jovaphobic	25
69	Ezekson	25
71	kekhon	24
72	Dusk_95	23
73	6king6colt6	21
73	diamondgolem35	21
73	KingMatthew506	21
76	Bandito_Roamer	20
76	Jackattack53	20
76	Typadopoulos	20
76	MakeHistory157	20
80	asspharte	19
80	Bumpy419	19
82	noam464	18
82	Fizznut909	18
82	lcvezra	18
85	CollinMH06	17
85	laron58	17
85	Skippeh	17
85	PlasticOtari	17
89	Smoke____	16
90	shyshyannne	15
90	Kakolbus	15
90	Rebytre	15
90	FreakGenius	15
90	Blu3beast	15
95	Mahoose	14
95	monky_irl	14
97	hollowww	13
97	surfinggiraffejp	13
97	erkada	13
100	dudcreeper	12
100	ShedJr_	12
100	_Karmaa	12
100	Blaiku	12
104	titanlax	11
104	1442	11
106	BodaciousCake	10
106	M_Patata	10
106	_Cloverbelle_	10
106	Jiminbub	10
106	MasterNueve	10
111	Hpdinosaur	9
111	ratglock	9
111	NotoriousNina	9
111	fw3xywashere	9
115	XboxPanda	8
115	diggydog67	8
117	hm947	7
117	cytotoxaint	7
117	SpacesickPrism	7
117	jcool7	7
117	Steelynan	7
122	crying_wolf_13	6
122	BreadBacon	6
122	TechnoNinja64	6
125	Prismyst	5
125	beeperbeeper5	5
125	StinkyDiplomat	5
125	censorsheep	5
125	LordSpeed37	5
130	RatatJuice	4
130	CoffeeNoir	4
130	Silvo614	4
130	F_Uhre	4
134	abramgray	3
134	_Bguette_	3
134	Tyrannosplart	3
134	claivin	3
134	Western_1	3
139	Foof13	2
139	eitanzaki	2
139	Historical_Sand	2
139	tramizu	2
139	TheSecondLord	2
139	Covalents	2
139	Winklepicker279	2
139	Studyhallsaver	2
139	Voxin2K	2
139	Shiirazu	2
139	jewbacaman	2
139	KeruNatsema	2
139	fkGrim	2
139	sufjanlover	2
139	YungWali	2
139	UnThinkable2110	2
139	DarlaMeow	2
139	BlankityMcBlank	2
139	GlitchyPlate810	2
139	ZoomieZoomie	2
139	Wolverine4302	2
139	Sral7	2
161	q_wq	1
161	Paleshield	1
161	Seyaboy	1
161	rarrq	1
161	Stynxy	1
161	Ardennes	1
161	ProfessorBee	1
161	sandmire	1
161	set67	1
161	Blazebit	1
161	kars0n	1
161	SvenskaSara	1
161	Donutt	1
161	Smussa	1
161	Kynigito	1
161	parapluu	1
161	ZA07	1
161	Nicky19	1
161	ChrisKyleST3	1
161	audiocracked	1
161	Quaintster	1
161	DukBob	1
161	fluddd	1
161	DarkLawD	1
161	SkateboardR6	1
161	MovingFish7	1
161	sp00ky_ghost977	1
161	ayamefag	1
161	plato2066	1
161	Kyrum2169	1
161	MilleGrug	1
161	Yahrto	1
