rank	username	minecraft:mined/minecraft:jungle_slab
1	Mr_Byzantine	1192
2	himak1	1189
3	6king6colt6	1099
4	Prodiginus	976
5	Mahoose	960
6	cedric72	907
7	Hyp3rion_	525
8	Yamdalorian	447
9	12Magner05	402
10	kekhon	401
11	the_fireminer	383
12	BronkerBrum	330
13	joethahobo	311
14	Winklepicker279	276
15	thescout7	257
15	Steelynan	257
17	Pumpkin_P_Patch	240
18	TheWickedBird	227
19	IWorkAtIkea	215
20	eitanzaki	199
21	Blackberry1310	191
22	Windo_licker	183
23	Spacewardharpy7	171
24	SvenskaHugo	163
25	MyNameIsJobo	156
26	Kowcio_	139
27	EveryonesUncle	123
28	titanlax	120
29	T045RTY	118
30	Bandito_Roamer	115
31	Merv__	104
32	Onennon	99
33	ConnorDanky_	98
34	Deathkob	97
35	beeperbeeper5	93
36	LuvLuvLove	78
37	Shortest_	76
38	Airem_Core	74
39	Soplight	73
40	PigDab	71
41	soundad	68
42	EdGalbraith	67
43	Kubelz	66
43	FreakGenius	66
45	KarlKaek	65
46	akap47	63
47	ShedJr_	62
47	Ecplosive	62
49	DemTechAlpha	60
49	es0th	60
51	Kamflame	57
52	Sleepy_Evelyn	56
53	Synthoum	52
54	TheShyPig	49
55	SaucyDark	48
56	The_slideV3	46
57	ImpavidArcher	45
58	mwrty	44
58	Lekol	44
60	Azmodan_246	43
60	MovingFish7	43
62	cuddlyMonster	40
63	yuuxxii	39
64	Huwulling	38
65	Frozil20	36
65	El_Jalapeno	36
65	coobert42	36
68	Lez_	35
68	Mattesco	35
70	MC_Skribble	34
71	Akoot_	32
71	1442	32
71	jnp_gaming	32
74	QuesoCrusaderIII	31
75	Kakolbus	30
75	yheece	30
77	Inbefour	29
78	Kim_Jong_eel	24
78	THEKINGLyric10	24
80	pintsizedrogue	21
80	Stiar	21
80	ese_wn_po	21
80	Kukkelikuk	21
84	ItsDeltaMC	20
84	hermmm_	20
84	Enderxz3	20
87	Fullut	19
88	WET_WET_WET	18
88	KingMatthew506	18
90	Sheellky	17
91	RobotMinion101	15
91	Mr_Sun15	15
93	rarrq	14
94	PlasticOtari	12
95	Toiton	11
96	Mr_Froxy	10
96	Maenara	10
98	Bumpy419	9
98	fkGrim	9
100	capn__crunch	8
100	_flud	8
100	xzvu	8
103	TheSecondLord	7
103	xxPipperDipperxx	7
103	Fuhrer_Teemo	7
103	TheKingK_	7
107	TheWildMateo	6
107	Werbe	6
107	natajimi	6
107	Factoroni	6
107	11Brewer	6
107	diggydog67	6
113	mymayowasgone	5
113	nocturne78	5
113	QuiCreans	5
113	Saucepeh	5
113	Manaateee	5
113	Cavetorch	5
113	Racengan	5
113	WytchKraft	5
113	redlightshift	5
113	ZoomieZoomie	5
123	Apollo_993	4
123	robertsnose	4
123	teslawolf38	4
123	FirsTimeGamingTV	4
123	ratglock	4
123	Awyrlas	4
123	type11	4
123	Bazongoman	4
123	blackeemperor	4
123	doublemaki	4
123	PortlyPete69	4
134	PhantomsGhost_	3
134	catandmoose	3
134	G1ldor	3
134	TylerDupree	3
134	olliebollie48	3
134	noam464	3
134	breadbowlgamer	3
134	Gzrdy	3
134	RefluxRatio	3
134	U_Mos_	3
134	LilLizardWizard	3
134	sufjanlover	3
134	Darkgon	3
134	Blu3beast	3
134	MightyWertu	3
134	Typadopoulos	3
134	miramyu	3
134	_TCARREIRA_	3
134	Ezekson	3
134	IronicUwU1	3
154	MamaMarinara	2
154	WoofWare	2
154	CoffeeNoir	2
154	Historical_Sand	2
154	picardred	2
154	InfernalMound	2
154	corvidpartyfor6	2
154	_witch_craft_	2
154	drunkeeez	2
154	bl1ss0	2
154	Jekyll	2
154	ooga47	2
154	PaperCanvas	2
154	txxskx	2
154	wezzzi	2
154	luseis	2
154	Cache3	2
154	StarCookiees_	2
154	Spenduh	2
154	Luigipunch989	2
154	OfficerAnvil	2
154	Legendosh	2
176	Boliipop	1
176	H0UNDFRMH3LL	1
176	Vryistal	1
176	CLG_Kata	1
176	_Huge_Male_	1
176	Harotio	1
176	dudcreeper	1
176	fanofbands101	1
176	dimondking777	1
176	shineh10	1
176	I_Am_Mushkin	1
176	Natty	1
176	ZaneABrain	1
176	gaziter10	1
176	Tersea_	1
176	Crowman1	1
176	MrExplorer	1
176	slkiey	1
176	Fullbit_	1
176	intropass	1
176	Xalithia	1
176	DabKeepaBlicky	1
176	Noah_Bez	1
176	XboxPanda	1
176	Zaridey	1
176	Karetoko	1
176	Jackattack53	1
176	milltesco	1
176	whoaluv	1
176	thewindmillman	1
176	andy_rex	1
176	OreTheBear	1
176	oscminus	1
176	F_Uhre	1
176	lizardfightclub	1
176	Rasmanden	1
176	Hahaa_0	1
176	audiocracked	1
176	Lutres_	1
176	JESS_THE_RERE	1
176	DarlaMeow	1
176	Avocadogerms	1
176	claivin	1
176	Deerfoot	1
176	Blaiku	1
176	radioactv_jelly	1
176	sp00ky_ghost977	1
176	ProbsNotNova	1
176	Kubeusz2010	1
176	EcksD	1
176	CattSoup	1
176	Nicserso	1
176	Tristankill	1
