rank	username	minecraft:mined/minecraft:black_glazed_terracotta
1	ooga47	754
2	ImpavidArcher	557
3	AdmiralSmoke	343
4	YungMaki	279
5	TheShyPig	221
6	noam464	133
7	lillips	113
8	AnnieBathory	111
9	PaperCanvas	102
10	_Virify_	76
11	Inbefour	72
12	Spacewardharpy7	58
13	Lez_	57
14	Crowman1	52
15	Prismyst	51
16	ZoomieZoomie	45
17	QuiCreans	40
18	Rebytre	35
19	djancak	32
20	Mahoose	27
21	StinkyDiplomat	19
22	Inchef	16
22	Elastiq	16
24	Jackattack53	12
24	lordpipe	12
26	Optiprimus	10
27	monky_irl	8
28	Iamthejo	7
29	pixelviolin	6
29	h2p_emrld	6
31	Hiryu27	3
31	Steelynan	3
31	ConnorDanky_	3
34	Dan_Scha	2
34	ReSynced	2
36	kekhon	1
36	ROY4LE	1
36	Di_infiri	1
36	Hyp3rion_	1
36	Soplight	1
