rank	username	minecraft:mined/minecraft:ancient_debris
1	EcksD	5930
2	NomadicRobin_	2482
3	thewindmillman	2453
4	Enderslayerxz3	1364
5	Dedalus36	1354
6	Smashic	688
7	Smoke____	586
8	HolyVenom	494
9	bigstankyy	478
10	noam464	433
11	set67	412
12	TheSecondLord	403
13	Yatitay	371
14	Winklepicker279	339
15	_Yonk_	299
16	500am	273
17	KG1999	267
18	MinttyFressh	264
19	Segotep999	230
20	Fullut	226
21	eitanzaki	221
22	RadarHz	218
23	MSK__	208
24	Hyp3rion_	197
25	Strangemonkey71	193
26	Kowcio_	191
27	_Virify_	187
28	BlancoFlaco	185
29	Racengan	180
30	fw3xywashere	172
31	beeperbeeper5	171
31	jnp_gaming	171
33	Rebytre	167
34	SingedBread	150
35	PigDab	149
36	_NieToksikpl_	146
37	SkateboardR6	140
37	PortlyPete69	140
39	PlasticOtari	130
40	Skylord_Luke	125
41	Jackattack53	122
42	RebelAndroid	115
43	Miko_Fullbuster	114
44	YungMaki	110
45	rarrq	107
46	JEWISHBadenBeele	105
47	T045RTY	102
48	Chromary	100
49	Nicky_H225	98
49	Blaiku	98
51	Zythose	97
52	mwrty	95
52	Nycteus_	95
54	joethahobo	94
55	pintsizedrogue	93
55	bloodbiter	93
57	gabriels543	87
58	12Magner05	84
59	Menthas	82
60	Drlzyy	80
60	EveryonesUncle	80
62	NinjaKnifeKill	79
63	Snowflowe	78
64	livingdaydreams	74
64	Spacewardharpy7	74
66	SuperPooch06	72
66	ToastedGamingYT	72
68	monky_irl	70
69	MightyWertu	69
70	Fuad_R	68
71	PhantomsGhost_	66
72	diggydog67	65
73	jacxhadow	64
73	r123moore	64
75	thescout7	61
76	Dusk_95	60
76	Ezekson	60
78	FirsTimeGamingTV	59
78	Freak_Genius	59
80	TheEnderman548	57
81	Alteriity	56
82	fffMike	55
83	Hpdinosaur	54
83	Lord_Jord	54
85	Legendosh	53
86	Wooptey	52
86	Mahoose	52
88	RoskobiOne	50
88	ROY4LE	50
88	Kakolbus	50
88	GlitchyPlate810	50
92	CoffeeNoir	49
92	fred870d	49
92	h2p_emrld	49
95	nataliecool	47
96	M_Patata	46
96	MasterNueve	46
96	IdeallyGrey	46
96	Spenduh	46
100	hm947	43
100	07shiny	43
100	SvenskaHugo	43
100	VentiHilton	43
104	JohnnyFyes	42
104	Cowison	42
104	DarkS0L	42
104	pixelviolin	42
108	NoChumpChange	41
108	Frozil12	41
110	AuroraValkyrie	40
110	jushykins	40
110	kekhon	40
110	__TheNorseMan__	40
110	fluddd	40
110	Ze_BaronKrigler	40
110	Kekoo	40
117	Jovaphobic	39
117	Merv__	39
117	egglapras	39
117	CharlieButt	39
117	pappaberg	39
117	DeGodz4life	39
123	error10101	38
123	SteveWithClout	38
123	Megarboh	38
123	HesDemonPants	38
127	King_Pancake1	37
127	PuFY	37
129	jiggywraps	36
129	Di_infiri	36
129	Syropatathe	36
129	Lutres_Torane	36
129	MissCeleste7	36
129	anbbang	36
129	FelixPSY375	36
136	sp00ky_ghost977	35
136	MeetTheWollo	35
138	Ryker	34
138	AuroraSkies	34
138	KnightmareD	34
138	Razzgriz	34
138	AltnumberF4	34
143	Myszoaz	33
143	djancak	33
143	ZeroKraken	33
143	2blox	33
147	KartivGal	32
147	Gab4101	32
147	censorsheep	32
147	Soplight	32
147	Hermanni__	32
147	Aryamanee	32
153	Erased_Identity	31
154	Xalithia	30
155	tuckerdoodle	29
156	ImpavidArcher	28
156	TheDankPlatypus	28
156	SvenskaAlvar	28
156	RoBe__	28
160	ShedJr_	27
160	Covalents	27
160	Luigipunch989	27
163	I_Am_Mushkin	26
163	Wolf_Mauler_73	26
163	Marbz_	26
163	UltraZombie	26
167	ItzWqlfy	25
167	oxfordschool	25
169	littlesophiagirl	24
169	CyrusIsTired	24
169	Inchef	24
169	yulgur1	24
173	CollinMH06	23
173	SammiWolfGirl	23
175	gcaisawesome	22
175	HellsSponge	22
175	Kubeusz2010	22
175	EcksDofficial	22
179	Eraxa	21
180	gaziter10	20
180	NotTrixi	20
180	KeruNatsema	20
180	Akoot_	20
180	LordBlaze11	20
180	tartanboy	20
186	Krasnal1337	19
186	xPixelRainx	19
186	The_Fulgurator	19
186	TheShyPig	19
186	Deathkob	19
186	00000000-0000-0000-0009-01ff0c3e5e4f	19
192	LotusProject	18
192	DarlaMeow	18
192	remmisrat	18
195	Groovy_MoonBird	17
195	Sleek_Storm_721	17
195	_Razar	17
195	ReverendSmith	17
195	ApophisNova	17
195	WyngGoy	17
195	Quotary	17
195	MyNamaSheff	17
203	diamondgolem35	16
203	Kkanot	16
203	Hiryu27	16
203	Werbe	16
203	Shogunite	16
203	claivin	16
203	FishisTTV	16
210	Leyna3	15
210	DanTheBuilderino	15
210	Eczbek	15
210	trexgb	15
