rank	username	minecraft:mined/minecraft:oak_stairs
1	FreakGenius	1455
2	TheShyPig	1341
3	EveryonesUncle	1143
4	Mr_Byzantine	1087
5	EMC_	970
6	MyNameIsJobo	784
7	_Dean_123	730
8	rarrq	710
9	Alteriity	697
10	_Karmaa	671
11	El_Jalapeno	636
12	Burge_r	607
13	Onennon	603
14	Ezekson	600
15	U_Mos_	576
16	OreTheBear	572
17	j5ylim	517
18	Mahoose	516
19	excelsionprime	510
20	beeperbeeper5	489
21	fkGrim	463
22	luseis	455
23	emrekn	419
24	Racengan	400
25	HellsSponge	397
26	hcb238	384
26	Luigipunch989	384
28	abdomera	375
29	MC_Skribble	373
30	WinterSepp	366
31	Gingayy	360
32	500am	353
33	Megarboh	344
34	philandr	341
35	Winklepicker279	335
36	kekhon	327
37	Reneedium	313
38	FormulaNewt3627	310
39	Blackberry1310	308
40	Manaateee	307
41	Rumpletaezer	304
42	crying_wolf_13	299
43	Lez_	285
44	Kowcio_	284
45	Ssor69	281
45	Stynxy	281
47	CharlieButt	276
48	Spaghettatron	265
49	CoffeeNoir	263
50	bloodbiter	259
51	m_be9	258
52	DarkS0L	256
53	Natty	250
54	StinkyDiplomat	249
55	11Brewer	248
56	Tyrannosplart	239
57	jnp_gaming	237
58	doublemaki	236
59	Enderxz3	230
60	00000000-0000-0000-0009-01ff0c3e5e4f	228
61	Skippeh	226
62	ApophisNova	221
62	MyNamaSheff	221
64	Dan_Scha	217
65	Caribouse	214
66	Studio4x32	213
67	Ozixar	208
68	Steelynan	206
69	Yamdalorian	205
70	Mattesco	200
71	EcksD	199
72	little_dUki	198
73	CarryLine	190
74	pintsizedrogue	187
75	xxPipperDipperxx	184
75	IamCL4SSY	184
77	Pumpkin_P_Patch	180
78	SpacesickPrism	176
79	Soap_Bender	157
79	Fildyr	157
81	Merv__	156
82	ARandomHedge	154
83	picardred	151
84	Lord_Jord	149
84	Eraxa	149
86	LordZacler	146
86	Lord_Zacler	146
88	XboxPanda	139
89	bloomkieren	138
90	hydrothebot	137
