rank	username	minecraft:mined/minecraft:oxeye_daisy
1	500am	562
2	beeperbeeper5	341
3	Winklepicker279	296
4	TheShyPig	240
5	Di_infiri	214
6	SpacesickPrism	193
7	Rasmanden	192
8	pintsizedrogue	186
9	FreakGenius	170
10	Mahoose	160
11	Steelynan	148
12	Lord_Jord	141
13	Hyp3rion_	139
14	vandmanden	132
15	LordSpeed37	121
16	Fullut	120
17	Legendosh	119
18	lordpipe	118
19	Enderxz3	104
20	eitanzaki	93
20	Onennon	93
20	El_Jalapeno	93
23	Blackberry1310	90
23	EveryonesUncle	90
25	YungMaki	89
26	wezzzi	88
27	kekhon	86
28	SaucyDark	81
29	Kakolbus	79
30	DarlaMeow	78
31	Lez_	75
31	XxCookiequeenxX	75
33	BlancoFlaco	73
33	ImDisconnected_	73
35	Bandito_Roamer	69
36	cedric72	68
37	EMC_	65
37	Dusk_95	65
39	Skylord_Luke	64
40	Avrelion	63
40	thewindmillman	63
42	CoffeeNoir	61
42	djancak	61
42	jnp_gaming	61
45	Inbefour	58
46	AuroraValkyrie	54
46	Wolf_Mauler_73	54
46	xxPipperDipperxx	54
49	NatalieTW	52
49	Marbz_	52
49	Snowflowe	52
49	__tomato	52
53	joethahobo	51
53	thescout7	51
53	ConnorDanky_	51
56	PeteO1995	50
56	Tyrannosplart	50
56	diggydog67	50
59	SammiWolfGirl	49
59	Smoke____	49
61	ImpavidArcher	48
61	m_be9	48
61	HellsSponge	48
64	luseis	47
65	AnnieBathory	46
65	sq0id	46
65	Racengan	46
68	Merv__	45
69	claivin	43
70	PortlyPete69	41
71	ApophisNova	40
71	SaintJosie	40
71	MyNamaSheff	40
74	SuperPooch06	37
75	RobotMinion101	36
75	MyNameIsDakar	36
75	pixelviolin	36
78	seanitoo	35
78	00000000-0000-0000-0009-01ff0c3e5e4f	35
80	Lutres_Torane	34
81	Cowison	33
81	ExtraDumb	33
81	ProfessorBee	33
81	Kryktal	33
81	07shiny	33
86	NormanFetus	32
86	IAmTheWalrus910	32
88	Warlord324	31
89	Windo_licker	29
89	groofles	29
89	MovingFish7	29
92	KeruNatsema	28
92	ReSynced	28
94	emrekn	27
94	intropass	27
94	Deathkob	27
94	sp00ky_ghost977	27
94	Njensen7	27
99	T045RTY	26
99	titanlax	26
99	CollinMH06	26
99	DarkS0L	26
99	monky_irl	26
99	_TCARREIRA_	26
105	bloodbiter	25
105	surfinggiraffejp	25
105	LeauVox4921	25
105	MightyWertu	25
109	toetagnyc	24
109	tobinwilliams	24
109	fluddd	24
112	Reamdin	23
112	epiksk8erduck	23
112	xolstoi	23
115	LavenderBi1ch	22
115	AJplaysMC_	22
115	fkGrim	22
115	Spacewardharpy7	22
119	Sebaschan__	21
119	MinuteMira	21
119	TechnoNinja64	21
119	PlasticOtari	21
123	ItsAki_	20
123	TheSeismicDuck	20
123	sufjanlover	20
123	Lirael42	20
123	MilleGrug	20
128	Froste131	19
128	Arceus1975	19
128	DJenthousiast	19
128	Kowcio_	19
132	Frozil20	18
132	Huwulling	18
132	ITDV	18
132	Cryptacity	18
132	TheSecondLord	18
132	burbankbuilder28	18
132	Lord_Zacler	18
132	babyjimmyneutron	18
132	OfficerAnvil	18
141	Jorrdi	17
141	ShedJr_	17
141	Dragonfest	17
141	pappaberg	17
141	FishyBoy3811	17
141	Toasty_Tom	17
141	Barlycorn	17
141	Soplight	17
141	GlitchyPlate810	17
141	cichy096	17
151	RoskobiOne	16
151	squigglybones	16
151	DinoDoctor_	16
151	Inchef	16
151	Chromary	16
151	_Cloverbelle_	16
151	Blaiku	16
151	OffWithTheirHead	16
159	cheerytomato	15
159	Tjhodskins19	15
159	MelaninStealer	15
159	UCP_TheKingK	15
163	xXTheWolfmanXx	14
163	Historical_Sand	14
163	roxycherry	14
163	Z3braYTIL	14
163	Scathra	14
163	Cattoh	14
163	AuroraSkies	14
163	ori0le	14
163	Nekomin0	14
163	Kateesaur	14
173	6king6colt6	13
173	ThiccExotic	13
173	Myszoaz	13
173	Mimiir345	13
173	Motsaro	13
173	noam464	13
173	toj__	13
173	kars0n	13
173	The11thDoctor	13
173	valkam13	13
173	Fildyr	13
173	Hisiste	13
173	csendeslol	13
186	teslawolf38	12
186	Ozixar	12
186	CrookedKaptain	12
186	Blazebit	12
186	orxngejuice	12
186	HAIRYCLOUD626	12
186	LilLizardWizard	12
186	monomara	12
186	NameGenerat0r	12
186	Blu3beast	12
186	Groundler	12
186	xzvu	12
186	Deguns123	12
186	VentiHilton	12
186	satuern	12
201	CompAir	11
201	NinjaKnifeKill	11
201	Prismyst	11
201	InfernalMound	11
201	MrExplorer	11
201	Megarboh	11
201	PegLegPete93	11
201	ROY4LE	11
201	RyuNeko932000	11
201	ooga47	11
201	dezxalo	11
201	Fuhrer_Teemo	11
201	Erased_Identity	11
214	Jovaphobic	10
214	Groovy_MoonBird	10
214	Mr_Byzantine	10
214	Dumkii	10
214	SidorAlex	10
214	QuiCreans	10
214	ZigzagLily43042	10
214	_Dean_123	10
214	Diavri	10
214	MyNameIsJobo	10
214	Rumpletaezer	10
214	Flucxks	10
214	Shiirazu	10
214	Vetral1	10
214	ougstur	10
214	MangoSalad316	10
214	nonarso	10
214	EngagedGrub41	10
214	Iamthejo	10
214	Ezekson	10
234	SugarMyNuggets	9
234	Zippyzam	9
234	oreee	9
234	set67	9
234	paranoid_plant	9
234	Stiar	9
234	legal_tax_evader	9
234	nut_e	9
234	Chrisdeadeye	9
234	Moofyman	9
234	LeGold	9
234	Akoot_	9
234	binman420	9
234	The_slideV3	9
234	_Karmaa	9
234	MAns_44	9
234	SSytex_X	9
234	Kubeusz2010	9
234	ScarmedLeft	9
234	MissCeleste7	9
234	mobunni	9
255	Slinkyy7071	8
255	Ssor69	8
255	GingerNeutron	8
255	hcb238	8
255	Bolete	8
255	SeverianTheLame	8
255	_k2x	8
255	Quotary	8
255	smogfrog	8
264	rats_life	7
264	dabloons	7
264	RatatJuice	7
264	Atroxes	7
264	Touched_Bread	7
264	Kubelz	7
264	jillian12345	7
264	grislgrobl	7
264	Blamphe	7
264	NomadicRobin_	7
264	HuangMeiHua	7
275	Louiis123	6
275	KarlKaek	6
275	bigstankyy	6
275	Rich_Kat	6
275	Jokerman369	6
275	CyrusIsTired	6
275	Smashic	6
275	Uzbeki_John	6
275	Covalents	6
275	eiC_	6
275	Zaridey	6
275	Zythose	6
275	_8man	6
275	SvenskaSara	6
275	Bumpy419	6
