rank	username	minecraft:mined/minecraft:oxeye_daisy
1	500am	562
2	beeperbeeper5	341
3	Winklepicker279	296
4	TheShyPig	240
5	Di_infiri	214
6	SpacesickPrism	193
7	Rasmanden	192
8	pintsizedrogue	186
9	FreakGenius	170
10	Mahoose	160
11	Steelynan	148
12	Lord_Jord	141
13	Hyp3rion_	139
14	vandmanden	132
15	LordSpeed37	121
16	Fullut	120
17	Legendosh	119
18	lordpipe	118
19	Enderxz3	104
20	eitanzaki	93
20	Onennon	93
20	El_Jalapeno	93
23	Blackberry1310	90
23	EveryonesUncle	90
25	YungMaki	89
26	wezzzi	88
27	kekhon	86
28	SaucyDark	81
29	Kakolbus	79
30	DarlaMeow	78
31	Lez_	75
31	XxCookiequeenxX	75
33	BlancoFlaco	73
33	ImDisconnected_	73
35	Bandito_Roamer	69
36	cedric72	68
37	EMC_	65
37	Dusk_95	65
39	Skylord_Luke	64
40	Avrelion	63
40	thewindmillman	63
42	CoffeeNoir	61
42	djancak	61
42	jnp_gaming	61
45	Inbefour	58
46	AuroraValkyrie	54
46	Wolf_Mauler_73	54
46	xxPipperDipperxx	54
49	NatalieTW	52
49	Marbz_	52
49	Snowflowe	52
49	__tomato	52
53	joethahobo	51
53	thescout7	51
53	ConnorDanky_	51
56	PeteO1995	50
56	Tyrannosplart	50
56	diggydog67	50
59	SammiWolfGirl	49
59	Smoke____	49
61	ImpavidArcher	48
61	m_be9	48
61	HellsSponge	48
64	luseis	47
65	AnnieBathory	46
65	sq0id	46
65	Racengan	46
68	Merv__	45
69	claivin	43
70	PortlyPete69	41
71	ApophisNova	40
71	SaintJosie	40
71	MyNamaSheff	40
74	SuperPooch06	37
75	RobotMinion101	36
75	MyNameIsDakar	36
75	pixelviolin	36
78	seanitoo	35
78	00000000-0000-0000-0009-01ff0c3e5e4f	35
80	Lutres_Torane	34
81	Cowison	33
81	ExtraDumb	33
81	ProfessorBee	33
81	Kryktal	33
81	07shiny	33
86	NormanFetus	32
86	IAmTheWalrus910	32
88	Warlord324	31
89	Windo_licker	29
89	groofles	29
89	MovingFish7	29
92	KeruNatsema	28
92	ReSynced	28
94	emrekn	27
94	intropass	27
94	Deathkob	27
94	sp00ky_ghost977	27
94	Njensen7	27
99	T045RTY	26
99	titanlax	26
99	CollinMH06	26
99	DarkS0L	26
99	monky_irl	26
99	_TCARREIRA_	26
105	bloodbiter	25
105	surfinggiraffejp	25
105	LeauVox4921	25
105	MightyWertu	25
109	toetagnyc	24
109	tobinwilliams	24
109	fluddd	24
112	Reamdin	23
112	epiksk8erduck	23
112	xolstoi	23
115	LavenderBi1ch	22
115	AJplaysMC_	22
115	fkGrim	22
115	Spacewardharpy7	22
119	Sebaschan__	21
119	MinuteMira	21
119	TechnoNinja64	21
119	PlasticOtari	21
123	ItsAki_	20
123	TheSeismicDuck	20
123	sufjanlover	20
123	Lirael42	20
123	MilleGrug	20
128	Froste131	19
128	Arceus1975	19
128	DJenthousiast	19
128	Kowcio_	19
132	Frozil20	18
132	Huwulling	18
132	ITDV	18
132	Cryptacity	18
132	TheSecondLord	18
132	burbankbuilder28	18
132	Lord_Zacler	18
132	babyjimmyneutron	18
132	OfficerAnvil	18
141	Jorrdi	17
141	ShedJr_	17
141	Dragonfest	17
141	pappaberg	17
141	FishyBoy3811	17
141	Toasty_Tom	17
141	Barlycorn	17
141	Soplight	17
141	GlitchyPlate810	17
141	cichy096	17
151	RoskobiOne	16
151	squigglybones	16
151	DinoDoctor_	16
151	Inchef	16
151	Chromary	16
151	_Cloverbelle_	16
151	Blaiku	16
151	OffWithTheirHead	16
159	cheerytomato	15
159	Tjhodskins19	15
159	MelaninStealer	15
159	UCP_TheKingK	15
163	xXTheWolfmanXx	14
163	Historical_Sand	14
163	roxycherry	14
163	Z3braYTIL	14
163	Scathra	14
163	Cattoh	14
163	AuroraSkies	14
163	ori0le	14
163	Nekomin0	14
163	Kateesaur	14
173	6king6colt6	13
173	ThiccExotic	13
173	Myszoaz	13
173	Mimiir345	13
173	Motsaro	13
173	noam464	13
173	toj__	13
173	kars0n	13
173	The11thDoctor	13
173	valkam13	13
173	Fildyr	13
173	Hisiste	13
173	csendeslol	13
186	teslawolf38	12
186	Ozixar	12
186	CrookedKaptain	12
186	Blazebit	12
186	orxngejuice	12
186	HAIRYCLOUD626	12
186	LilLizardWizard	12
186	monomara	12
186	NameGenerat0r	12
186	Blu3beast	12
186	Groundler	12
186	xzvu	12
186	Deguns123	12
186	VentiHilton	12
186	satuern	12
201	CompAir	11
201	NinjaKnifeKill	11
201	Prismyst	11
201	InfernalMound	11
201	MrExplorer	11
201	Megarboh	11
201	PegLegPete93	11
201	ROY4LE	11
201	RyuNeko932000	11
201	ooga47	11
201	dezxalo	11
201	Fuhrer_Teemo	11
201	MAns_44	11
201	Erased_Identity	11
215	Jovaphobic	10
215	Groovy_MoonBird	10
215	Mr_Byzantine	10
215	Dumkii	10
215	SidorAlex	10
215	QuiCreans	10
215	ZigzagLily43042	10
215	_Dean_123	10
215	Diavri	10
215	MyNameIsJobo	10
215	Rumpletaezer	10
215	Flucxks	10
215	Shiirazu	10
215	Vetral1	10
215	ougstur	10
215	MangoSalad316	10
215	nonarso	10
215	EngagedGrub41	10
215	Iamthejo	10
215	Ezekson	10
215	FishisTTV	10
236	SugarMyNuggets	9
236	Zippyzam	9
236	oreee	9
236	set67	9
236	paranoid_plant	9
236	Stiar	9
236	legal_tax_evader	9
236	nut_e	9
236	Chrisdeadeye	9
236	Moofyman	9
236	LeGold	9
236	Akoot_	9
236	binman420	9
236	The_slideV3	9
236	_Karmaa	9
236	SSytex_X	9
236	Kubeusz2010	9
236	ScarmedLeft	9
236	MissCeleste7	9
236	mobunni	9
256	Slinkyy7071	8
256	Ssor69	8
256	GingerNeutron	8
256	hcb238	8
256	Bolete	8
256	SeverianTheLame	8
256	_k2x	8
256	Quotary	8
256	smogfrog	8
265	rats_life	7
265	dabloons	7
265	RatatJuice	7
265	Atroxes	7
265	Touched_Bread	7
265	Kubelz	7
265	jillian12345	7
265	grislgrobl	7
265	Blamphe	7
265	NomadicRobin_	7
265	HuangMeiHua	7
276	Louiis123	6
276	KarlKaek	6
276	bigstankyy	6
276	Rich_Kat	6
276	Jokerman369	6
276	CyrusIsTired	6
276	Smashic	6
276	Uzbeki_John	6
276	Covalents	6
276	eiC_	6
276	Zaridey	6
276	Zythose	6
276	_8man	6
276	SvenskaSara	6
