rank	username	minecraft:mined/minecraft:azalea_leaves
1	Enderslayerxz3	3701
2	Smoke____	2838
3	Steelynan	2371
4	pintsizedrogue	2036
5	500am	1084
6	Legendosh	643
7	CoffeeNoir	451
8	Kakolbus	427
9	Gamergirl420628	406
10	Soplight	390
11	Kowcio_	330
12	Jiminie	300
13	Mahoose	293
14	EveryonesUncle	228
15	Arceus1975	220
16	eitanzaki	206
17	Marbz_	182
18	Groovy_MoonBird	173
19	NomadicRobin_	161
20	EMC_	144
21	Blackberry1310	139
22	lordpipe	137
23	AuroraSkies	116
24	thewindmillman	114
25	TheSecondLord	81
26	2blox	74
27	RebelAndroid	66
27	12Magner05	66
27	Segotep999	66
30	PigDab	64
31	Hyp3rion_	62
32	ShedJr_	58
33	MSK__	54
33	himak1	54
35	_Boipl_	51
36	Rocco_Lane	45
36	Kekoo	45
38	Inchef	43
39	RoskobiOne	42
40	Quotary	38
41	ImpavidArcher	36
41	Vegvisir	36
43	JingleLizi	32
43	Hylo482y	32
45	xxPipperDipperxx	28
46	Freak_Genius	26
47	Flores991	21
48	TheEnderman548	19
49	Merv__	14
49	beeperbeeper5	14
51	TheALV	12
52	Ryker	9
52	regulator75	9
54	_Razar	8
55	Jackattack53	7
56	HyperCave	4
56	_Karmaa	4
56	SammiWolfGirl	4
59	MinttyFressh	3
59	dartwaffle	3
59	fluddd	3
62	neurotic_a	2
63	_NieToksikpl_	1
63	Rebytre	1
63	HolyVenom	1
63	Frozil12	1
63	EtherealEspresso	1
63	00000000-0000-0000-0009-01f16526f034	1
