rank	username	minecraft:mined/minecraft:wither_skeleton_skull
1	joethahobo	46
2	Mahoose	28
3	eitanzaki	26
3	Frozil12	26
5	YungMaki	20
6	thescout7	19
7	Spacewardharpy7	17
8	Corbsman	16
9	fw3xywashere	13
10	301851	11
11	fr0stss	10
12	xxPipperDipperxx	9
12	noam464	9
12	Di_infiri	9
12	Hyp3rion_	9
12	PortlyPete69	9
17	chipklip	8
17	vandmanden	8
17	Smoke____	8
20	Bandito_Roamer	7
20	RebelAndroid	7
20	rarrq	7
20	Maenara	7
20	PlasticOtari	7
25	SaucyDark	6
25	Blackberry1310	6
25	m_be9	6
25	Scathra	6
25	Onennon	6
25	PigDab	6
25	EcksDofficial	6
32	pintsizedrogue	5
32	RobotMinion101	5
32	Legendosh	5
35	ShedJr_	4
35	beeperbeeper5	4
35	Kamflame10	4
35	gabriels543	4
35	thewindmillman	4
35	_Boipl_	4
35	NomadicRobin_	4
35	claivin	4
35	MAns_44	4
35	Blaiku	4
35	Cocoamallows	4
35	AssFullaCum	4
35	__tomato	4
35	alderban107	4
35	Ezekson	4
35	Nicserso	4
35	trexgb	4
52	Incinere	3
52	Comma__	3
52	Kakolbus	3
52	Arceus1975	3
52	RefluxRatio	3
52	King_Pancake1	3
52	ToastedGamingYT	3
52	Rasmanden	3
52	wezzzi	3
52	HellsSponge	3
52	Vindogster	3
52	MakeHistory157	3
52	diggydog67	3
65	q_wq	2
65	titanlax	2
65	Fullut	2
65	Rumpletaezer	2
65	_8man	2
65	Wowful	2
65	Blu3beast	2
65	SingedBread	2
65	GlitchyPlate810	2
65	Skippeh	2
75	Whiterooster001	1
75	Nicky_H225	1
75	kekhon	1
75	MattieHD	1
75	_Nuf	1
75	500am	1
75	mwrty	1
75	SellyZ	1
75	gcaisawesome	1
75	r123moore	1
75	M_Patata	1
75	CollinMH06	1
75	whoaluv	1
75	Zythose	1
75	Zombie_Striker	1
75	Bumpy419	1
75	k1ngGilgamesh	1
75	RodSerlingCringe	1
75	audiocracked	1
75	EveryonesUncle	1
75	lillips	1
75	DarlaMeow	1
75	_Karmaa	1
75	Freak_Genius	1
75	Xclax101	1
75	NotMeowMix	1
75	lordpipe	1
75	MasterNueve	1
75	Spenduh	1
75	stahouo	1
75	_TCARREIRA_	1
75	fffMike	1
75	oxfordschool	1
75	EcksD	1
75	h2p_emrld	1
