rank	username	minecraft:mined/minecraft:melon
1	diggydog67	7005
2	youhjjhhhjj	4222
3	CoffeeNoir	4112
4	RadarHz	3595
5	slkiey	2992
6	PigDab	2798
7	joethahobo	2164
8	Blackberry1310	1566
9	Blaiku	1305
10	Ezekson	1216
11	PegLegPete93	979
12	Comma__	881
13	Di_infiri	876
14	starbits140	832
15	KarlKaek	801
15	Negriuke	801
17	Fast_Turtle	751
18	kekhon	689
19	Voxin2K	591
20	SaucyDark	528
21	El_Jalapeno	522
22	ProfessorBee	489
23	6king6colt6	392
24	Lowjinx	388
25	loveseeker	386
26	Kakolbus	353
27	Snowflowe	345
28	m_be9	336
29	livingdaydreams	329
30	thescout7	328
31	pintsizedrogue	320
32	jacxhadow	318
33	chipklip	312
34	dudcreeper	306
35	Katsuragi0243218	292
36	Incinere	287
37	xxPipperDipperxx	286
38	UncreativeArtist	284
39	Smoke____	282
40	Mahoose	279
41	SlayerCrypto	242
42	TheShyPig	234
43	JayToe	220
44	eitanzaki	212
45	BobDeBouwer1337	210
46	ComplexSquirrel	208
47	Rumpletaezer	206
48	seramalen	203
49	q_wq	199
50	Bandito_Roamer	193
51	Corbsman	191
51	Werbe	191
51	AssEatrAndLicker	191
54	_stets	182
55	LordAurum	177
56	TheSecondLord	168
57	Deathkob	166
58	_Tilariel_	162
59	HellsSponge	158
60	YungMaki	150
61	thewindmillman	149
62	HollieDaNugget	146
63	ItsAki_	139
64	Freak_Genius	136
65	smogfrog	127
66	bloomkieren	122
67	fred870d	119
68	rotten_mango	118
69	Studyhallsaver	117
70	NameGenerat0r	116
71	noam464	115
72	_Bguette_	114
72	Zetsey	114
74	Mr_Byzantine	113
75	Dali1465	112
76	beeperbeeper5	111
77	OfficerAnvil	110
78	CaptainDeadBread	106
79	GingerNeutron	105
80	Nekomin0	103
80	Skippeh	103
82	openatheclose	100
83	claivin	99
84	AlphaWolfPlaysMC	97
85	Hyp3rion_	96
86	striker90333	95
87	Sheldor097	92
88	Fullut	88
88	MonitorLizards	88
90	lcvezra	87
91	eiC_	86
92	Motsaro	85
93	platinumzero	84
94	Dogcorn69420	82
95	Kkanot	80
96	Tolhart	72
96	wiqor	72
98	JESS_THE_RERE	69
98	TechnoNinja64	69
100	SammiWolfGirl	67
100	Legendosh	67
102	Omar_Alone	66
103	Dedalus36	65
103	Barlycorn	65
105	elicobnoah	64
105	Enderslayerxz3	64
105	Earlesstrain4	64
108	Prodiginus	63
108	ori0le	63
108	Frnjokl	63
108	LeeMcGee30	63
112	Hisiste	62
113	Xclax101	60
114	Warlord324	59
115	sebastiensaborio	57
116	Zaridey	56
117	EveryonesUncle	55
118	301851	54
118	djancak	54
118	TheOnlyRake	54
