rank	username	minecraft:mined/minecraft:orange_tulip
1	Legendosh	398
2	500am	320
3	pintsizedrogue	238
4	beeperbeeper5	237
5	TheShyPig	171
6	SpacesickPrism	166
7	Mahoose	162
8	Rasmanden	161
9	Steelynan	149
10	Hyp3rion_	141
10	TheWickedBird	141
12	luseis	138
12	lordpipe	138
14	wezzzi	132
15	Arceus1975	128
16	Njensen7	124
17	YungMaki	121
18	Winklepicker279	118
19	Jackattack53	115
20	Pofen	110
20	El_Jalapeno	110
22	FreakGenius	102
23	SaucyDark	100
24	3_Solar_3	94
25	IAmTheWalrus910	92
26	nattybears	89
27	AnnieBathory	88
28	Fullut	83
29	Rumpletaezer	81
30	Krowuss	80
31	KeruNatsema	76
32	ConnorDanky_	73
33	hm947	72
34	Racengan	71
35	Yamdalorian	69
36	Snowflowe	66
36	DarlaMeow	66
38	LeauVox4921	65
38	Bumpy419	65
40	ImpavidArcher	60
41	tuckerdoodle	57
41	Lez_	57
43	Mr_Byzantine	54
44	CoffeeNoir	53
44	_k2x	53
46	excelsionprime	52
46	KlausVonStiglitz	52
48	Merv__	51
49	__tomato	50
50	kekhon	48
50	_i_ERROR_i_	48
52	BlancoFlaco	47
53	Onennon	46
53	Deathkob	46
55	sq0id	45
56	Xclax101	44
57	wwwwinnebagoooo	42
58	Marbz_	41
59	surfinggiraffejp	39
59	Inbefour	39
61	PeteO1995	38
62	toetagnyc	36
63	xxPipperDipperxx	35
64	Kakolbus	34
64	Maenara	34
66	CaracolCxnt	32
67	eitanzaki	30
67	MSK__	30
67	miramyu	30
70	PlasticOtari	29
71	skitzxo	28
72	StinkyDiplomat	25
73	diggydog67	24
74	Bandito_Roamer	23
74	Malorn_Aetherius	23
74	wobn	23
74	Sheldor097	23
74	00000000-0000-0000-0009-01ff0c3e5e4f	23
79	sufjanlover	22
80	Dumkii	21
80	Akoot_	21
82	corvidpartyfor6	20
83	Blackberry1310	19
83	TheKingK_	19
85	DinoDoctor_	18
85	poopybh	18
85	Boipl	18
85	LuisCarreroBla	18
89	Huwulling	17
89	Cortexia	17
89	Pelbo	17
92	Kubelz	16
92	Windo_licker	16
92	babyjimmyneutron	16
92	SammiWolfGirl	16
96	i2f8x4h8ro	15
96	OG_Songsee	15
98	RebelAndroid	14
98	Prismyst	14
98	MyNameIsJobo	14
98	Norrhede	14
98	burbankbuilder28	14
98	Parcc	14
98	Truckoss	14
98	Lord_Jord	14
98	deleteduser3c11b	14
98	Soplight	14
98	Luigipunch989	14
98	BiggieDawg	14
98	satuern	14
111	Apollo_993	13
111	mwrty	13
111	pappaberg	13
111	JETrotter	13
111	Groundler	13
111	Lirael42	13
111	smogfrog	13
118	ratglock	12
118	__Fanda__	12
118	U_Mos_	12
118	F_Uhre	12
118	DarkS0L	12
118	sp00ky_ghost977	12
118	SvenskaHugo	12
125	Napoleonpancake	11
125	I_Am_Mushkin	11
125	Zippyzam	11
125	kars0n	11
125	Skylord_Luke	11
125	Shiirazu	11
125	monky_irl	11
125	Mistruth	11
133	Wooptey	10
133	ABUSNA1996	10
133	SoftSix	10
133	_HoneySlime_	10
133	Scathra	10
133	Nach0Bear	10
133	TableTim	10
133	SuperPooch06	10
133	Hiryu27	10
133	LilLizardWizard	10
133	NameGenerat0r	10
133	jnp_gaming	10
145	j4ck811	9
145	SugarMyNuggets	9
145	Frozil20	9
145	_Dean_123	9
145	caesarleon	9
145	AuroraSkies	9
145	Vicemaniac	9
145	calamariclam_I	9
153	Hormones	8
153	noodlepack	8
153	4774	8
153	noam464	8
153	AJplaysMC_	8
153	Fast_Turtle	8
153	Hoid_the_Roamer	8
153	BRRRN179	8
153	thgrocks	8
153	TheSeismicDuck	8
153	djancak	8
164	q_wq	7
164	Sleek_Storm_721	7
164	spaece	7
164	TheSecondLord	7
164	m_be9	7
164	M_Patata	7
164	Di_infiri	7
164	ItsAki_	7
164	MasterNueve	7
164	TrollerYT	7
164	HesDemonPants	7
175	jspwn	6
175	Reamdin	6
175	301851	6
175	ProfessorBee	6
175	ellefuji	6
175	DAD_1996	6
175	Werbe	6
175	Kouridragon	6
175	cedric72	6
175	NormanFetus	6
175	HellsSponge	6
175	Quincannon	6
175	Blaiku	6
175	lolpoottoot	6
175	Kowcio_	6
175	noodlesforbrains	6
175	Enderxz3	6
175	TechnoNinja64	6
193	TheMaster972	5
193	picardred	5
193	DarkFisto	5
193	Comma__	5
193	libbytingz	5
193	Dali1465	5
193	Inchef	5
193	ApophisNova	5
193	KartivGal	5
193	parapluu	5
193	Mr_Sun15	5
193	Leyna3	5
193	censorsheep	5
193	Hisiste	5
193	LordSpeed37	5
193	OfficerAnvil	5
193	Haadrada	5
193	MyNamaSheff	5
193	mountaingirl311	5
212	Iagoku	4
212	Natty	4
212	heckface	4
212	_Nat666	4
212	TheDiamondCG	4
212	set67	4
212	SharpDev	4
212	Zaridey	4
212	Silvo614	4
212	KillerNekoRain	4
212	Revwood	4
212	epiksk8erduck	4
212	Meatlaugh	4
212	Dakar_	4
212	Typadopoulos	4
212	IdeallyGrey	4
228	fanofbands101	3
228	CloroxBleach385	3
228	TildaAndrea	3
228	SOA1RR	3
228	titanlax	3
