rank	username	minecraft:mined/minecraft:dark_oak_log
1	Blackberry1310	32175
2	EveryonesUncle	29838
3	burbankbuilder28	27663
4	TheShyPig	26972
5	Euclidoris	25011
6	Smoke____	24911
7	500am	17151
8	m_be9	15935
9	gcaisawesome	14564
10	HellsSponge	12287
11	Frozil12	10347
12	beeperbeeper5	9568
13	stahouo	9491
14	joethahobo	9030
15	El_Jalapeno	8983
16	Snowflowe	7549
17	Freak_Genius	7539
18	EMC_	7524
19	teslawolf38	7501
20	Arceus1975	6398
21	Werbe	6364
22	pintsizedrogue	6151
23	NomadicRobin_	6050
24	MyNameIsJobo	5935
25	TechnoNinja64	5919
26	M_Patata	5767
27	TheSecondLord	5708
28	paranoid_plant	5558
29	kekhon	5402
30	PigDab	5331
31	Hisiste	5293
32	Ezekson	5287
33	ROY4LE	5065
34	MasterNueve	4986
35	2Stout	4935
36	EcksD	4693
37	eitanzaki	4516
38	Enderslayerxz3	4408
39	anbbang	4406
40	Russiancat1	4404
41	Hiryu27	4048
42	CollinMH06	3699
43	Zythose	3596
44	Skippeh	3512
45	Merv__	3487
46	wezzzi	3441
47	Akoot_	3438
48	Fullut	3363
49	Di_infiri	3333
50	Deguns123	3307
51	SammiWolfGirl	3280
52	GingerNeutron	3259
53	Winklepicker279	3180
54	Spacewardharpy7	3162
55	Mahoose	3130
56	Darkgon	3079
57	Kowcio_	3028
58	ImpavidArcher	3012
59	DarlaMeow	2983
60	stuy9	2955
61	Inbefour	2949
62	RebelAndroid	2937
63	SuperPooch06	2921
64	rarrq	2898
65	YoshikageBites	2857
66	Awyrlas	2846
67	oxfordschool	2722
68	Notta	2720
69	XxCookiequeenxX	2630
70	TheDankPlatypus	2593
71	HesDemonPants	2582
72	RodSerlingCringe	2573
73	Bandito_Roamer	2527
74	_Cloverbelle_	2469
75	selectrix	2464
76	Sky_light_KING	2429
77	_NieToksikpl_	2333
78	AngalexikCZ	2330
79	thescout7	2319
80	BlancoFlaco	2286
81	censorsheep	2270
82	thewindmillman	2135
83	Eraxa	2118
84	Quotary	2086
85	SvenskaHugo	2064
86	beeleg	2005
87	CharlieButt	2004
88	ExtraDumb	1998
89	Nicky_H225	1995
90	Paintz	1981
91	Tobinator_007	1980
91	RobotMinion101	1980
93	LeeMcGee30	1966
94	RatatJuice	1962
95	Barlycorn	1955
96	Deathkob	1938
97	Hermanni__	1923
98	Kubeusz2010	1891
99	Legendosh	1864
100	MustaLoordi	1784
101	Soplight	1732
102	Kakolbus	1724
103	ImDisconnected_	1717
104	xxPipperDipperxx	1706
105	audiocracked	1688
106	Cowison	1657
107	AnnieBathory	1654
108	Nycteus_	1622
109	eviltunix	1610
110	set67	1600
111	tobinwilliams	1597
112	Dusk_95	1589
113	fluddd	1578
114	DTwenty	1577
115	avalan64	1561
115	PlasticOtari	1561
117	pixelviolin	1556
118	seramalen	1550
119	AuroraValkyrie	1536
120	jacxhadow	1513
121	Hoid_the_Roamer	1500
122	SpaceGrenadier	1463
123	TheOnlyRake	1447
124	r123moore	1445
125	SDMNAEK	1442
126	Maenara	1428
127	SaucyDark	1425
128	ProfessorBee	1412
129	6king6colt6	1401
130	Onennon	1398
131	Motsaro	1344
132	Nicserso	1329
133	dudcreeper	1323
134	YungMaki	1320
135	MyNameIsDakar	1315
136	FirsTimeGamingTV	1305
137	noam464	1297
138	lillips	1264
139	Optiprimus	1262
140	Typadopoulos	1261
141	Blaiku	1237
142	BronkerBrum	1235
142	DarkS0L	1235
144	djancak	1223
145	Jiminie	1221
145	MineMaster0012	1221
147	Groovy_MoonBird	1220
148	lordpipe	1206
149	KingMatthew506	1199
150	Cortexia	1181
151	Meatlaugh	1169
152	_Razar	1168
153	yulgur1	1147
154	__tomato	1140
155	T045RTY	1129
156	Sheldor097	1116
157	hollowww	1115
158	Sleek_Storm_721	1106
159	NameGenerat0r	1102
160	gabriels543	1063
161	Blu3beast	1050
162	Xclax101	1036
163	fkGrim	1035
163	The_slideV3	1035
165	chipklip	1018
166	benediktine1	1017
167	awesomeoneme	1016
168	Lord_Jord	1002
169	Ssor69	990
170	Malorn_Aetherius	986
171	Shogunite	977
172	MightyWertu	953
173	CalebDHawk	951
174	MilleGrug	950
175	Paint	940
176	RoskobiOne	921
177	Inchef	905
178	Jij0	903
179	SellyZ	892
180	thgrocks	879
181	Jovaphobic	878
182	EcksDofficial	867
183	Dreamdbr14	861
184	Scathra	846
185	Natty	837
186	PortlyPete69	832
187	Kateesaur	816
188	ooga47	805
189	Stiar	802
190	2blox	801
191	lcvezra	798
192	Ecplosive	780
193	_Karmaa	761
194	Hyperphoenix42	759
194	KeruNatsema	759
196	Queen_Jalapeno	757
197	Hyugo	739
198	diamondgolem35	736
198	bigstankyy	736
200	Kyrum2169	724
201	Rumpletaezer	722
202	AlphaWolfPlaysMC	699
203	CoffeeNoir	680
204	PhantomsGhost_	678
205	GoofyBread	673
206	PabloGonza02	672
