rank	username	minecraft:mined/minecraft:budding_amethyst
1	pintsizedrogue	1044
2	Hyp3rion_	858
3	MilleGrug	751
4	TheSecondLord	393
5	tsitrawhy	263
6	Dan_Scha	216
7	ApophisNova	170
7	MyNamaSheff	170
9	500am	140
10	Kubelz	111
11	Enderslayerxz3	109
12	RatatJuice	104
13	TheDankPlatypus	98
14	Legendosh	88
15	Jiminie	80
16	Steelynan	75
17	mihimihimihi	73
17	Miko_Fullbuster	73
19	Snowflowe	69
20	Kowcio_	65
20	Hermanni__	65
22	diamondgolem35	62
22	00000000-0000-0000-0009-01ff0c3e5e4f	62
24	MrKrabOnCoke	59
25	PlasticOtari	57
26	_Karmaa	53
27	NomadicRobin_	52
28	Mr_Byzantine	50
28	Marbz_	50
30	ZeroAbyssTTV	45
31	Flores991	44
31	Mahoose	44
31	Rexorout	44
34	MinttyFressh	43
34	starbits140	43
36	thewindmillman	40
37	corvidpartyfor6	39
38	Smoke____	36
39	Spacewardharpy7	34
40	eitanzaki	32
40	SuperPooch06	32
42	Huwulling	30
43	EMC_	29
43	prizm_	29
45	rarrq	28
45	KGTV	28
45	gcaisawesome	28
48	Spenduh	27
48	TheOuterCore	27
50	fade_emerge78823	23
50	PigDab	23
50	Jimi7hits	23
50	wwwwinnebagoooo	23
54	Rebytre	21
54	Njensen7	21
56	Killercatty78	20
56	Kakolbus	20
56	smogfrog	20
59	Yahir091	19
60	RoskobiOne	17
60	Lez_	17
60	MSK__	17
60	00000000-0000-0000-0009-01fbab7ea71d	17
64	Mookle96	16
64	SpaggeDR	16
64	MAns_44	16
64	00000000-0000-0000-0009-01f073f37a91	16
68	Silvo614	15
68	Moofyman	15
68	Segotep999	15
71	Frozil20	14
72	hm947	13
72	AlexxO_o	13
72	RadarHz	13
75	Winklepicker279	12
75	Steven1282598	12
77	CharlieButt	11
77	_Boipl_	11
77	Jeteight	11
80	Prismyst	10
80	Auseawesome	10
80	CollinMH06	10
80	masskedman	10
80	lordpipe	10
80	Skippeh	10
86	Racengan	9
86	SvenskaHugo	9
86	YungMaki	9
89	Khelvoryk	8
89	Masssonnn	8
89	egglapras	8
92	xPixelRainx	7
92	Smashic	7
92	Inchef	7
92	SingedBread	7
96	RebelAndroid	6
96	Ghemmah	6
96	Jonte0599	6
96	binman420	6
96	Nycteus_	6
96	ItsDeltaMC	6
96	Sheldor097	6
96	mobunni	6
104	Touched_Bread	5
104	dartwaffle	5
104	AuroraSkies	5
104	Not_Insom	5
104	pixelviolin	5
104	GlitchyPlate810	5
104	Weepingbiel	5
111	strongman951753	4
111	_stets	4
111	Alteriity	4
111	beeperbeeper5	4
111	Valoth	4
111	breadbowlgamer	4
111	JitteryJared2	4
111	RoofTyler	4
111	StinkyDiplomat	4
111	microcrisp	4
111	SpacesickPrism	4
122	SyntheticSurgeon	3
122	ShedJr_	3
122	Myszoaz	3
122	12Magner05	3
122	Mattesco	3
122	Wowful	3
122	Fuad_R	3
122	EcksD	3
122	2blox	3
131	ImpavidArcher	2
131	ccwildfire1	2
131	BINKENSTOCK	2
131	smarticuno	2
131	Jonafrog99	2
131	ToastedGamingYT	2
131	yulgur1	2
131	lillips	2
131	LazySupport00	2
131	iSammael	2
131	IdeallyGrey	2
131	coobert42	2
143	_Huge_Male_	1
143	tuckerdoodle	1
143	Ryker	1
143	ZaneABrain	1
143	Da_Boss_Rani	1
143	Sleepy_Time_	1
143	QuiCreans	1
143	NieToksikpl	1
143	Crowman1	1
143	Kkanot	1
143	Xalithia	1
143	HolyVenom	1
143	lizardfightclub	1
143	groofles	1
143	fw3xywashere	1
143	Lord_Zacler	1
143	Deathkob	1
143	Lutres_Torane	1
143	shrimp_flips	1
143	NameGenerat0r	1
143	UCP_TheKingK	1
143	Soplight	1
143	infiniteQuery	1
143	PortlyPete69	1
143	Xi_J1nping	1
143	WYFYoyo	1
