rank	username	minecraft:mined/minecraft:acacia_planks
1	Franco093	2523
2	beeperbeeper5	2232
3	AdmiralSmoke	1577
4	Meatlaugh	813
5	YungMaki	775
6	ApophisNova	639
6	MyNamaSheff	639
8	Groovy_MoonBird	635
9	Hoid_the_Roamer	607
10	Blackberry1310	548
11	KarlKaek	512
12	Steelynan	501
13	Soul_Atreus	457
14	Doom_melon	448
15	EveryonesUncle	445
16	Werbe	423
17	eitanzaki	419
18	set67	407
19	Merv__	388
20	4774	365
21	2Stout	358
22	corvidpartyfor6	336
23	Powowowow	308
24	Mattesco	296
25	Apollo_993	260
26	Bandito_Roamer	254
26	Zaridey	254
26	lordpipe	254
29	Spacewardharpy7	253
30	ProfessorBee	240
31	jewbacaman	237
32	Mahoose	230
33	TheSeismicDuck	229
34	El_Jalapeno	202
35	AnnieBathory	178
36	peach0s	164
37	TechnoNinja64	163
38	ThePoliteG	156
39	Mowelan	152
40	thgrocks	151
41	FreakGenius	145
42	Mr_Byzantine	143
43	Kakolbus	135
44	Syropatathe	134
44	luseis	134
46	Ezekson	131
47	youhjjhhhjj	127
48	Inbefour	118
48	Soplight	118
50	fade_emerge78823	116
50	Malware_Mara	116
52	Barlycorn	109
53	IAmTheWalrus910	108
54	ChillenChiggen	102
55	Winklepicker279	101
56	Chuvacevedo	98
57	NameGenerat0r	96
58	m_be9	90
59	xXTheWolfmanXx	85
59	lilsay	85
59	Seindi	85
62	ItsDeltaMC	81
63	MS_Pryxx	77
64	Lez_	75
65	ProfessorDiaper	72
66	pintsizedrogue	65
66	ChocolatePepsi	65
68	wickedword	64
69	mariominejedi	61
69	Fuad_R	61
71	smogfrog	60
72	TheShyPig	59
72	KingMatthew506	59
74	ConnorDanky_	56
75	LeeMcGee30	53
76	kekhon	52
77	oscminus	51
77	JESS_THE_RERE	51
77	starbits140	51
77	561cool	51
81	excelsionprime	49
81	Hiryu27	49
83	CueMix	48
83	TastyPorkchop	48
85	Onennon	47
86	fr_ser	46
86	Hyp3rion_	46
88	TJawesome09	45
88	HellsSponge	45
90	Karetoko	44
91	Frozil20	43
92	LeonelSalamanca	42
93	CLG_Kata	40
94	CoffeeNoir	37
94	Manaateee	37
94	Reocee	37
94	fffMike	37
98	r123moore	36
98	legal_tax_evader	36
100	Jackster03	34
100	dopplexd	34
100	hanaryheatwave	34
103	EMC_	31
103	Fractured_	31
103	Skylord_Luke	31
103	KlausVonStiglitz	31
107	FreddyFart	30
107	JasmineGK	30
109	MoistMicrowave	29
109	MineMaster0012	29
111	Ilinca_Io	28
