rank	username	minecraft:mined/minecraft:crimson_stairs
1	Awyrlas	395
2	beeperbeeper5	374
3	rarrq	136
4	Steelynan	124
5	Mahoose	81
6	Legendosh	73
7	Marbz_	71
8	12Magner05	63
9	Lord_Jord	55
10	livingdaydreams	48
11	_Razar	35
12	Billious	34
13	Smoke____	21
14	lordpipe	20
15	RebelAndroid	19
16	Freak_Genius	18
17	Luigipunch989	17
18	kyouma777	15
19	Rebytre	14
19	Syropatathe	14
19	Optiprimus	14
22	himak1	13
23	ShedJr_	12
24	kekhon	11
24	MyNameIsDakar	11
26	PlasticOtari	10
27	soundad	9
27	Lez_	9
29	EveryonesUncle	8
29	iHuntWeeaboos	8
29	Kowcio_	8
32	KarlKaek	7
32	Touched_Bread	7
32	HellsSponge	7
35	Lutres_Torane	6
36	thewindmillman	5
37	BobDeBouwer1337	4
37	set67	4
39	r123moore	3
39	breadbowlgamer	3
39	Jiminie	3
39	BiggieDawg	3
43	pintsizedrogue	2
43	noam464	2
43	cwartzo	2
43	Skylord_Luke	2
43	TheShyPig	2
48	SteveCraftBlocks	1
48	fReE_bAtWiNg	1
48	shrimp_flips	1
48	Frozil12	1
48	Eraxa	1
48	obzii	1
