rank	username	minecraft:mined/minecraft:cherry_fence
1	Lez_	381
2	Enderxz3	94
3	11Brewer	75
4	skitzxo	63
5	Alteriity	60
6	myaccountwasgone	49
7	royal_2	29
8	Kowcio_	26
9	OreTheBear	25
9	robonya_	25
11	MattieHD	24
12	bl1ss0	23
13	StarCookiees_	18
14	pretty_pink_reno	15
15	Werbe	11
16	pintsizedrogue	8
16	k_ce	8
18	lordpipe	7
18	FiguraDei	7
20	icim	6
21	Napoleonpancake	5
22	Mattesco	4
22	Mikael_Kuningas	4
24	RatatJuice	3
24	Nach0Bear	3
24	Krowuss	3
24	RebytreGT	3
28	_witch_craft_	2
29	Reneedium	1
29	oscminus	1
29	XxCookiequeenxX	1
29	Pumpkin_P_Patch	1
29	KamFurnace	1
