rank	username	minecraft:mined/minecraft:dead_tube_coral_block
1	Legendosh	187
2	Blu3beast	156
3	eitanzaki	76
4	h2p_emrld	57
5	Di_infiri	35
6	diamondgolem35	27
7	1442	25
8	pintsizedrogue	21
8	Blackberry1310	21
10	lcvezra	17
11	Groovy_MoonBird	12
11	EcksD	12
13	Ezekson	11
14	Kouridragon	10
15	Inchef	7
16	ImpavidArcher	6
16	YungMaki	6
18	SuperPooch06	5
19	burbankbuilder28	4
19	DC_XII	4
21	hm947	3
21	BodaciousCake	3
21	Ssor69	3
21	M_Patata	3
21	Lord_Jord	3
21	HellsSponge	3
21	MasterNueve	3
21	Nagasaki_Riku	3
29	Ailmast	2
29	titanlax	2
29	Cryptacity	2
29	kekhon	2
29	_Dean_123	2
29	Marbz_	2
29	Nicky19	2
29	cytotoxaint	2
29	TechnoNinja64	2
38	hollowww	1
38	SaucyDark	1
38	Paleshield	1
38	beeperbeeper5	1
38	12Magner05	1
38	thewindmillman	1
38	ApophisNova	1
38	TheShyPig	1
38	_Karmaa	1
38	Freak_Genius	1
38	Xclax101	1
38	fluddd	1
38	SkateboardR6	1
38	SammiWolfGirl	1
38	_TCARREIRA_	1
38	MyNamaSheff	1
