rank	username	minecraft:mined/minecraft:cobbled_deepslate_wall
1	EMC_	448
2	Nicserso	232
3	Kubelz	204
4	Mr_Byzantine	109
5	Jackattack53	90
6	PlasticOtari	79
7	pintsizedrogue	68
8	corvidpartyfor6	41
9	mobunni	31
10	AltnumberF4	22
11	CoffeeNoir	17
11	dartwaffle	17
13	ZoomieZoomie	15
14	Megarboh	13
15	Invintic	10
16	AdmiralSmoke	9
16	00000000-0000-0000-0009-01ff0c3e5e4f	9
18	TheSecondLord	8
19	jessewegottacook	7
19	prizm_	7
21	tuckerdoodle	6
21	Smashic	6
23	Huwulling	5
23	Mahoose	5
23	lorpus	5
23	Wowful	5
23	Jimb0nat0r	5
28	Ev0luti0nz	4
28	PazinGaming	4
28	Sleepy_Time_	4
28	groofles	4
32	JETrotter	3
33	500am	2
33	Mookle96	2
33	luseis	2
33	weabis	2
33	CattSoup	2
33	00000000-0000-0000-0009-01f073f37a91	2
39	k_ce	1
39	Crowman1	1
39	thewindmillman	1
39	Fuad_R	1
39	SpacesickPrism	1
