rank	username	minecraft:mined/minecraft:tube_coral_wall_fan
1	Kouridragon	741
2	Legendosh	499
3	ImpavidArcher	325
4	TheShyPig	173
5	Hyp3rion_	121
6	Spacewardharpy7	106
7	pintsizedrogue	105
8	500am	86
9	12Magner05	76
10	Onennon	74
11	ApophisNova	68
11	MyNamaSheff	68
13	Enderslayerxz3	64
14	RoskobiOne	62
14	_Dean_123	62
14	lordpipe	62
17	AuroraValkyrie	61
18	Mahoose	54
18	Mewar	54
20	Fullut	52
21	Di_infiri	50
22	YungMaki	46
23	livingdaydreams	45
24	Merv__	43
24	thewindmillman	43
26	Vetral1	38
27	HellsSponge	35
28	joethahobo	33
28	noam464	33
30	kekhon	31
30	cytotoxaint	31
32	Quaintster	30
32	IdeallyGrey	30
34	Ssor69	29
35	Blackberry1310	26
36	Nagasaki_Riku	25
37	Xalithia	23
37	Jiminie	23
39	Rumpletaezer	21
39	__tomato	21
41	Iagoku	19
41	eiC_	19
41	FreddyFart	19
41	Blu3beast	19
41	Xclax101	19
46	aec9	18
47	TheDankPlatypus	17
48	PigDab	16
48	Inbefour	16
48	KingMatthew506	16
48	EcksD	16
48	h2p_emrld	16
53	Jovaphobic	15
53	Smoke____	15
55	SaucyDark	14
55	Marbz_	14
55	djancak	14
58	Arceus1975	13
58	Maenara	13
58	Luigipunch989	13
58	Zoeyfortnite	13
62	urbeans	12
62	Inchef	12
62	r123moore	12
62	Jackattack53	12
66	1442	11
66	Blaiku	11
66	PortlyPete69	11
66	PlasticOtari	11
70	HolyVenom	10
70	TheSeismicDuck	10
72	T045RTY	9
72	Noah_Bez	9
72	Typadopoulos	9
72	TechnoNinja64	9
72	diggydog67	9
77	eitanzaki	8
77	beeperbeeper5	8
77	loveseeker	8
77	RobotMinion101	8
77	Deathkob	8
77	stellarjay	8
77	MilleGrug	8
77	Nicserso	8
85	6king6colt6	7
85	Historical_Sand	7
85	surfinggiraffejp	7
85	Kakolbus	7
85	SuperPooch06	7
85	Karbl	7
85	pixelviolin	7
85	sebastiensaborio	7
85	Powowowow	7
94	Rebytre	6
94	Eerini	6
94	XxCookiequeenxX	6
94	Fizznut909	6
98	CollinMH06	5
98	Kynigito	5
98	NameGenerat0r	5
98	Dusk_95	5
98	lcvezra	5
103	Bandito_Roamer	4
103	dudcreeper	4
103	ShedJr_	4
103	NotoriousNina	4
103	MyNameIsJobo	4
103	burbankbuilder28	4
103	monky_irl	4
103	Western_1	4
103	Sral7	4
112	Groovy_MoonBird	3
112	bloodbiter	3
112	domagawha	3
112	Nicky19	3
112	SpookyDraggin	3
112	Jiminbub	3
112	fkGrim	3
112	KlausVonStiglitz	3
112	balin55	3
112	claivin	3
112	censorsheep	3
112	Factoroni	3
112	sp00ky_ghost977	3
112	SammiWolfGirl	3
112	oxfordschool	3
127	hollowww	2
127	IWorkAtIkea	2
127	InfernalMound	2
127	ratglock	2
127	TheSecondLord	2
127	emrekn	2
127	arcanemagic	2
127	SokaOtaku	2
127	Bumpy419	2
127	Voxin2K	2
127	fred870d	2
127	_Cloverbelle_	2
127	_Bguette_	2
127	chipklip	2
127	YungWali	2
127	_Karmaa	2
127	Freak_Genius	2
127	DarkLawD	2
127	SexcMf	2
127	Spenduh	2
127	GlitchyPlate810	2
127	erkada	2
127	Skippeh	2
127	OfficerAnvil	2
127	Apicomplexa	2
127	YoshikageBites	2
153	nataliecool	1
153	I_Am_Mushkin	1
153	diamondgolem35	1
153	hm947	1
153	Paleshield	1
153	BodaciousCake	1
153	titanlax	1
153	Cryptacity	1
153	Ardennes	1
153	ProfessorBee	1
153	shyshyannne	1
153	Irko	1
153	hcb238	1
153	Covalents	1
153	Paintz	1
153	fr_ser	1
153	Studyhallsaver	1
153	Hiryu27	1
153	The11thDoctor	1
153	lizardfightclub	1
153	aa2x_	1
153	HoldThatPee	1
153	ADEXTV	1
153	Akoot_	1
153	audiocracked	1
153	Babushka0430	1
153	Renchi19	1
153	The_slideV3	1
153	MustaLoordi	1
153	El_Jalapeno	1
153	fluddd	1
153	IAmTheWalrus910	1
153	MakeHistory157	1
153	ZoharGoldMine	1
153	laron58	1
153	Ezekson	1
153	BreadBacon	1
153	FishisTTV	1
