rank	username	minecraft:mined/minecraft:andesite_wall
1	Mahoose	446
2	EcksDofficial	361
3	EMC_	271
4	TheShyPig	201
5	m_be9	190
6	_Karmaa	182
7	pintsizedrogue	172
8	Lukeee33	158
9	PortlyPete69	113
10	Kakolbus	107
11	Lord_Jord	98
12	joethahobo	94
13	DemTechAlpha	74
13	Racengan	74
15	Sky_light_KING	68
16	Legendosh	67
17	IvarEXE	61
18	PlasticOtari	59
19	ShedJr_	58
19	rarrq	58
19	lcvezra	58
22	Ezekson	51
23	Enderslayerxz3	48
24	Onennon	37
25	Smoke____	36
26	Malorn_Aetherius	35
27	noam464	34
28	stavgod	33
28	Steelynan	33
30	beeperbeeper5	31
31	leaf26	30
32	_Boipl_	27
33	Cryptacity	24
33	Sheldor097	24
35	djancak	23
36	Shiirazuku	22
37	500am	20
37	valkam13	20
39	MightyWertu	19
40	SquadMonster	17
40	Soplight	17
40	Teebone15	17
43	soundad	16
43	HellsSponge	16
45	Historical_Sand	15
45	ooga47	15
45	Fuhrer_Teemo	15
48	NotMeanttoChange	14
48	Doom_melon	14
50	GravitySaint	13
51	ImpavidArcher	12
51	livingdaydreams	12
51	jacxhadow	12
51	Di_infiri	12
51	yatsuta	12
56	Groovy_MoonBird	11
56	smogfrog	11
58	eitanzaki	10
58	Alphanzt99	10
58	TheSecondLord	10
58	Maenara	10
58	Jiminie	10
58	Smiguli_	10
64	Stiar	9
64	CruncyIsTaken	9
64	Optiprimus	9
64	RoboTramp7865	9
64	jnp_gaming	9
69	Merv__	8
69	El_Jalapeno	8
69	Kowcio_	8
72	Spacewardharpy7	6
72	NotMeowMix	6
74	Mr_Byzantine	5
74	numbra	5
74	benediktine1	5
74	Inbefour	5
74	Deathkob	5
74	anbbang	5
80	Natty	4
80	CharlieButt	4
80	The_slideV3	4
80	fluddd	4
80	YungMaki	4
85	SaltineDream	3
85	Blackberry1310	3
85	Comma__	3
85	SellyZ	3
85	ayqq	3
85	ApophisNova	3
85	Truckoss	3
85	cedric72	3
85	MonitorLizards	3
85	07shiny	3
85	Quotary	3
85	MyNamaSheff	3
85	Nicserso	3
98	BigBootyHudge	2
98	Hpdinosaur	2
98	BobDeBouwer1337	2
98	Inchef	2
98	iTurbo	2
98	Felenov	2
98	Agent108	2
98	Quincannon	2
98	Jamstroxian	2
98	lordpipe	2
98	starbits140	2
98	Hermanni__	2
98	oxfordschool	2
111	Sleek_Storm_721	1
111	Megarboh	1
111	G1ldor	1
111	himak1	1
111	jedi_george	1
111	Mattesco	1
111	_naturell	1
111	yulgur1	1
111	NomadicRobin_	1
111	Freak_Genius	1
111	WyngGoy	1
111	annoyingenderman	1
111	CalebDHawk	1
111	monolu	1
111	The_SlideV5	1
111	Yahrto	1
111	trexgb	1
111	Dank_Substance	1
111	h2p_emrld	1
