rank	username	minecraft:mined/minecraft:birch_pressure_plate
1	500am	56
2	joethahobo	41
3	YungMaki	38
4	KarlKaek	35
5	MelodyGaysharks	32
6	Werbe	26
7	MakeHistory157	25
8	kekhon	16
9	Fullut	15
9	Ezekson	15
11	legal_tax_evader	11
11	cichy096	11
11	xolstoi	11
14	pintsizedrogue	10
15	heckface	9
15	Cellcorgi649	9
15	LexMakesHistory	9
15	IAmTheWalrus910	9
19	DermeinUser	8
19	TheShyPig	8
19	UCP_TheKingK	8
22	ItsHydroMC	7
22	crying_wolf_13	7
24	mwrty	6
24	StarCookiees_	6
26	SuperPooch06	5
26	The_Cruncy	5
26	Onennon	5
29	EMC_	4
29	Ryan_GEMS	4
29	Lez_	4
29	spellmre	4
29	Optiprimus	4
29	Eraxa	4
29	Kubeusz2010	4
29	PlasticOtari	4
37	CoffeeNoir	3
37	Mahoose	3
37	ShedJr_	3
37	beeperbeeper5	3
37	TheSecondLord	3
37	MyNameIsJobo	3
37	thewindmillman	3
37	Snowflowe	3
37	Btabtab	3
37	Mr_Sun15	3
37	Gryglu583	3
37	KlausVonStiglitz	3
37	Blu3beast	3
37	BumbleBeever	3
37	BlankityMcBlank	3
37	EcksD	3
53	Tommhh	2
53	rarrq	2
53	Jokerman369	2
53	Smashic	2
53	Inchef	2
53	xxPipperDipperxx	2
53	noam464	2
53	F_Uhre	2
53	ADEXTV	2
53	EveryonesUncle	2
53	Meatlaugh	2
53	El_Jalapeno	2
53	djancak	2
53	ConnorDanky_	2
53	Enderxz3	2
68	PhantomsGhost_	1
68	diamondgolem35	1
68	ImpavidArcher	1
68	Wooptey	1
68	T045RTY	1
68	SteveCraftBlocks	1
68	TheDiamondCG	1
68	thescout7	1
68	Jackattack53	1
68	oscminus	1
68	Samificator	1
68	IamCL4SSY	1
68	AlexChristian	1
68	The_Quack_Dealer	1
68	KermitTheKripple	1
68	claivin	1
68	fluddd	1
68	ayamefag	1
68	pixelviolin	1
68	MineMaster0012	1
68	ediballbearings	1
68	Nicserso	1
68	AltnumberF4	1
68	AdmiralSmoke	1
