rank	username	minecraft:mined/minecraft:polished_blackstone_bricks
1	lizardfightclub	9226
2	Mattesco	6364
3	Deathkob	5637
4	thewindmillman	5614
5	noam464	4600
6	pintsizedrogue	4173
7	Legendosh	3350
8	TheSecondLord	3264
9	YungMaki	2594
10	RebelAndroid	2538
11	12Magner05	2318
12	FreakGenius	2113
13	HellsSponge	2029
14	Spacewardharpy7	1748
15	burbankbuilder28	1678
16	TheShyPig	1510
17	Awyrlas	1486
18	luseis	1452
19	Fullut	1394
20	500am	1390
21	kekhon	1347
22	beeperbeeper5	1307
23	PlasticOtari	1297
24	PazinGaming	1177
25	r123moore	1156
26	T045RTY	1085
27	Winklepicker279	1044
28	Racengan	989
29	rarrq	985
30	set67	977
31	00000000-0000-0000-0009-01ff0c3e5e4f	955
32	Decaying_Lotus	932
33	Blaiku	915
34	lorpus	899
35	Dusk_95	877
36	Hyp3rion_	860
37	EveryonesUncle	858
38	ZoomieZoomie	848
39	eitanzaki	784
40	mwrty	762
41	Cowison	745
42	Enderxz3	731
43	ApophisNova	718
43	MyNamaSheff	718
45	Solar_Power	710
46	MyNameIsDakar	675
47	Lord_Jord	647
48	Marbz_	630
49	ShedJr_	624
50	ConnorDanky_	622
51	joethahobo	603
52	Zythose	597
53	MinttyFressh	537
54	ITDV	526
55	PigDab	512
56	Steelynan	511
57	Smoke____	488
58	k_ce	459
59	Alteriity	449
60	wwwwinnebagoooo	447
61	Moofyman	438
62	livingdaydreams	422
63	RoofTyler	397
64	CliffEmAll	391
65	Billious	379
66	MAns_44	368
67	fanofbands101	355
68	UCP_TheKingK	348
69	Kowcio_	318
70	Jonafrog99	316
71	SmashingPump	314
72	KeruNatsema	308
73	ROY4LE	301
74	Eczbek	291
75	_Virify_	286
76	himak1	283
76	Mythic1130	283
78	crying_wolf_13	279
78	Iamthejo	279
80	chipklip	271
81	djancak	267
82	Skylord_Luke	263
83	Eraxa	257
84	ogoa	251
85	Ezekson	250
86	ooga47	248
87	gusstationwerker	237
88	FishyBoy3811	231
89	CACTUSLAD	226
89	Kubeusz2010	226
91	RealGroot	217
92	Mahoose	211
93	Di_infiri	207
94	Kakolbus	203
95	monky_irl	197
96	DarlaMeow	194
97	Shogunite	189
98	Snowflowe	188
99	Rebytre	183
100	_Razaria	179
101	FazeObama69	178
102	SammiWolfGirl	177
103	SkateboardR6	164
104	Werbe	161
105	pixelviolin	157
106	gcaisawesome	156
106	ZA07	156
108	ImpavidArcher	152
108	benediktine1	152
108	Jackattack53	152
111	diggydog67	148
112	diamondgolem35	147
113	fw3xywashere	146
114	Huwulling	138
114	2Stout	138
116	GlitchyPlate810	133
117	BobDeBouwer1337	128
118	Lez_	125
119	drunkeeez	122
120	little_dUki	121
121	Inchef	120
121	EcksD	120
123	Groovy_MoonBird	118
123	Elastiq	118
125	CalebDHawk	116
126	6king6colt6	108
126	Crowman1	108
126	EngagedGrub41	108
129	fffMike	101
130	DarkS0L	98
130	SingedBread	98
132	Akoot_	94
132	Jimb0nat0r	94
134	Secret_Canary	91
135	Hpdinosaur	87
136	Frozil20	86
137	trexgb	84
138	Myrlewen	83
139	NomadicRobin_	82
140	jacxhadow	80
141	F_Uhre	78
142	Jakobo1337	71
143	IvarEXE	70
144	4774	69
145	Luigipunch989	64
146	Maenara	61
147	fluddd	59
147	Hermanni__	59
149	Smashic	57
150	Vorlice	53
151	Historical_Sand	51
152	TheOuterCore	48
153	Nycteus_	46
154	Prismyst	43
154	bearlystraight	43
156	_Huge_Male_	42
156	PhantomsGhost_	42
156	LazySupport00	42
159	xolstoi	41
160	Eraza	36
160	King_Pancake1	36
162	07shiny	35
162	tartanboy	35
164	__lizi	34
165	JitteryJared2	33
166	Blackberry1310	32
167	Chromary	31
168	_Boipl_	30
169	gustarlep	29
169	WYFYoyo	29
171	CoffeeNoir	27
171	ratglock	27
173	eclipseboi	26
173	PortlyPete69	26
173	RadarHz	26
176	SpacesickPrism	23
177	Paint	22
177	fade_emerge78823	22
177	Afinnity	22
180	Yatitay	21
180	Klerick	21
180	NameGenerat0r	21
183	Hisiste	20
183	cichy096	20
185	Fuad_R	19
186	Touched_Bread	18
186	iSammael	18
188	Soplight	17
189	shineh10	16
189	DanTheBuilderino	16
189	2bolx_	16
192	TheFlfthHorseman	15
193	soundad	14
194	yulgur1	13
194	TheTommyGun63	13
194	jcool7	13
197	NinjaKnifeKill	12
197	mariominejedi	12
197	TinyTheMelon	12
200	xxPipperDipperxx	11
200	Arceus1975	11
200	masskedman	11
200	brofrickcheaters	11
204	Myszoaz	10
204	titanlax	10
204	Luminad3	10
204	SaintJosie	10
204	youarefrench_	10
204	anbbang	10
210	EMC_	9
210	BlancoFlaco	9
210	AlexxO_o	9
210	Optiprimus	9
210	FelixPSY375	9
215	WET_WET_WET	8
215	CattSoup	8
217	Apollo_993	7
217	ExtraDumb	7
217	ChampPog_	7
217	olliebollie48	7
217	prizm_	7
217	breadbowlgamer	7
217	Syropatathe	7
217	bluefragmentt	7
225	gren_ben	6
225	SquadMonster	6
225	m_be9	6
225	noodlepack	6
225	LittleIan365	6
225	zToasty69z	6
225	hdtpm	6
225	MissCeleste7	6
233	hm947	5
233	Mookle96	5
233	SuperPooch06	5
233	claivin	5
233	Blu3beast	5
233	ItsDeltaMC	5
233	Razzgriz	5
240	AuroraValkyrie	4
240	KarlKaek	4
240	jimbo61101jr	4
240	Killercatty78	4
240	Whiterooster001	4
240	UncreativeArtist	4
240	XboxPanda	4
240	HAIRYCLOUD626	4
240	KartivGal	4
240	jaimshae	4
240	Sheldor097	4
240	mobunni	4
240	Quotary	4
240	00000000-0000-0000-0009-01faf4342590	4
254	PhantomBionic	3
254	Da_Boss_Rani	3
254	4383	3
254	Nicky_H225	3
254	corpsecity	3
254	thebaddruid	3
254	The_Fulgurator	3
254	Quinasin	3
254	LeEricc	3
263	SteveCraftBlocks	2
263	NotTrixi	2
263	PegLegPete93	2
263	YahooScreen9000	2
263	binman420	2
263	Lutres_Torane	2
263	jake314810	2
263	lordpipe	2
263	sp00ky_ghost977	2
263	Kura2218	2
263	Eon_57	2
263	MineMaster0012	2
263	jnp_gaming	2
263	bladeefan2009	2
263	Earlesstrain4	2
263	Teebone15	2
263	FishisTTV	2
263	remmisrat	2
281	Travasaur	1
281	Creativebuilder2	1
281	LeDuctTape	1
281	Flores991	1
281	Incinere	1
281	SyntheticSurgeon	1
281	Pofen	1
281	bloodbiter	1
281	Enigma0251	1
281	Master_Kol	1
281	TheDankPlatypus	1
281	0nly_sn1per	1
281	CollinMH06	1
281	whoaluv	1
281	pappaberg	1
