rank	username	minecraft:mined/minecraft:medium_amethyst_bud
1	Mahoose	224
2	thewindmillman	90
3	Enderslayerxz3	81
4	lordpipe	66
5	pintsizedrogue	48
6	Frozil12	40
7	TheSecondLord	32
8	Hyp3rion_	26
9	pixelviolin	24
10	Jiminie	20
11	Flores991	15
12	diamondgolem35	11
13	Steelynan	10
14	ShedJr_	8
14	ApophisNova	8
14	MyNamaSheff	8
17	12Magner05	7
17	PlasticOtari	7
19	YungMaki	6
20	Myszoaz	5
20	500am	5
20	Kakolbus	5
23	MilleGrug	4
23	Legendosh	4
23	Smoke____	4
26	Smashic	3
26	Kubelz	3
26	PigDab	3
26	ItsDeltaMC	3
26	Kowcio_	3
26	starbits140	3
32	RebelAndroid	2
32	Ryker	2
32	ccwildfire1	2
32	Khelvoryk	2
32	SuperPooch06	2
32	dartwaffle	2
32	AuroraSkies	2
32	SingedBread	2
32	SvenskaHugo	2
32	Hylo482y	2
32	WYFYoyo	2
32	00000000-0000-0000-0009-01ff0c3e5e4f	2
44	eitanzaki	1
44	MSK__	1
44	xPixelRainx	1
44	Xalithia	1
44	Glowhetic	1
44	smarticuno	1
44	breadbowlgamer	1
44	The_Fulgurator	1
44	Rebytre	1
44	NomadicRobin_	1
44	_Karmaa	1
44	wwwwinnebagoooo	1
44	tsitrawhy	1
44	Spenduh	1
44	TheOuterCore	1
44	Skippeh	1
44	Miko_Fullbuster	1
44	smogfrog	1
44	coobert42	1
