rank	username	minecraft:mined/minecraft:oxidized_copper
1	pintsizedrogue	1987
2	luseis	895
3	weabis	722
4	thewindmillman	405
5	Marbz_	352
6	PlasticOtari	275
7	diamondgolem35	204
8	00000000-0000-0000-0009-01ff0c3e5e4f	117
9	Iamthejo	88
10	shrimp_flips	85
11	Fuad_R	79
12	YungMaki	65
13	mihimihimihi	64
14	ZoomieZoomie	60
15	TheWildMateo	52
16	sp00ky_ghost977	44
17	Mattesco	41
18	mobunni	38
19	iSammael	26
20	Spacewardharpy7	25
21	EMC_	24
22	Enderxz3	19
23	Steelynan	13
24	Smoke____	12
25	Huwulling	6
26	Kowcio_	4
27	Jackattack53	3
27	CuzIm2Kev	3
27	EcksD	3
30	MinttyFressh	2
30	TerraVl	2
30	Jimi7hits	2
30	EveryonesUncle	2
34	RoskobiOne	1
34	SmashingPump	1
34	TheSecondLord	1
34	12Magner05	1
34	NameGenerat0r	1
