rank	username	minecraft:mined/minecraft:oak_pressure_plate
1	I_Am_Mushkin	64
2	noam464	60
3	thewindmillman	52
4	YungMaki	39
5	EveryonesUncle	32
6	HellsSponge	29
7	SokaOtaku	22
8	CalebDHawk	18
9	Kubeusz2010	17
10	Jackster03	16
11	PortlyPete69	14
12	_Dean_123	13
13	Xclax101	12
14	Mahoose	11
14	dopplexd	11
16	Maenara	10
17	FirsTimeGamingTV	9
17	SteveCraftBlocks	9
17	MyNameIsJobo	9
17	MovingFish7	9
21	weezygator	8
21	Blackberry1310	8
21	CharlieButt	8
21	moist_jellyfish	8
21	Kateesaur	8
26	GingerNeutron	7
26	BlankityMcBlank	7
26	Western_1	7
29	6king6colt6	6
29	Whiterooster001	6
29	titanlax	6
29	mwrty	6
29	JMK208	6
29	AlphaWolfPlaysMC	6
29	KlausVonStiglitz	6
29	Blu3beast	6
37	youhjjhhhjj	5
37	KomputerDude	5
37	jacxhadow	5
37	kars0n	5
37	Werbe	5
37	The11thDoctor	5
37	OtariCharlie	5
37	AssEatrAndLicker	5
37	El_Jalapeno	5
37	Groundler	5
37	CSG_Haru	5
37	Skippeh	5
49	eitanzaki	4
49	Natty	4
49	Euclidoris	4
49	Upstro10	4
49	kekhon	4
49	CarltheCuck	4
49	RyuNeko932000	4
49	Bumpy419	4
49	CaptainAvenger7	4
49	TheShyPig	4
49	LexMakesHistory	4
49	Freak_Genius	4
49	Sank34	4
49	Njensen7	4
49	OfficerAnvil	4
49	Quotary	4
49	Powowowow	4
66	Jovaphobic	3
66	lionmindset	3
66	ROY4LE	3
66	Gryglu583	3
66	DrGrant	3
66	DanTheBuilderino	3
66	MakeHistory157	3
66	stavgod	3
66	gaming4Naming	3
66	FelixPSY375	3
66	jnp_gaming	3
77	pintsizedrogue	2
77	abramgray	2
77	TildaAndrea	2
77	Slinkyy7071	2
77	BlancoFlaco	2
77	ShedJr_	2
77	Swalt	2
77	Cryptacity	2
77	StanceTB	2
77	MattieHD	2
77	UncreativeArtist	2
77	Awyrlas	2
77	AJplaysMC_	2
77	Onennon	2
77	ClemenPine	2
77	NomadicRobin_	2
77	Living_Storms	2
77	_Bguette_	2
77	chipklip	2
77	Jaka_Saurus_715	2
77	_Karmaa	2
77	BigCronkin	2
77	Frozil12	2
77	Blaiku	2
77	legoclone09	2
77	Shin69	2
77	AssFullaCum	2
77	djancak	2
77	Soplight	2
77	Spenduh	2
77	Luigipunch989	2
77	fffMike	2
77	EcksDofficial	2
77	JayToe	2
111	BleachedBussy	1
111	Travasaur	1
111	Claw262	1
111	Yatitay	1
111	Dedalus36	1
111	ssleepless	1
111	Incinere	1
111	Ssor69	1
111	jjsadler	1
111	TheThomas69	1
111	set67	1
111	CrookedKaptain	1
111	thescout7	1
111	Inchef	1
111	Guno327	1
111	purpolepickle	1
111	TableTim	1
111	Purplehere	1
111	ImDisconnected_	1
111	toj__	1
111	loveseeker	1
111	Di_infiri	1
111	Rumpletaezer	1
111	Arceus1975	1
111	Zythose	1
111	burbankbuilder28	1
111	Fast_Turtle	1
111	ApophisNova	1
111	wordboy107	1
111	Shavrin	1
111	thgrocks	1
111	ILoveCarrot	1
111	MrButterscotch	1
111	KermitTheKripple	1
111	Soap_Bender	1
111	MustaLoordi	1
111	fluddd	1
111	MightyWertu	1
111	Racengan	1
111	BumbleBeever	1
111	Barlycorn	1
111	Fildyr	1
111	DarkLawD	1
111	lordpipe	1
111	Dusk_95	1
111	IAmTheWalrus910	1
111	OG_Songsee	1
111	PabloGonza02	1
111	ayamefag	1
111	kyouma777	1
111	lcvezra	1
111	PlzNoBM	1
111	Hermanni__	1
111	xorompole	1
111	FedirSpectator	1
111	BreadBacon	1
111	MyNamaSheff	1
111	Enderslayerxz3	1
111	FallenCorps	1
111	TechnoNinja64	1
111	Yahrto	1
111	trexgb	1
111	Smoke____	1
