rank	username	minecraft:mined/minecraft:oak_pressure_plate
1	I_Am_Mushkin	64
2	noam464	60
3	thewindmillman	52
4	YungMaki	49
5	EveryonesUncle	32
6	HellsSponge	29
7	SokaOtaku	22
8	CalebDHawk	18
9	Kubeusz2010	17
10	Jackster03	16
11	PortlyPete69	14
12	_Dean_123	13
13	Xclax101	12
14	Mahoose	11
14	dopplexd	11
16	Megarboh	10
16	Maenara	10
18	FirsTimeGamingTV	9
18	SteveCraftBlocks	9
18	MyNameIsJobo	9
18	MovingFish7	9
22	weezygator	8
22	Blackberry1310	8
22	CharlieButt	8
22	moist_jellyfish	8
22	Kateesaur	8
27	GingerNeutron	7
27	BlankityMcBlank	7
27	Western_1	7
30	6king6colt6	6
30	Whiterooster001	6
30	titanlax	6
30	mwrty	6
30	JMK208	6
30	AlphaWolfPlaysMC	6
30	KlausVonStiglitz	6
30	Blu3beast	6
38	youhjjhhhjj	5
38	KomputerDude	5
38	jacxhadow	5
38	kars0n	5
38	Werbe	5
38	The11thDoctor	5
38	El_Jalapeno	5
38	Groundler	5
38	CSG_Haru	5
38	Skippeh	5
38	PlasticOtari	5
49	eitanzaki	4
49	Natty	4
49	Euclidoris	4
49	Upstro10	4
49	kekhon	4
49	CarltheCuck	4
49	RyuNeko932000	4
49	Bumpy419	4
49	CaptainAvenger7	4
49	TheShyPig	4
49	LexMakesHistory	4
49	Freak_Genius	4
49	Sank34	4
49	Njensen7	4
49	OfficerAnvil	4
49	Quotary	4
49	Powowowow	4
66	Jovaphobic	3
66	lionmindset	3
66	ROY4LE	3
66	Gryglu583	3
66	DrGrant	3
66	DanTheBuilderino	3
66	MakeHistory157	3
66	stavgod	3
66	gaming4Naming	3
66	FelixPSY375	3
66	jnp_gaming	3
77	pintsizedrogue	2
77	abramgray	2
77	TildaAndrea	2
77	Slinkyy7071	2
77	BlancoFlaco	2
77	ShedJr_	2
77	Swalt	2
77	Cryptacity	2
77	StanceTB	2
77	MattieHD	2
77	UncreativeArtist	2
77	Awyrlas	2
77	AJplaysMC_	2
77	Onennon	2
77	ClemenPine	2
77	NomadicRobin_	2
77	Living_Storms	2
77	_Bguette_	2
77	chipklip	2
77	Jaka_Saurus_715	2
77	_Karmaa	2
77	BigCronkin	2
77	Frozil12	2
77	Blaiku	2
77	legoclone09	2
77	kyouma777	2
77	Shin69	2
77	AssFullaCum	2
77	djancak	2
77	Soplight	2
77	Spenduh	2
77	Luigipunch989	2
77	fffMike	2
77	EcksDofficial	2
77	JayToe	2
112	BleachedBussy	1
112	Travasaur	1
112	Claw262	1
112	Yatitay	1
112	Dedalus36	1
112	ssleepless	1
112	Incinere	1
112	Ssor69	1
112	jjsadler	1
112	TheThomas69	1
112	set67	1
112	CrookedKaptain	1
112	thescout7	1
112	Inchef	1
112	Guno327	1
112	purpolepickle	1
112	TableTim	1
112	Purplehere	1
112	ImDisconnected_	1
112	toj__	1
112	loveseeker	1
112	Di_infiri	1
112	Rumpletaezer	1
112	Arceus1975	1
112	Zythose	1
112	burbankbuilder28	1
112	Fast_Turtle	1
112	ApophisNova	1
112	wordboy107	1
112	Shavrin	1
112	thgrocks	1
112	ILoveCarrot	1
112	MrButterscotch	1
112	KermitTheKripple	1
112	Soap_Bender	1
112	MustaLoordi	1
112	fluddd	1
112	MightyWertu	1
112	Racengan	1
112	BumbleBeever	1
112	Barlycorn	1
112	Fildyr	1
112	DarkLawD	1
112	lordpipe	1
112	Dusk_95	1
112	IAmTheWalrus910	1
112	OG_Songsee	1
112	PabloGonza02	1
112	ayamefag	1
112	lcvezra	1
112	PlzNoBM	1
112	Hermanni__	1
112	xorompole	1
112	FedirSpectator	1
112	BreadBacon	1
112	MyNamaSheff	1
112	Enderslayerxz3	1
112	FallenCorps	1
112	TechnoNinja64	1
112	Yahrto	1
112	trexgb	1
112	Smoke____	1
