rank	username	minecraft:mined/minecraft:acacia_trapdoor
1	Steelynan	371
2	beeperbeeper5	233
3	Mahoose	212
4	Winklepicker279	186
5	Smoke____	147
6	El_Jalapeno	142
7	EveryonesUncle	93
8	smogfrog	65
9	Enderslayerxz3	63
10	pintsizedrogue	62
11	TheShyPig	59
12	Hoid_the_Roamer	54
13	Rich_Kat	51
14	Di_infiri	49
15	ROY4LE	47
16	kekhon	45
16	Werbe	45
18	JESS_THE_RERE	43
19	PigDab	37
20	Jiminie	32
21	2Stout	31
22	ImpavidArcher	30
23	Ezekson	29
23	EcksDofficial	29
25	SaucyDark	28
26	TheSeismicDuck	26
26	Soplight	26
28	CoffeeNoir	25
29	SpaceGrenadier	24
30	Resner	22
31	r123moore	19
32	Lutres_Torane	18
33	Fullut	16
33	Kubeusz2010	16
35	stellarjay	15
36	Merv__	14
36	joethahobo	14
38	Blackberry1310	13
38	ProfessorDiaper	13
38	YungMaki	13
41	youhjjhhhjj	12
41	noam464	12
43	Wooptey	11
44	T045RTY	9
44	Jackattack53	9
44	YoshikageBites	9
47	Kynigito	8
47	Dusk_95	8
49	m_be9	7
49	mariominejedi	7
49	Shogunite	7
49	Spacewardharpy7	7
53	Crowvens	6
53	SteveCraftBlocks	6
53	gcaisawesome	6
53	ChillenChiggen	6
53	duqboy	6
53	Meatlaugh	6
53	oxfordschool	6
60	Kakolbus	5
60	loveseeker	5
60	Powowowow	5
63	egglapras	4
63	MousePlays	4
63	Maenara	4
63	MyNameIsDakar	4
63	Toriankel	4
63	sp00ky_ghost977	4
63	TechnoNinja64	4
70	Franco093	3
70	nocturne78	3
70	ProfessorBee	3
70	MyNameIsJobo	3
70	TJawesome09	3
70	Freak_Genius	3
70	Blaiku	3
70	xX_Stalin69_Xx	3
78	Mowelan	2
78	EMC_	2
78	KarlKaek	2
78	ShedJr_	2
78	FlackoJonah	2
78	Cryptacity	2
78	500am	2
78	mwrty	2
78	eviltunix	2
78	Rocketlaunchers	2
78	Doom_melon	2
78	ooga47	2
78	drumine	2
78	DarlaMeow	2
78	Barlycorn	2
78	Kowcio_	2
78	PortlyPete69	2
95	Groovy_MoonBird	1
95	Tommhh	1
95	eitanzaki	1
95	TheSecondLord	1
95	mads388a	1
95	Avermu	1
95	SuperPooch06	1
95	thewindmillman	1
95	Onennon	1
95	chipklip	1
95	HellsSponge	1
95	Blu3beast	1
95	DeGodz4life	1
95	lordpipe	1
95	_Ruzeeq_	1
95	IAmTheWalrus910	1
95	ElectricDragon81	1
95	BlankityMcBlank	1
95	UltraZombie	1
95	fffMike	1
95	EcksD	1
95	cichy096	1
95	jnp_gaming	1
95	JayToe	1
95	OutcryOfEnkidu	1
