rank	username	minecraft:mined/minecraft:smoker
1	MightyWertu	134
2	PlasticOtari	66
3	pintsizedrogue	59
4	kekhon	53
5	Lez_	50
6	HellsSponge	47
7	Merv__	45
8	QuiCreans	41
8	Comma__	41
10	_witch_craft_	40
11	noam464	35
12	Fullut	32
12	Akoot_	32
14	royal_2	31
14	eviltunix	31
14	Luigipunch989	31
17	MyNameIsJobo	30
18	luseis	29
19	Manaateee	28
19	FreakGenius	28
21	ROY4LE	26
22	500am	25
22	Burge_r	25
24	thewindmillman	24
25	AuroraValkyrie	22
25	KarlKaek	22
25	Touched_Bread	22
25	prizm_	22
29	Mr_Byzantine	21
30	Mahoose	20
30	TheSecondLord	20
32	Blaiku	19
33	Jiminbub	16
33	Kowcio_	16
35	abdomera	15
35	SnowyAvi	15
35	Koalander	15
35	Soplight	15
39	CLG_Kata	14
39	pappaberg	14
41	joethahobo	13
41	Ssor69	13
41	Blackberry1310	13
41	IamCL4SSY	13
41	EveryonesUncle	13
41	NameGenerat0r	13
41	Kubeusz2010	13
41	Yamdalorian	13
49	Gregward_Smith	12
49	Vizzoid	12
49	yheece	12
49	U_Mos_	12
49	Lutres_	12
49	LilcoinXX	12
55	Werbe	11
55	Onennon	11
55	SvenskaHugo	11
55	FadedSpade82	11
55	Ezekson	11
55	DkansK	11
61	SpartanNamor	10
61	PhantomsGhost_	10
61	Napoleonpancake	10
61	SaucyDark	10
61	Huwulling	10
61	Megarboh	10
61	jewbacaman	10
61	Xclax101	10
61	brofrickcheaters	10
70	ItsAki_	9
70	Spacewardharpy7	9
70	_MeowMix	9
70	Pumpkin_P_Patch	9
70	hermmm_	9
75	H0UNDFRMH3LL	8
75	Bandito_Roamer	8
75	Cowison	8
75	Historical_Sand	8
75	ChampPog_	8
75	rarrq	8
75	titanlax	8
75	Paintz	8
75	ApophisNova	8
75	layabout100	8
75	Eraxa	8
75	MC_Skribble	8
75	obzii	8
75	MyNamaSheff	8
89	Jovaphobic	7
89	Prodiginus	7
89	Crowman1	7
89	bloodbiter	7
89	m_be9	7
89	Snowflowe	7
89	LordZacler	7
89	Lord_Zacler	7
89	Tyrannosplart	7
89	Airem_Core	7
89	Steelynan	7
100	Louiis123	6
100	MSK__	6
100	UncreativeArtist	6
100	ee_echo_oo	6
100	hanaryheatwave	6
100	Mattesco	6
100	TheShyPig	6
100	Drewen24	6
100	_flud	6
100	ZeaBaron	6
100	StarCookiees_	6
100	jnp_gaming	6
112	k_ce	5
112	fanofbands101	5
112	TildaAndrea	5
112	Niklas20114552	5
112	mymayowasgone	5
112	Gemstuff	5
112	TooManyDuck	5
112	fr0stss	5
112	gilesmcriles	5
112	craaaash	5
112	obzkon	5
112	Project_MKBRD	5
112	MonitorLizards	5
112	Meatlaugh	5
112	YungWali	5
112	_Karmaa	5
112	MAns_44	5
112	EfficientC52	5
112	FiguraDei	5
112	fffMike	5
112	KingMatthew506	5
112	EngagedGrub41	5
112	Enderxz3	5
135	Groovy_MoonBird	4
135	elicobnoah	4
135	robertsnose	4
135	bigstankyy	4
135	Raltemoxitonica	4
135	Zlatovlas	4
135	Malorn_Aetherius	4
135	Saucepeh	4
135	MattieHD	4
135	Gingayy	4
135	himak1	4
135	xxPipperDipperxx	4
135	NoxxxxiS	4
135	SpicyMeatballs	4
135	breadbowlgamer	4
135	trixterrx	4
135	whoaluv	4
135	Arceus1975	4
135	Reneedium	4
135	seramalen	4
135	Cruncy_	4
135	Kynigito	4
135	Kim_Jong_eel	4
135	Jimi7hits	4
135	wobn	4
135	DarkS0L	4
135	stavgod	4
135	doublemaki	4
135	starbits140	4
135	NATE_the_HALO	4
135	robonya_	4
135	Legendosh	4
135	Powowowow	4
135	UrbanPlanningEx	4
135	calamariclam_I	4
135	00000000-0000-0000-0009-01fc3bb26159	4
171	SugarMyNuggets	3
171	EMC_	3
171	diamondgolem35	3
171	hm947	3
171	Flores991	3
171	Jahara	3
171	Myszoaz	3
171	Euclidoris	3
171	Stynxy	3
171	tortillatitan	3
171	Jakobo1337	3
171	Guillemet	3
171	corvidpartyfor6	3
171	Master_Kol	3
171	thescout7	3
171	Mariopreeet	3
171	Inchef	3
171	Kakolbus	3
171	SlayerCrypto	3
171	Chromary	3
171	Hyp3rion_	3
171	Zythose	3
171	killmeiamtraitor	3
171	SvenskaSara	3
171	Skylord_Luke	3
171	Olib3ar	3
171	ADEXTV	3
171	yulgur1	3
171	MinuteMira	3
171	balin55	3
171	Dakar_	3
171	AstreaTSS	3
171	El_Jalapeno	3
171	Druid95	3
171	Optiprimus	3
171	Moss_2006	3
171	07shiny	3
171	TheOuterCore	3
171	Skippeh	3
171	xorompole	3
171	smogfrog	3
171	Jimb0nat0r	3
171	coobert42	3
171	00000000-0000-0000-0009-01ff0c3e5e4f	3
215	Lorcout	2
215	seanitoo	2
215	_Virify_	2
215	teslawolf38	2
215	Ryan_GEMS	2
215	eitanzaki	2
215	livingdaydreams	2
215	SidorAlex	2
215	peach0s	2
