rank	username	minecraft:mined/minecraft:lime_wall_banner
1	beeperbeeper5	21
2	eitanzaki	14
2	500am	14
4	Fullut	9
5	Kamflame10	6
5	lillips	6
5	SammiWolfGirl	6
8	Blackberry1310	5
9	T045RTY	4
9	valiSW	4
9	jnp_gaming	4
12	joethahobo	3
12	kekhon	3
12	Werbe	3
12	pixelviolin	3
16	Merv__	2
16	teslawolf38	2
16	SirUnderpants	2
16	Huwulling	2
16	r123moore	2
16	M_Patata	2
16	Inbefour	2
16	LexMakesHistory	2
16	ZoomieZoomie	2
16	EcksDofficial	2
26	Mahoose	1
26	ShedJr_	1
26	_Dean_123	1
26	noam464	1
26	ApophisNova	1
26	Akoot_	1
26	Jiminie	1
26	avalan64	1
26	Xclax101	1
26	Blaiku	1
26	Eraxa	1
26	MyNamaSheff	1
26	kinas45y5	1
