rank	username	minecraft:mined/minecraft:lime_wall_banner
1	beeperbeeper5	24
2	eitanzaki	14
2	500am	14
4	Fullut	9
5	Kamflame10	6
5	lillips	6
5	SammiWolfGirl	6
8	Blackberry1310	5
9	T045RTY	4
9	valiSW	4
9	jnp_gaming	4
12	Huwulling	3
12	joethahobo	3
12	kekhon	3
12	Werbe	3
12	pixelviolin	3
17	Merv__	2
17	teslawolf38	2
17	SirUnderpants	2
17	r123moore	2
17	M_Patata	2
17	Inbefour	2
17	LexMakesHistory	2
17	MAns_44	2
17	ZoomieZoomie	2
17	xolstoi	2
27	Mahoose	1
27	ShedJr_	1
27	_Dean_123	1
27	noam464	1
27	ApophisNova	1
27	Akoot_	1
27	luseis	1
27	avalan64	1
27	Xclax101	1
27	Blaiku	1
27	Eraxa	1
27	MyNamaSheff	1
27	bladeefan2009	1
