rank	username	minecraft:mined/minecraft:tripwire
1	Historical_Sand	1372
2	joethahobo	996
3	noam464	734
4	m_be9	597
5	Legendosh	589
6	Jackattack53	333
7	Freak_Genius	314
8	Blackberry1310	237
9	tuckerdoodle	222
10	HellsSponge	191
11	eitanzaki	183
12	jnp_gaming	175
13	Mahoose	170
13	mwrty	170
15	YungMaki	162
16	thescout7	158
17	sebastiensaborio	152
18	Di_infiri	146
19	Jiminie	145
20	TheShyPig	131
21	Merv__	125
22	Eraxa	118
23	Soplight	108
24	_Dean_123	101
25	_Virify_	95
26	PigDab	92
27	Racengan	89
28	Sky_light_KING	87
29	kekhon	79
30	ImpavidArcher	77
31	_Bguette_	74
32	sp00ky_ghost977	72
33	KG1999	64
34	EcksD	57
35	Hyp3rion_	54
36	Incinere	52
36	RebelAndroid	52
36	Fullut	52
36	Enderslayerxz3	52
36	Smoke____	52
41	XboxPanda	50
41	thewindmillman	50
43	Frozil12	48
44	T045RTY	47
44	SteveCraftBlocks	47
44	Arceus1975	47
47	claivin	45
48	ApophisNova	44
48	MyNamaSheff	44
50	beeperbeeper5	43
50	Ezekson	43
52	MattieHD	42
52	Quotary	42
54	audiocracked	41
54	lillips	41
56	FirsTimeGamingTV	40
57	Spacewardharpy7	38
57	cichy096	38
59	dezxalo	35
60	MyNameIsDakar	34
60	diggydog67	34
62	FishyBoy3811	32
62	Hermanni__	32
64	NameGenerat0r	30
65	TheSecondLord	29
65	gcaisawesome	29
65	SammiWolfGirl	29
68	Akoot_	27
68	El_Jalapeno	27
70	EveryonesUncle	26
71	oxfordschool	24
72	ShedJr_	23
72	rarrq	23
74	TheThomas69	22
75	500am	21
75	Maenara	21
75	lcvezra	21
75	MeetTheWollo	21
75	PlasticOtari	21
80	Groovy_MoonBird	20
80	LAVA129	20
80	ClemenPine	20
80	NomadicRobin_	20
80	__tomato	20
85	RobotMinion101	19
85	JESS_THE_RERE	19
87	M_Patata	18
87	xo_Marren_xo	18
89	ExtraDumb	17
89	wezzzi	17
89	MasterNueve	17
89	SvenskaHugo	17
89	obzii	17
89	jcool7	17
95	cedric72	16
95	Wowful	16
95	Powowowow	16
98	MyNameIsJobo	15
98	MangoTheFish	15
98	Groundler	15
98	kinas45y5	15
102	fluddd	14
103	ogoa	13
103	Blaiku	13
103	pixelviolin	13
103	Nicserso	13
103	TechnoNinja64	13
108	Hpdinosaur	12
108	SuperPooch06	12
108	Chromary	12
108	DeeDeeThonk	12
108	fred870d	12
108	Kubeusz2010	12
114	epiksk8erduck	11
114	Airem_Core	11
114	lordpipe	11
114	stahouo	11
118	pintsizedrogue	10
118	PhantomsGhost_	10
118	KarlKaek	10
118	H72l9w	10
118	UncreativeArtist	10
118	Rumpletaezer	10
118	Onennon	10
118	Toiton	10
118	Meatlaugh	10
118	WyngGoy	10
118	_3Stump_	10
118	EcksDofficial	10
130	Malorn_Aetherius	9
130	Zythose	9
130	Werbe	9
130	CruncyIsTaken	9
130	Babushka0430	9
130	Blu3beast	9
130	Xclax101	9
130	MightyWertu	9
138	SquadMonster	8
138	titanlax	8
138	gabriels543	8
138	Shiirazuku	8
138	Meepcraft	8
138	ese_wn_po	8
138	Paigefly	8
138	Nagasaki_Riku	8
138	scarletwarrior1	8
147	ProfessorBee	7
147	Xalithia	7
147	benediktine1	7
147	Nycteus_	7
147	Steven1282598	7
147	Optiprimus	7
147	Soul_Atreus	7
147	CalebDHawk	7
147	Sral7	7
156	Cowison	6
156	AES784	6
156	heckface	6
156	Resner	6
156	fr_ser	6
156	out1s	6
156	ooga47	6
156	Leyna3	6
156	The_Quack_Dealer	6
156	BumbleBeever	6
156	Hisiste	6
156	Sheldor097	6
156	Zoeyfortnite	6
156	JayToe	6
170	_stets	5
170	DepressedCubic	5
170	CoffeeNoir	5
170	Myszoaz	5
170	Shazzyling	5
170	PegLegPete93	5
170	Covalents	5
170	Windo_licker	5
170	fxiryglitch	5
170	_naturell	5
170	Lord_Jord	5
170	Inbefour	5
170	Russiancat1	5
170	Deathkob	5
170	chipklip	5
170	h2p_emrld	5
186	_NieToksikpl_	4
186	KingFaenor	4
186	Spaghettatron	4
186	livingdaydreams	4
186	lotarp	4
186	Ssor69	4
186	Vizzoid	4
186	Frxnkz	4
186	slkiey	4
186	AngalexikCZ	4
186	eviltunix	4
186	mimbo1211	4
186	Winklepicker279	4
186	Marbz_	4
186	RocketRidge	4
186	loveseeker	4
186	whoaluv	4
186	S4tox	4
186	Donutt	4
186	Rebytre	4
186	Kim_Jong_eel	4
186	fkGrim	4
186	Holden_17	4
186	DarlaMeow	4
186	Deerfoot	4
186	Warlord324	4
186	Dusk_95	4
186	TheTommyGun63	4
186	stavgod	4
186	07shiny	4
186	_TCARREIRA_	4
186	Luigipunch989	4
186	HAruSAme14	4
186	FishisTTV	4
220	Louiis123	3
220	Ailmast	3
220	ssleepless	3
220	hm947	3
220	TooManyDuck	3
220	RatatJuice	3
220	awesomeoneme	3
220	gaziter10	3
220	Euclidoris	3
220	Auseawesome	3
220	eclipseboi	3
220	set67	3
220	egglapras	3
220	Inchef	3
220	Hoshi	3
220	ROY4LE	3
220	2Stout	3
220	Diavri	3
220	platinumzero	3
220	John6970	3
220	Karetoko	3
220	TruGuire	3
220	Rocco_Lane	3
220	RodSerlingCringe	3
220	_Karmaa	3
220	Shogunite	3
220	ThatMan_Dave	3
220	censorsheep	3
220	MovingFish7	3
220	Kyrum2169	3
220	Segotep999	3
220	_Yonk_	3
220	Rainaldus	3
253	Menthas	2
253	hollowww	2
253	teslawolf38	2
253	lewieinnit	2
253	EMC_	2
253	I_Am_Mushkin	2
253	xXTheWolfmanXx	2
253	ivorico	2
253	IWorkAtIkea	2
253	NanoShot	2
253	ccormacs	2
253	Rich_Kat	2
253	Ravenbie	2
253	Guillemet	2
253	boog4loo	2
253	MindyDooWho	2
253	Scathra	2
253	NotMeanttoChange	2
253	himak1	2
253	surfinggiraffejp	2
253	SharpDev	2
253	xxPipperDipperxx	2
253	trixterrx	2
253	mariominejedi	2
253	Avermu	2
253	andy_rex	2
253	domagawha	2
253	LilyNova	2
253	Voxin2K	2
253	seramalen	2
253	gloryoftherain	2
253	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
253	Skomo	2
253	KeruNatsema	2
253	ILoveCarrot	2
253	DemTechAlpha	2
253	alddd	2
253	Quincannon	2
253	DanTheBuilderino	2
253	MAns_44	2
253	carpet4_69	2
253	SkateboardR6	2
253	Yahir091	2
253	AnonymousUserr	2
253	Cocoamallows	2
253	ElectricDragon81	2
253	Kowcio_	2
253	bloomkieren	2
