rank	username	minecraft:mined/minecraft:acacia_wall_sign
1	beeperbeeper5	304
2	Yamdalorian	86
3	Werbe	65
4	ProfessorBee	52
5	Mahoose	42
6	Karetoko	36
7	ApophisNova	35
7	MyNamaSheff	35
9	Powowowow	32
10	dopplexd	31
10	crashomon	31
12	Jackattack53	28
13	abdomera	27
14	jcool7	23
15	kalzor	20
16	Meatlaugh	19
16	Soplight	19
18	kekhon	18
19	thescout7	17
19	r123moore	17
19	Soul_Atreus	17
22	Hoid_the_Roamer	16
23	xzvu	14
24	Mr_Byzantine	13
24	TheShyPig	13
26	TheSecondLord	12
26	Hiryu27	12
26	PigDab	12
29	CLG_Kata	11
29	Merv__	11
29	YungMaki	11
32	eitanzaki	10
32	Toriankel	10
34	Euclidoris	9
34	TheSandwhich_	9
36	pintsizedrogue	8
36	Groovy_MoonBird	8
36	ImpavidArcher	8
36	MyNameIsJobo	8
36	Kynigito	8
36	Akoot_	8
36	luseis	8
36	DarlaMeow	8
36	PlasticOtari	8
45	BadenStayFly	7
45	Franco093	7
45	2Stout	7
45	Doom_melon	7
45	Tyrannosplart	7
45	Blu3beast	7
45	IAmTheWalrus910	7
45	fffMike	7
45	Steelynan	7
45	ConnorDanky_	7
55	KarlKaek	6
55	Rox_The_Box	6
55	Zedducius	6
55	Di_infiri	6
55	Chuvacevedo	6
55	skitzxo	6
61	PhantomsGhost_	5
61	SaucyDark	5
61	MoistMicrowave	5
61	Vizzoid	5
61	Blackberry1310	5
61	Rich_Kat	5
61	ROY4LE	5
61	Kakolbus	5
61	mariominejedi	5
61	HellsSponge	5
61	KingMatthew506	5
61	laron58	5
61	Legendosh	5
74	Dogbound	4
74	Hydro___________	4
74	jewbacaman	4
74	fluddd	4
74	underscore_2	4
74	Spenduh	4
74	Dreamdbr14	4
74	Kubeusz2010	4
74	tartanboy	4
83	ShedJr_	3
83	Malorn_Aetherius	3
83	Auseawesome	3
83	jushykins	3
83	Awyrlas	3
83	Hoshi	3
83	eiC_	3
83	Deodorante	3
83	Manaateee	3
83	FreakGenius	3
83	JoCoLi	3
83	TheKingK_	3
83	cichy096	3
83	FelixPSY375	3
97	T045RTY	2
97	Batman922	2
97	peach0s	2
97	Lez_	2
97	joethahobo	2
97	EatUrPancreas	2
97	bloodbiter	2
97	ThePoliteG	2
97	MattieHD	2
97	500am	2
97	olliebollie48	2
97	DirtyBoar	2
97	Zaridey	2
97	fr_ser	2
97	Snowflowe	2
97	Felenov	2
97	RobotMinion101	2
97	Yaffs_OG	2
97	ooga47	2
97	audiocracked	2
97	Blaiku	2
97	MakeHistory157	2
97	Pumpkin_P_Patch	2
97	Seindi	2
97	Njensen7	2
97	annebolyn	2
97	561cool	2
124	Alexanderjac	1
124	ECstardust	1
124	caltosy	1
124	KingFaenor	1
124	EMC_	1
124	bigstankyy	1
124	Isaac70096	1
124	LionelHutzESQ	1
124	SyntheticSurgeon	1
124	Myszoaz	1
124	hzs91	1
124	12Magner05	1
124	Secret_Canary	1
124	set67	1
124	fweddy	1
124	Inchef	1
124	eviltunix	1
124	gcaisawesome	1
124	Noah_Bez	1
124	Malware_Mara	1
124	Rumpletaezer	1
124	hanaryheatwave	1
124	Arceus1975	1
124	Hyp3rion_	1
124	AnnieBathory	1
124	Corbsman	1
124	Onennon	1
124	F_Uhre	1
124	cedric72	1
124	Spore84	1
124	Nicky19	1
124	EdGalbraith	1
124	yulgur1	1
124	Inbefour	1
124	duqboy	1
124	AspenLightVT	1
124	NameIsSeven	1
124	KlausVonStiglitz	1
124	NameGenerat0r	1
124	ReflexCode	1
124	SeagullRedRover	1
124	560cool	1
124	Racengan	1
124	Spacewardharpy7	1
124	lordpipe	1
124	OfficialDrewie	1
124	WyngGoy	1
124	Eraxa	1
124	SvenskaHugo	1
124	Kowcio_	1
124	BlankityMcBlank	1
124	miramyu	1
124	SpacesickPrism	1
124	bitsplease	1
124	Dr0xzy	1
124	Skippeh	1
124	TitanCrafting	1
124	tiphunny	1
124	EcksD	1
124	Enderxz3	1
124	jnp_gaming	1
124	TechnoNinja64	1
124	h2p_emrld	1
