rank	username	minecraft:mined/minecraft:gray_wool
1	k_ce	2554
2	PlasticOtari	1498
3	ConnorDanky_	1492
4	thewindmillman	827
5	CattSoup	453
6	Di_infiri	323
7	Rebytre	308
8	joethahobo	307
9	pintsizedrogue	306
10	Mattesco	293
11	Nycteus_	291
12	DarlaMeow	219
13	Huwulling	180
14	kekhon	178
15	fffMike	172
16	SammiWolfGirl	149
17	MrKrabOnCoke	145
18	EcksD	137
19	The11thDoctor	128
20	AdmiralSmoke	116
21	Skylord_Luke	87
22	H0UNDFRMH3LL	80
23	groofles	70
24	Crowman1	67
25	SpacesickPrism	66
26	teslawolf38	65
27	bloodbiter	63
27	luseis	63
29	Mahoose	60
30	CLG_Kata	59
30	HellsSponge	59
30	SvenskaHugo	59
33	fkGrim	57
34	Sleepy_Time_	56
35	Apollo_993	54
36	Soplight	52
37	12Magner05	46
37	Quotary	46
39	TheBiggestFeller	45
39	Nicserso	45
41	Sral7	43
42	titanlax	38
43	xxPipperDipperxx	37
44	thebaddruid	36
45	Lez_	33
45	beeperbeeper5	33
47	PazinGaming	32
47	olliebollie48	32
47	El_Jalapeno	32
47	Enderxz3	32
47	Jimb0nat0r	32
52	SuperPooch06	30
52	Manaateee	30
54	xolstoi	29
55	Hyp3rion_	28
56	ECstardust	27
56	IamCL4SSY	27
58	ImpavidArcher	26
58	Blackberry1310	26
60	Ezekson	23
61	_Huge_Male_	22
61	Eraxa	22
63	TheSecondLord	21
64	EveryonesUncle	18
64	MilleGrug	18
66	Rumpletaezer	17
67	Werbe	16
68	theonlymagikarp	15
68	FreakGenius	15
70	eitanzaki	14
71	oscminus	13
71	AlexxO_o	13
71	NomadicRobin_	13
71	XxCookiequeenxX	13
71	claivin	13
76	6king6colt6	12
76	Tyrannosplart	12
76	Kowcio_	12
79	500am	11
80	Smashic	10
80	ewpunk	10
80	UCP_TheKingK	10
83	Jackattack53	9
84	RebelAndroid	8
84	SaintJosie	8
84	Wowful	8
84	cog	8
88	Frozil20	7
88	rarrq	7
88	Comma__	7
88	noam464	7
88	hanaryheatwave	7
88	TheShyPig	7
94	MuffinManzz	6
94	Alteriity	6
94	LoboTheLobster	6
94	mihimihimihi	6
94	Shin69	6
94	starbits140	6
100	DinoDoctor_	5
100	LexMakesHistory	5
100	YungMaki	5
100	Spenduh	5
104	EMC_	4
104	ShedJr_	4
104	Historical_Sand	4
104	Chromary	4
104	Blaiku	4
104	Spacewardharpy7	4
110	Mr_Byzantine	3
110	squigglybones	3
110	Merv__	3
110	bigstankyy	3
110	jessewegottacook	3
110	heckface	3
110	dopplexd	3
110	orxngejuice	3
110	ARandomHedge	3
110	M_Patata	3
110	burbankbuilder28	3
110	Btabtab	3
110	MustaLoordi	3
110	ThatMan_Dave	3
110	lordpipe	3
110	MasterNueve	3
110	ReyTheLegend	3
127	diamondgolem35	2
127	Cryptacity	2
127	ROY4LE	2
127	Zaridey	2
127	Arceus1975	2
127	Snowflowe	2
127	zStriqe	2
127	Cattoh	2
127	Toasty_Tom	2
127	NameGenerat0r	2
127	Blu3beast	2
127	Steve897	2
127	Racengan	2
127	csendeslol	2
127	MakeHistory157	2
127	Segotep999	2
127	Celeste_121	2
127	Dogcorn69420	2
127	h2p_emrld	2
146	daisnny	1
146	Yatitay	1
146	Swexti	1
146	Da_Boss_Rani	1
146	MattieHD	1
146	Fullut	1
146	mwrty	1
146	eviltunix	1
146	r123moore	1
146	trixterrx	1
146	mariominejedi	1
146	Rocco_Lane	1
146	ItsAki_	1
146	ApophisNova	1
146	HyperCave	1
146	J4k__	1
146	Ender_Souls	1
146	AlphaWolfPlaysMC	1
146	_Karmaa	1
146	MAns_44	1
146	FlashMigma	1
146	OffWithTheirHead	1
146	DolphinLaugh	1
146	teakings	1
146	Njensen7	1
146	TheOuterCore	1
146	EngagedGrub41	1
146	Skippeh	1
146	MyNamaSheff	1
146	MirielThePastor	1
146	skrongus	1
